Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.011945736448873577,0.7700647346303473,37.18469347680667,0.010355063642895115,0.8775966938629554,32.59161336992335
2,0.01291144565222374,0.7514764623297999,36.69198080118021,0.016348950357199157,0.8067452171610122,37.01036345358018
3,0.013693337375932584,0.7364263662766362,36.34011072298674,0.014184460613556433,0.8323308349667875,35.006515591447325
4,0.05740977823468625,-0.1050413383638844,51.652713724935104,0.09402993412488041,-0.11149242628082745,69.79055609000633
5,0.012759918288429371,0.7543931083443793,36.92351383090159,0.014581285541918806,0.8276401169891653,31.67516974920503
6,0.012951475529129985,0.7507059547592918,36.51853309987445,0.016365127516926505,0.8065539930504879,34.83368893402494
7,0.012711189476870484,0.7553310557254298,35.939445153386785,0.010638929260015936,0.874241225347022,29.696733129130443
8,0.05650631728825468,-0.08765123995028268,51.12010452957653,0.09162019834891798,-0.08300784752143975,69.15215003922182
9,0.015427722992633926,0.7030423703433308,39.38594166717065,0.024245009254637944,0.713408879710061,47.001858785774715
10,0.01410638896064141,0.7284758203937713,35.06042310351166,0.011321412544471563,0.8661738475614731,24.696267598383507
