Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.007759339710454273,0.7462501075545651,15.891639406708368,0.028435205759217534,-0.5062279118235578,33.71414689908453
2,0.008858492934716536,0.7103050371174733,17.19282348993578,0.02147072437391359,-0.13731564360408366,28.89911124668874
3,0.008123610523875665,0.7343375372617408,16.723563363843134,0.02298110125333151,-0.21732110698691076,29.78451178126184
4,0.008946547823050018,0.7074254211607429,17.46611202776041,0.023015496884960917,-0.21914306181444787,29.436168033903616
5,0.00952284580699459,0.6885790299858043,17.269243171691418,0.02284186187084059,-0.20994552313818415,30.19893657604448
6,0.008507795621094348,0.7217737198834355,16.32187043808762,0.02228715313165269,-0.18056230738190537,28.924507468507386
7,0.00947935352406774,0.6900013368478206,17.955606882767512,0.020898132369878513,-0.10698514183568864,29.929266899349926
8,0.009031285632016217,0.7046542820285995,17.108001593246758,0.018842618590226384,0.001896511923625277,29.190136690428147
9,0.010272472666526856,0.6640643493456155,20.36409035451225,0.020342785183628805,-0.07756810720034646,30.07870280911134
10,0.009792829049960684,0.6797499000055285,17.97411308495808,0.019777447063928203,-0.04762184752769172,29.320987854957632
