,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.0008434862701540643,0.04253702090694056,17.545802852325924,0.0020378581324901964,-0.020838279699806783,61.53452489405853
max,10.0,0.05038483684852636,0.9839712316728595,39.69294192847581,0.10133185193977072,0.9794701907601565,75.90399240907358
mean,5.5,0.017037102234725876,0.6762439717763866,25.596261058616733,0.03561764846321781,0.6411803565402596,65.79426095680927
