Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa),SFE_calc
1,AAC,AAC08,0,30,10,15.0,30,15,0,0,293.482,-26.3,615.0,0.32509956,444.0,966.0,2.18,33.8,2.83,213.0,-26.3
1,AAC,AAC09,5,10,5,20.0,55,5,0,0,435.888,67.3,800.0,0.348464523,366.0,804.0,2.2,38.4,2.67,222.0,67.3
1,AAC,AAC10,0,10,20,5.0,60,5,0,0,182.681,50.3,805.0,0.320070678,397.0,734.0,1.85,22.4,2.58,240.0,50.3
1,AAC,AAC11,0,10,5,5.0,50,30,0,0,374.906,360.9,740.0,0.273242812,637.0,1115.0,1.75,25.0,3.32,191.0,360.9
1,AAC,AAC12,0,35,15,5.0,20,25,0,0,371.291,92.1,525.0,0.250395746,790.0,790.0,1.0,0.0,6.04,219.0,92.1
1,AAC,AAC13,0,15,20,5.0,45,15,0,0,299.891,120.5,715.0,0.323884258,551.0,1060.0,1.92,31.0,2.96,205.0,120.5
1,AAC,AAC14,0,15,5,15.0,40,25,0,0,344.498,196.0,705.0,0.296794098,541.0,1136.0,2.1,33.7,3.32,207.0,196.0
1,AAC,AAC15,5,5,5,20.0,50,15,0,0,472.415,119.9,790.0,0.311828905,542.0,1006.0,1.86,29.1,3.35,232.0,119.9
1,AAC,AAC16,0,25,15,5.0,35,20,0,0,340.227,118.5,630.0,0.314990329,613.0,1197.0,1.95,31.8,3.29,217.0,118.5
1,AAD,AAD01,0,30,10,10.0,30,20,0,0,335.592,47.1,600.0,0.317919127,625.0,1221.0,1.95,31.0,3.37,201.0,47.1
1,AAD,AAD02,0,40,5,15.0,15,25,0,0,359.572,-3.0,505.0,0.255731416,551.0,1504.0,2.73,24.0,3.82,191.0,-3.0
1,AAD,AAD03,0,5,5,30.0,45,15,0,0,261.18,19.5,805.0,0.339505732,361.0,842.0,2.33,34.0,2.38,216.0,19.5
1,AAD,AAD04,0,20,5,25.0,35,15,0,0,275.739,-32.5,695.0,0.339327131,391.0,822.0,2.1,30.0,2.3,225.0,-32.5
1,AAD,AAD05,0,40,25,10.0,20,5,0,0,203.71,-85.3,535.0,0.320771088,502.0,996.0,1.98,32.0,2.77,199.0,-85.3
1,AAD,AAD06,0,35,15,10.0,25,15,0,0,303.717,-7.5,565.0,0.242022469,521.0,1042.0,2.0,30.0,2.94,193.0,-7.5
1,AAD,AAD07,0,20,10,10.0,45,15,0,0,292.577,37.4,705.0,0.323237961,443.0,986.0,2.23,34.0,2.93,223.0,37.4
1,AAD,AAD08,0,25,25,15.0,25,10,0,0,250.781,3.2,620.0,0.317031259,491.0,945.0,1.92,29.0,2.77,213.0,3.2
1,AAD,AAD09,0,15,15,5.0,45,20,0,0,334.364,185.8,710.0,0.312363912,525.0,1142.0,2.18,35.0,2.95,222.0,185.8
1,AAD,AAD10,0,5,5,30.0,55,5,0,0,156.438,75.2,855.0,0.353128009,308.0,620.0,2.01,23.0,2.15,240.0,75.2
1,AAD,AAD11,0,20,10,5.0,40,25,0,0,363.087,220.2,665.0,0.297278444,590.0,1274.0,2.16,32.0,3.41,191.0,220.2
1,AAD,AAD12,0,20,15,0.0,35,30,0,0,386.227,266.2,630.0,0.258617437,559.0,561.0,1.0,0.0,5.96,219.0,266.2
1,AAD,AAD13,5,10,0,5.0,55,25,0,0,512.047,257.7,750.0,0.285048139,669.0,1164.0,1.74,26.0,3.48,205.0,257.7
1,AAD,AAD14,0,15,15,15.0,40,15,0,0,286.936,74.3,715.0,0.320298379,459.0,931.0,2.03,30.0,2.57,207.0,74.3
1,AAD,AAD15,0,25,5,10.0,35,25,0,0,358.346,139.7,635.0,0.279965233,614.0,1311.0,2.14,37.0,3.02,232.0,139.7
1,AAD,AAD16,0,35,20,10.0,15,20,0,0,337.862,61.9,520.0,0.274741873,460.0,462.0,1.0,0.0,5.22,217.0,61.9
1,AAE,AAE01,0,0,20,55.0,25,0,0,0,67.3157,-144.2,810.0,0.398074656,318.0,569.0,1.79,23.0,1.63,193.04,-144.2
1,AAE,AAE02,0,10,0,0.0,75,15,0,0,278.375,-0.7,845.0,0.336729509,398.0,899.0,2.26,36.0,2.42,212.4,-0.7
1,AAE,AAE03,0,50,5,15.0,5,25,0,0,365.443,-42.4,425.0,0.277748877,539.0,1581.0,2.93,27.0,3.37,225.55,-42.4
1,AAE,AAE04,0,35,20,30.0,15,0,0,0,112.753,-153.5,580.0,0.361292302,448.0,892.0,1.99,31.0,2.19,209.36,-153.5
1,AAE,AAE05,0,65,15,0.0,10,10,0,0,266.829,-141.6,370.0,0.316424739,548.0,960.0,1.75,22.0,3.09,237.14,-141.6
1,AAE,AAE06,0,10,0,30.0,40,20,0,0,295.644,16.1,760.0,0.354916555,336.0,850.0,2.53,36.0,2.33,195.94,16.1
1,AAE,AAE07,0,15,20,15.0,40,10,0,0,243.818,33.1,720.0,0.332033813,431.0,895.0,2.08,32.0,2.43,196.74,33.1
1,AAE,AAE08,0,40,5,15.0,20,20,0,0,333.217,-63.8,530.0,0.327275711,518.0,1325.0,2.56,21.0,3.42,234.77,-63.8
1,AAE,AAE09,0,25,0,35.0,35,5,0,0,157.452,407.7,705.0,0.369131166,305.0,557.0,1.83,20.0,1.8,162.96,407.7
1,AAE,AAE10,0,20,5,15.0,40,20,0,0,322.36,661.9,690.0,0.295290821,244.0,644.0,2.64,39.0,1.85,178.91,661.9
1,AAE,AAE11,0,20,10,0.0,45,25,0,0,370.61,723.5,675.0,0.293655579,615.0,1256.0,2.04,36.0,3.0,211.02,723.5
1,AAE,AAE12,5,5,0,40.0,45,5,0,0,407.601,472.4,820.0,0.331129883,477.0,1062.0,2.23,34.0,2.69,211.67,472.4
1,AAE,AAE13,0,10,5,10.0,55,20,0,0,322.716,678.9,780.0,0.316314011,469.0,1040.0,2.22,33.0,2.76,211.4,678.9
1,AAE,AAE14,0,20,20,15.0,30,15,0,0,289.583,630.3,655.0,0.3186492,470.0,967.0,2.06,31.0,2.51,193.22,630.3
1,AAE,AAE15,0,30,5,15.0,20,30,0,0,368.673,707.5,560.0,0.257573146,399.172,918.517,2.47792,31.6783,4.28,202.06,707.5
1,AAE,AAE16,0,30,0,15.0,50,5,0,0,148.422,412.1,705.0,0.359120567,339.0,620.0,1.83,22.0,1.92,188.44,412.1
2,BAA,BAA01,4,8,4,16.0,48,4,12,4,364.166,228.4,808.0,0.302303281,277.1,930.0,3.36,41.0,2.14,198.95,228.4
2,BAA,BAA02,4,16,0,12.0,52,4,8,4,372.387,195.2,780.0,0.33220436,267.5,949.0,3.55,42.3,1.99,192.46,195.2
2,BAA,BAA03,4,12,8,16.0,48,0,8,4,345.322,131.5,792.0,0.342964095,226.3,888.0,3.92,42.2,1.86,188.59,131.5
2,BAA,BAA04,0,12,8,16.0,36,4,20,4,156.623,133.0,764.0,0.268714285,271.2,906.0,3.34,39.1,1.91,183.07,133.0
2,BAA,BAA05,4,12,8,8.0,56,4,8,0,388.777,204.2,784.0,0.322259376,304.1,938.0,3.08,39.0,2.25,202.62,204.2
2,BAA,BAA06,4,0,8,24.0,44,4,12,4,349.492,180.6,840.0,0.300012833,241.5,864.0,3.58,41.8,1.84,180.09,180.6
2,BAA,BAA07,4,12,0,16.0,52,8,8,0,400.649,250.0,780.0,0.32987666,392.9,1069.0,2.72,33.7,2.42,197.69,250.0
