Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.010162396126438407,0.7005523164576082,16.856038191346904,0.007523248871786488,0.7150201329739604,17.20786577042272
2,0.007128831590675831,0.7899400810958301,16.750773199518978,0.006521354529823031,0.7529717840774666,15.922853054762983
3,0.006751449482623626,0.8010601158455661,15.987655024649932,0.0062044643825632856,0.7649755491485135,15.967505580603328
4,0.008210113752080143,0.7580787528756214,17.099423432823567,0.008287218571334484,0.6860810420174477,17.13971755636174
5,0.008064259705970108,0.7623765243558444,15.995088949078884,0.006323770803649477,0.7604562346082222,14.663538313119318
6,0.008821085035662543,0.740075721572433,16.530343930745943,0.008080594616007342,0.6939079354669448,16.90247196543651
7,0.007588597560305226,0.7763925030577169,15.910170559960923,0.008457442747913407,0.6796329683151404,16.296664403337015
8,0.007749124759951464,0.7716623687978885,15.514949051486084,0.007672677248959111,0.7093598019411445,15.707849572452318
9,0.007802508978250286,0.7700893361874281,16.23860419940624,0.006979774970836516,0.735606866533403,14.465966552361264
10,0.008374118223118949,0.7532461564749162,16.515438088200284,0.007632438648836898,0.7108840358336515,15.488082689385951
