Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.018610982540510145,0.6700520488753972,28.807172870612185,0.015456909406239267,0.7685708511874018,44.26341683112934
2,0.01461226911756721,0.74094391598465,23.75838602913746,0.01362023015658928,0.7960705993075972,44.37344984387768
3,0.02221432125347061,0.6061696491707399,27.873730486882586,0.017856452099013837,0.7326436093091419,45.70927090965906
4,0.017609729728463808,0.6878029286676568,22.24350774521336,0.020598686642198123,0.6915854010027989,51.10880021291702
5,0.015855210853270185,0.718908213239253,23.103505948264498,0.027451918106165794,0.5889751389745088,48.9525176014557
6,0.02567235841198625,0.5448632526448474,32.67133309213057,0.01325677881180022,0.8015123880344802,47.83965350825859
7,0.013503367725046005,0.7606032618394531,22.636530782684257,0.0238987949706777,0.6421744067751232,53.55675752501402
8,0.014369626643356307,0.7452456441200361,22.26240171863143,0.02015727121409732,0.6981945098558845,44.45789008735141
9,0.010825703409511686,0.8080746864559093,20.74314499031917,0.02278913452864923,0.6587888388598451,49.488845684187524
10,0.01424027197133709,0.7475389302970681,22.303951847073673,0.018210564498079035,0.727341648293147,48.0545502658001
