Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.03718318414434488,0.21953109260277226,27.73084805551491,0.01930800035667559,0.1922127988413611,19.529958795568863
2,0.046345571447460446,0.02721409307274647,32.14610719077218,0.02362514065974073,0.011596959914445537,21.641483444715274
3,0.03206179908897525,0.32702812091019684,25.07990590394882,0.019137976733245327,0.19932606299945388,19.477985302711932
4,0.04452849090838203,0.06535431413294268,31.34781044649405,0.022050930967709007,0.07745703955358096,20.88454507925713
5,0.04681844261602937,0.01728860517370201,32.42465696400718,0.023481858800303547,0.01759143112189776,21.718007773735394
6,0.03601976249192043,0.2439511213551535,27.691432710938486,0.020546914303223543,0.14038045935145838,20.436348466340885
7,0.03905342096366418,0.18027512998048023,28.929672991214883,0.020157524694336963,0.15667131995391292,19.966939077043282
8,0.04171527994918564,0.12440314854901946,30.30173026426222,0.02108637119231032,0.11781124645880936,20.64644499112358
9,0.03993323013252335,0.16180808051876794,29.301978268820527,0.020257675218071078,0.15248133084228643,20.06341087541202
10,0.03907243259905349,0.17987607888677815,28.40179619132413,0.020033784355576536,0.16184823419004446,19.758497311551977
