Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.00527956543131129,0.8880119353414346,21.238093192894368,0.007667533756002997,0.8670135975290054,21.206786887766256
2,0.005712320684809959,0.8788325011738566,22.10057392578744,0.009966406976823206,0.827141731411111,20.045662739437546
3,0.005446771919980821,0.8844652170919736,21.26573374192898,0.007410770570948892,0.871466921551297,21.942194292927024
4,0.005477715750991381,0.8838088487235767,20.072700817042215,0.007367339826473113,0.8722201883314985,18.426534428802537
5,0.005656077604448838,0.8800255072653662,19.561991813091513,0.008744062574181212,0.8483421838461133,18.843614255920745
6,0.006172053730025716,0.8690808247029176,20.458162316840614,0.007473697395254318,0.870375512990265,17.03021321337151
7,0.00573934274644093,0.8782593198345006,19.890927788857713,0.008532286922034246,0.852015240008132,18.96591117121481
8,0.005017483140265277,0.8935711217815647,22.70365298534106,0.006911025489551696,0.8801345456717068,21.724638224615113
9,0.004987840675373329,0.8941998860838825,20.26378632422187,0.008800789216690506,0.8473583118017727,18.471266962106192
10,0.004536813146470105,0.9037669045680272,17.89849449982469,0.006081117895455367,0.894528538425351,17.040859194444018
