trial_id,neurons_encoder,latent_dim,neurons_decoder
799,"[80, 160, 320, 640]",1736,"[640, 320, 160]"
800,"[80, 160, 320, 640]",1768,"[640, 320, 160]"
801,"[228, 456, 912, 1824]",1864,"[1824, 912, 456]"
802,"[228, 456, 912, 1824]",1864,"[1824, 912, 456]"
803,"[80, 160, 320, 640]",1096,"[640, 320, 160]"
804,"[88, 176, 352, 704]",1736,"[704, 352, 176]"
805,"[80, 160]",200,"[160, 80, 40]"
806,"[68, 136, 272, 544]",1064,"[544, 272, 136, 68, 34]"
807,"[68, 136]",352,"[136, 68, 34]"
808,"[68, 136, 272, 544]",728,"[544, 272, 136, 68, 34]"
809,"[68, 136, 272, 544]",1064,"[544, 272, 136]"
810,"[20, 40, 80, 160]",344,"[160, 80, 40, 20, 10]"
811,"[68, 136, 272, 544]",1464,"[544, 272, 136]"
812,"[68, 136, 272, 544]",680,"[544, 272, 136]"
813,"[64, 128, 256, 512]",728,"[512, 256, 128]"
814,"[88, 176, 352, 704]",744,"[704, 352, 176]"
815,"[88, 176, 352, 704]",1816,"[704, 352, 176]"
816,"[20, 40, 80, 160]",232,"[160, 80, 40]"
817,"[76, 152, 304, 608]",1640,"[608, 304, 152]"
818,"[76, 152, 304, 608]",1000,"[608, 304, 152]"
819,"[76, 152, 304, 608]",952,"[608, 304, 152]"
820,"[72, 144, 288, 576]",1000,"[576, 288, 144]"
821,"[76, 152, 304, 608]",952,"[608, 304, 152]"
822,"[172, 344, 688, 1376]",1416,"[1376, 688, 344]"
823,"[76, 152, 304, 608]",1112,"[608, 304, 152]"
824,"[76, 152, 304, 608]",1656,"[608, 304, 152]"
825,[28],62,"[28, 14]"
826,"[72, 144, 288, 576]",696,"[576, 288, 144]"
827,"[172, 344, 688, 1376]",1416,"[1376, 688, 344]"
828,"[72, 144, 288, 576]",664,"[576, 288, 144]"
829,"[172, 344, 688, 1376]",1416,"[1376, 688, 344]"
830,"[76, 152, 304, 608]",680,"[608, 304, 152]"
831,"[72, 144, 288, 576]",664,"[576, 288, 144]"
832,"[72, 144, 288, 576]",664,"[576, 288, 144]"
833,"[64, 128, 256, 512]",712,"[512, 256, 128]"
834,"[64, 128, 256, 512]",712,"[512, 256, 128]"
835,"[64, 128, 256, 512]",712,"[512, 256, 128]"
836,"[64, 128, 256, 512]",712,"[512, 256, 128]"
837,"[64, 128, 256, 512]",712,"[512, 256, 128]"
838,"[64, 128]",280,"[128, 64, 32]"
839,"[60, 120, 240, 480]",712,"[480, 240, 120]"
840,"[84, 168, 336, 672]",712,"[672, 336, 168]"
841,"[84, 168, 336, 672]",1912,"[672, 336, 168]"
842,"[84, 168, 336, 672]",744,"[672, 336, 168]"
843,"[76, 152, 304, 608]",1112,"[608, 304, 152]"
844,"[76, 152, 304, 608]",1112,"[608, 304, 152]"
845,"[76, 152, 304, 608]",1112,"[608, 304, 152]"
846,"[76, 152, 304, 608]",1128,"[608, 304, 152]"
847,"[80, 160, 320, 640]",680,"[640, 320, 160]"
