Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS_pred(MPa) at 298K,SFE_calc,VEC Avg,Yield Strength(Mpa),UTS_True(Mpa),UTS/YS,Elong_T(%),Hardness (GPa),Modulus(Gpa),Cracked,Processing,Recryst,XRD Phase,Tension Test Designation,EDS Measured Atomic %s Al ,EDS Measured Atomic %s Co ,EDS Measured Atomic %s Cr ,EDS Measured Atomic %s Cu,EDS Measured Atomic %s Fe ,EDS Measured Atomic %s Mn,EDS Measured Atomic %s Ni ,EDS Measured Atomic %s V ,Grain Size(um)
2,BBA,BBA15,0,20,8,4,0,20,44,4,169.3251243,136.9,732,341,1096,3.21,41,2.25,263.51,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,19.9,8.2,4.2,0,20.5,43.2,4,39
2,BBA,BBA16,4,12,0,12,20,8,44,0,322.7523249,118,824,,,,,2.66,141.59,0,Cold Rolled,950C for 30min/ water quench,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,BBA,BBA17,4,0,4,4,16,12,56,4,391.189585,91.81050471,872,310,1057,3.41,42,2.14,189.54,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.216666667,0,4.18,4.080666667,16.32,12.06266667,55.00133333,4.140666667,26
2,BBA,BBA18,0,4,8,4,16,20,44,4,258.4414693,52.55614304,828,267,1019,3.82,46.7,2.06,199.98,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,4.071333333,8.226666667,4.066666667,16.108,20.192,43.26666667,4.07,41
2,BBA,BBA19,4,8,0,12,20,8,48,0,535.3830181,307.0749622,856,233,911,3.91,42.1,1.89,189.50,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,3.977333333,8.11,0,11.90133333,20.35933333,8.217333333,47.43666667,0,43
2,BBB,BBB01,0,24,4,0,8,4,36,24,844.0996596,276.7416733,644,432,1447,3.35,48.8,2.64,202.49,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,20.5,4.2,0,8.1,4,38.9,24.4,
2,BBB,BBB02,4,32,8,4,4,20,24,4,409.1121051,137.1925269,600,311,1127,3.62,48.8,2.22,195.91,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.2,30.4,8.2,4.1,4.1,20.1,24.7,4.1,41
2,BBB,BBB03,4,0,12,4,4,16,52,8,572.3020155,218.7158454,832,307,1220,3.97,55.7,2.23,184.96,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.1,,12.3,4.1,4.1,16.1,51.2,8.2,52
2,BBB,BBB04,4,12,4,0,28,0,40,12,555.0567741,22.07993065,744,262,1097,4.19,50.6,2.11,193.96,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4,11.1,4.1,0,28,0,40.8,12,33
2,BBB,BBB05,0,44,12,0,4,4,12,24,894.0828426,100.7880386,460,,,,,1.75,189.59,0,Cold Rolled,950C for 30min/ water quench,FCC+?,N/A,,,,,,,,,
2,BBB,BBB06,0,16,20,0,4,4,36,20,776.1545889,230.7397973,672,,,,,,,0,Cold Rolled,950C for 30min/ water quench,FCC+?,N/A,,,,,,,,,
2,BBB,BBB07,4,40,0,0,12,4,36,4,220.1686842,26.04232959,596,211,901,4.27,45.3,,,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4,39.1,0,0,12.3,3.9,36.7,4,49
2,BBB,BBB08,4,8,12,4,4,24,40,4,413.9017845,216.9930622,764,282,1143,4.05,54.6,2.08,171.77,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,3.8,8,12.3,4.2,4.1,24,39.4,4.1,40
2,BBB,BBB09,0,4,8,0,4,28,40,16,557.042555,301.6946369,764,,,,,,,0,Cold Rolled,950C for 30min/ water quench,FCC+?,N/A,,,,,,,,,
2,BBB,BBB10,4,0,4,4,8,16,52,12,699.392543,305.7714923,836,,,,,,,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,,,,,,,,,
2,BBB,BBB11,0,24,4,0,4,32,20,16,547.7037041,186.8227346,608,,,,,,,0,Cold Rolled,950C for 30min/ water quench,FCC+?,N/A,,,,,,,,,
2,BBB,BBB12,0,20,4,0,4,4,48,20,688.7459049,264.0820282,704,418,1400,3.35,46.5,3.04,215,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,0,20.2,4.2,0,4.1,4,47.1,20.4,
2,BBB,BBB13,0,40,4,0,28,4,4,20,722.0901867,55.48103783,496,531,1313,2.47,28.2,2.54,203.53,0,Cold Rolled,950C for 30min/ water quench,FCC+?,N/A,0,39.7,4.2,0,27.9,3.9,4.2,20.1,
2,BBB,BBB14,4,0,12,16,4,12,52,0,735.0220013,147.3681638,896,270,1063,3.94,51.5,1.99,182.28,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.4,0,12.1,15.7,4.1,12.4,51.3,0,47
2,BBB,BBB15,4,0,8,24,4,16,44,0,1004.19632,124.1429198,908,261,1061,4.07,52.6,1.98,171.74,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,4.3,0,8.3,23.5,4.1,16.2,43.7,0,51
2,BBB,BBB16,4,36,0,0,4,4,40,12,510.6148911,78.47070243,604,,,,,,,0,Cold Rolled,950C for 30min/ water quench,FCC,N/A,,,,,,,,,
