Year,Iteration,Alloy Name,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al ,EDS Measured Atomic % Co ,EDS Measured Atomic % Cr ,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe ,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni ,EDS Measured Atomic % V ,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Indentation Depth (µm),Depth of Penetration (mm) FE_Sim,Grain Size (µm),Cracked,Processing,Recrystallization,XRD Phase,Tension Test Designation,Grain Size(um),Notes
2,BBA,BBA13,4,20,4,4,16,0,52,0,345.9032675,36.5,768.0,4,20.4,4.1,4.2,16.3,0.0,51,0,106.8,2.1,176.8,2.3,800.2,3.2,4.5,0.1,42.0,1.1,2.06,0.19,182.8,15.44,2.14,0.05,1.88,0.09,1.14,0.06,,3.35,,0.0,Cold Rolled,950C for 30min/ water quench,FCC,,101.01,
1,AAA,AAA01,0,45,10,0,20,0,15,10,248.2045893,-85.33,510.0,0 ,44.4 ,10.4 ,0.0,20.3 ,0.0,14.5 ,10.3 ,225.8,5.6,487.0,14.8,839.0,5.9,1.72,0.05,25.7,2.6,2.62,0.12,190.02,11.79,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE10,0,20,5,0,15,0,40,20,322.3600034,661.9,690.0,0,20.2,5.3,0.0,15.1,0.0,38.4,20.9,244.6,7.5,244.0,7.1,644.0,47.6,2.64,0.27,39.0,4.9,1.85,0.04,178.91,2.38,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAE,AAE02,0,10,0,0,0,0,75,15,278.374904,-0.7,845.0,0,10.6,0,0.0,0,0.0,73.9,15.4,209.9,38.1,398.0,23.7,899.0,27.2,2.26,0.07,36.0,1.0,2.42,0.11,212.4,5.53,,,,,,,,,,0.0,Forged,No Treatment,BCC,Ductile,,
1,AAB,AAB13,5,5,10,0,35,0,45,0,389.3162381,108.08,815.0,5.2 ,5.1 ,10.2 ,0.0,35.2 ,0.0,44.2 ,0 ,154.5,8.3,250.0,18.1,549.0,33.3,2.2,0.21,27.5,1.0,1.87,0.03,170.22,2.76,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAC,AAC09,5,10,5,0,20,0,55,5,435.8880453,67.3,800.0,5.2 ,10.0 ,5.1 ,0.0,20.3 ,0.0,54.2 ,5.1 ,200.3,9.4,366.0,8.2,804.0,29.2,2.2,0.09,38.4,4.5,2.67,0.18,209.96,5.85,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAD,AAD13,5,10,0,0,5,0,55,25,512.047066,257.7,750.0,3.1,10.4,0,0.0,5.2,0.0,54.7,26.6,271.6,11.4,669.0,0.0,1164.0,0.0,1.74,0.0,26.0,0.0,3.48,0.27,205.0,7.83,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAB,AAB09,0,30,0,0,30,0,35,5,158.4312767,102.88,675.0,0 ,29.9 ,0 ,0.0,30.5 ,0.0,34.4 ,5.1 ,171.6,4.9,347.0,15.7,610.0,8.5,1.76,0.09,20.0,0.5,1.98,0.12,165.27,9.75,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAB,AAB10,5,20,5,0,25,0,45,0,400.9904629,63.06,735.0,5.1 ,20.1 ,5.1 ,0.0,25.3 ,0.0,44.3 ,0 ,160.0,5.5,313.0,32.1,615.0,23.6,1.96,0.23,24.6,2.1,2.11,0.06,174.64,4.08,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
1,AAB,AAB08,0,5,10,0,30,0,50,5,162.3165993,48.75,835.0,0 ,5.1 ,10.3 ,0.0,30.2 ,0.0,49.4 ,5.1 ,175.8,2.6,324.0,16.6,604.0,2.4,1.86,0.1,23.4,0.4,2.11,0.12,169.54,7.83,,,,,,,,,,0.0,Forged,No Treatment,FCC,Ductile,,
