number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
60,0.012616312961181922,2024-12-21 16:08:32.432445,2024-12-21 16:08:57.474413,0 days 00:00:25.041968,0.02197725857698035,256,0.3,1824,50,1.3030004725519007e-05,38,0.00028633953607979783,2,5,"{'neurons_per_layer_encoder': [1824, 912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228]}",1824,"[114, 228]","[1824, 912, 456, 228, 114]",0.9979065458083904,0.8424142348144616,COMPLETE
61,0.005058523087579632,2024-12-21 16:08:38.884037,2024-12-21 16:10:31.539966,0 days 00:01:52.655929,0.1711669371337589,256,0.3,1872,50,1.4267811036716816e-05,39,0.0009172439610455673,2,5,"{'neurons_per_layer_encoder': [1872, 936, 468, 234, 117], 'neurons_per_layer_decoder': [117, 234]}",1872,"[117, 234]","[1872, 936, 468, 234, 117]",0.9982517823009299,0.9368158324926121,COMPLETE
62,0.020194222671877787,2024-12-21 16:08:40.186667,2024-12-21 16:09:09.695406,0 days 00:00:29.508739,0.1753642053384965,256,0.3,1792,50,1.6372304776938016e-05,37,0.00013309970064321675,2,5,"{'neurons_per_layer_encoder': [1792, 896, 448, 224, 112], 'neurons_per_layer_decoder': [112, 224]}",1792,"[112, 224]","[1792, 896, 448, 224, 112]",0.9975227139512111,0.7477613275870354,COMPLETE
63,0.013139148200687503,2024-12-21 16:08:57.486152,2024-12-21 16:09:18.129936,0 days 00:00:20.643784,0.1610184110457243,384,0.3,1792,50,1.0031105985285495e-05,37,0.00032231514747393296,2,5,"{'neurons_per_layer_encoder': [1792, 896, 448, 224, 112], 'neurons_per_layer_decoder': [112, 224]}",1792,"[112, 224]","[1792, 896, 448, 224, 112]",0.9985541998450786,0.8358836904678721,COMPLETE
64,0.01553569981325711,2024-12-21 16:08:58.809127,2024-12-21 16:09:22.099877,0 days 00:00:23.290750,0.01613688484795541,384,0.3,1792,50,0.0009929832343279989,37,0.00032221182837458175,2,5,"{'neurons_per_layer_encoder': [1792, 896, 448, 224, 112], 'neurons_per_layer_decoder': [112, 224]}",1792,"[112, 224]","[1792, 896, 448, 224, 112]",0.9982018422078871,0.8059492380779056,COMPLETE
65,0.01578928689315271,2024-12-21 16:09:09.711903,2024-12-21 16:09:37.667297,0 days 00:00:27.955394,0.01668054060732553,384,0.3,1472,50,1.1133341913011275e-05,154,0.000730028407506169,2,3,"{'neurons_per_layer_encoder': [1472, 736, 368], 'neurons_per_layer_decoder': [368, 736]}",1472,"[368, 736]","[1472, 736, 368]",0.9983229411291263,0.8027817743228871,COMPLETE
66,0.018595151695960644,2024-12-21 16:09:12.857347,2024-12-21 16:09:39.060573,0 days 00:00:26.203226,0.020437637545853763,384,0.3,2032,50,0.00014831439471157086,201,0.0004810805806554532,2,3,"{'neurons_per_layer_encoder': [2032, 1016, 508], 'neurons_per_layer_decoder': [508, 1016]}",2032,"[508, 1016]","[2032, 1016, 508]",0.9982084358059116,0.7677347401126455,COMPLETE
67,0.009351087197836365,2024-12-21 16:09:18.145659,2024-12-21 16:09:44.727298,0 days 00:00:26.581639,0.1107967331995071,256,0.1,2000,50,7.315719254936585e-05,41,0.000763489784139143,3,5,"{'neurons_per_layer_encoder': [2000, 1000, 500, 250, 125], 'neurons_per_layer_decoder': [125, 250, 500]}",2000,"[125, 250, 500]","[2000, 1000, 500, 250, 125]",0.997857505907328,0.8831989792959539,COMPLETE
68,0.010685479705539763,2024-12-21 16:09:22.118331,2024-12-21 16:09:49.311014,0 days 00:00:27.192683,0.09686323348222176,256,0.1,1504,50,7.981639301868633e-05,31,0.0007390261453527199,3,5,"{'neurons_per_layer_encoder': [1504, 752, 376, 188, 94], 'neurons_per_layer_decoder': [94, 188, 376]}",1504,"[94, 188, 376]","[1504, 752, 376, 188, 94]",0.9977729730997208,0.8665315690128319,COMPLETE
69,0.013875413344124158,2024-12-21 16:09:31.685986,2024-12-21 16:10:02.863750,0 days 00:00:31.177764,0.25942604186083895,256,0.1,1968,50,7.39562128885324e-05,41,0.0007367480736539265,3,5,"{'neurons_per_layer_encoder': [1968, 984, 492, 246, 123], 'neurons_per_layer_decoder': [123, 246, 492]}",1968,"[123, 246, 492]","[1968, 984, 492, 246, 123]",0.9969204312957648,0.8266872710095967,COMPLETE
70,0.00609055648007008,2024-12-21 16:09:37.853230,2024-12-21 16:10:31.146732,0 days 00:00:53.293502,0.09259393967658557,256,0.1,1936,50,0.0001441267698526562,40,0.0009374085260866443,3,5,"{'neurons_per_layer_encoder': [1936, 968, 484, 242, 121], 'neurons_per_layer_decoder': [121, 242, 484]}",1936,"[121, 242, 484]","[1936, 968, 484, 242, 121]",0.9980720084276588,0.9239250796749681,COMPLETE
71,0.008481249812507117,2024-12-21 16:09:39.080655,2024-12-21 16:10:34.468577,0 days 00:00:55.387922,0.2646773627928057,256,0.1,1936,50,7.52509738314951e-05,40,0.0006699772693233366,3,5,"{'neurons_per_layer_encoder': [1936, 968, 484, 242, 121], 'neurons_per_layer_decoder': [121, 242, 484]}",1936,"[121, 242, 484]","[1936, 968, 484, 242, 121]",0.997426679631773,0.8940638009261599,COMPLETE
72,0.010368517231464244,2024-12-21 16:09:44.741980,2024-12-21 16:10:05.880579,0 days 00:00:21.138599,0.22819635297312676,256,0.1,1536,50,4.315307394723509e-05,32,0.000646344883471911,3,5,"{'neurons_per_layer_encoder': [1536, 768, 384, 192, 96], 'neurons_per_layer_decoder': [96, 192, 384]}",1536,"[96, 192, 384]","[1536, 768, 384, 192, 96]",0.997547293223595,0.8704906317093563,COMPLETE
73,0.008421785019970235,2024-12-21 16:09:49.360115,2024-12-21 16:10:24.987579,0 days 00:00:35.627464,0.161553663962003,256,0.1,1936,50,4.965293286382654e-05,40,0.0009287466194791825,3,5,"{'neurons_per_layer_encoder': [1936, 968, 484, 242, 121], 'neurons_per_layer_decoder': [121, 242, 484]}",1936,"[121, 242, 484]","[1936, 968, 484, 242, 121]",0.9979501431624949,0.8948065539683804,COMPLETE
74,0.007199770187999878,2024-12-21 16:10:02.908404,2024-12-21 16:10:50.880054,0 days 00:00:47.971650,0.15481408514936768,256,0.1,1744,50,4.951561606657851e-05,36,0.0009295327313474564,3,5,"{'neurons_per_layer_encoder': [1744, 872, 436, 218, 109], 'neurons_per_layer_decoder': [109, 218, 436]}",1744,"[109, 218, 436]","[1744, 872, 436, 218, 109]",0.9977600931907713,0.9100702956777558,COMPLETE
75,0.008522396042029687,2024-12-21 16:10:05.892732,2024-12-21 16:10:26.683416,0 days 00:00:20.790684,0.15093406755724986,768,0.1,1872,50,9.848058183046036e-05,39,0.0009454777811691428,3,5,"{'neurons_per_layer_encoder': [1872, 936, 468, 234, 117], 'neurons_per_layer_decoder': [117, 234, 468]}",1872,"[117, 234, 468]","[1872, 936, 468, 234, 117]",0.9992705431249639,0.8935498583754508,COMPLETE
76,0.01844834437952237,2024-12-21 16:10:25.012746,2024-12-21 16:10:52.547869,0 days 00:00:27.535123,0.0645395080209373,896,0.1,1744,50,0.00010311745706057488,72,0.0006686058517324069,4,4,"{'neurons_per_layer_encoder': [1744, 872, 436, 218], 'neurons_per_layer_decoder': [218, 436, 872, 1744]}",1744,"[218, 436, 872, 1744]","[1744, 872, 436, 218]",0.9991850328255211,0.769568456775108,COMPLETE
77,0.0069400774051465485,2024-12-21 16:10:26.700166,2024-12-21 16:10:48.293063,0 days 00:00:21.592897,0.19842203472190564,256,0.1,1440,50,0.00013618539143518416,30,0.0006751730054600667,3,5,"{'neurons_per_layer_encoder': [1440, 720, 360, 180, 90], 'neurons_per_layer_decoder': [90, 180, 360]}",1440,"[90, 180, 360]","[1440, 720, 360, 180, 90]",0.9982396561351059,0.9133140235422292,COMPLETE
78,0.007339638298189817,2024-12-21 16:10:31.217095,2024-12-21 16:11:08.577983,0 days 00:00:37.360888,0.08835261260689234,256,0.1,1872,50,0.0001814147550868463,39,0.0006701965427367006,3,5,"{'neurons_per_layer_encoder': [1872, 936, 468, 234, 117], 'neurons_per_layer_decoder': [117, 234, 468]}",1872,"[117, 234, 468]","[1872, 936, 468, 234, 117]",0.9980566191536965,0.9083232541104489,COMPLETE
79,0.006575635919259148,2024-12-21 16:10:31.571415,2024-12-21 16:11:02.911514,0 days 00:00:31.340099,0.06836667956435384,256,0.3,1888,50,0.00018385557867549516,39,0.000999544447481308,2,5,"{'neurons_per_layer_encoder': [1888, 944, 472, 236, 118], 'neurons_per_layer_decoder': [118, 236]}",1888,"[118, 236]","[1888, 944, 472, 236, 118]",0.9981294147271631,0.9178661292640534,COMPLETE
80,0.00784411846147943,2024-12-21 16:10:34.499573,2024-12-21 16:10:58.083187,0 days 00:00:23.583614,0.06574185670175382,384,0.3,1744,50,1.38421017797589e-05,36,0.0009970723973783788,2,5,"{'neurons_per_layer_encoder': [1744, 872, 436, 218, 109], 'neurons_per_layer_decoder': [109, 218]}",1744,"[109, 218]","[1744, 872, 436, 218, 109]",0.998799819945748,0.9020219763284597,COMPLETE
81,0.010549343721054812,2024-12-21 16:10:50.352617,2024-12-21 16:11:09.145996,0 days 00:00:18.793379,0.06787850268429113,384,0.3,1888,50,0.00017698578393452046,39,0.0009904902521890517,2,5,"{'neurons_per_layer_encoder': [1888, 944, 472, 236, 118], 'neurons_per_layer_decoder': [118, 236]}",1888,"[118, 236]","[1888, 944, 472, 236, 118]",0.9983254468007886,0.8682319939587217,COMPLETE
82,0.013067903673384711,2024-12-21 16:10:50.898500,2024-12-21 16:11:14.534393,0 days 00:00:23.635893,0.06973902300452645,384,0.3,1872,50,0.00017811388541053583,39,0.0009798784531281051,2,5,"{'neurons_per_layer_encoder': [1872, 936, 468, 234, 117], 'neurons_per_layer_decoder': [117, 234]}",1872,"[117, 234]","[1872, 936, 468, 234, 117]",0.9979864078113475,0.8367735798820644,COMPLETE
83,0.01054424089635329,2024-12-21 16:10:52.579967,2024-12-21 16:11:10.073916,0 days 00:00:17.493949,0.29264032303796433,384,0.3,1152,50,0.0006989662518126287,24,0.0009996954266414393,2,5,"{'neurons_per_layer_encoder': [1152, 576, 288, 144, 72], 'neurons_per_layer_decoder': [72, 144]}",1152,"[72, 144]","[1152, 576, 288, 144, 72]",0.9984731613509233,0.8682957314815362,COMPLETE
84,0.014621763575336195,2024-12-21 16:10:58.117823,2024-12-21 16:11:16.825196,0 days 00:00:18.707373,0.09076781797311821,1024,0.2,1888,50,2.1651876388216605e-05,39,0.0009019187236263673,2,5,"{'neurons_per_layer_encoder': [1888, 944, 472, 236, 118], 'neurons_per_layer_decoder': [118, 236]}",1888,"[118, 236]","[1888, 944, 472, 236, 118]",0.9993369190165398,0.8173648823970259,COMPLETE
85,0.013248045894447115,2024-12-21 16:11:02.996801,2024-12-21 16:11:25.794087,0 days 00:00:22.797286,0.09101429006084322,1024,0.3,1904,50,0.00019175541013921558,39,0.0008840109396356229,2,5,"{'neurons_per_layer_encoder': [1904, 952, 476, 238, 119], 'neurons_per_layer_decoder': [119, 238]}",1904,"[119, 238]","[1904, 952, 476, 238, 119]",0.9993918956069042,0.8345234890801252,COMPLETE
86,0.00782868661054935,2024-12-21 16:11:08.599558,2024-12-21 16:11:32.344629,0 days 00:00:23.745071,0.12717823919226984,384,0.3,1840,50,0.0002515432145885924,38,0.0008841613439918426,2,5,"{'neurons_per_layer_encoder': [1840, 920, 460, 230, 115], 'neurons_per_layer_decoder': [115, 230]}",1840,"[115, 230]","[1840, 920, 460, 230, 115]",0.9983997683971746,0.9022147299518462,COMPLETE
87,0.004381516712541631,2024-12-21 16:11:09.242396,2024-12-21 16:11:42.446061,0 days 00:00:33.203665,0.1298860660148541,256,0.3,1152,50,0.0002601078887583516,24,0.0008843874224339743,2,5,"{'neurons_per_layer_encoder': [1152, 576, 288, 144, 72], 'neurons_per_layer_decoder': [72, 144]}",1152,"[72, 144]","[1152, 576, 288, 144, 72]",0.9985234619749203,0.9452720722810595,COMPLETE
88,0.006914420926456107,2024-12-21 16:11:10.087612,2024-12-21 16:11:36.092353,0 days 00:00:26.004741,0.04802776922437941,256,0.3,1840,50,2.2347966847661365e-05,38,0.0008926856965407946,2,5,"{'neurons_per_layer_encoder': [1840, 920, 460, 230, 115], 'neurons_per_layer_decoder': [115, 230]}",1840,"[115, 230]","[1840, 920, 460, 230, 115]",0.9981439482606678,0.9136344892629862,COMPLETE
89,0.008559277712247525,2024-12-21 16:11:14.564440,2024-12-21 16:11:31.400413,0 days 00:00:16.835973,0.049548001862709044,256,0.3,528,50,0.00028179345764915183,11,0.0008849032485573517,2,5,"{'neurons_per_layer_encoder': [528, 264, 132, 66, 33], 'neurons_per_layer_decoder': [33, 66]}",528,"[33, 66]","[528, 264, 132, 66, 33]",0.9978230861890499,0.8930891828801233,COMPLETE
90,0.008046017670279359,2024-12-21 16:11:16.856658,2024-12-21 16:11:47.089033,0 days 00:00:30.232375,0.12156374622071295,256,0.3,2048,50,0.0002612971125935493,42,0.0008702704305116295,2,5,"{'neurons_per_layer_encoder': [2048, 1024, 512, 256, 128], 'neurons_per_layer_decoder': [128, 256]}",2048,"[128, 256]","[2048, 1024, 512, 256, 128]",0.9981625336187334,0.8995001269254697,COMPLETE
91,0.008933668637540033,2024-12-21 16:11:25.811406,2024-12-21 16:11:42.143533,0 days 00:00:16.332127,0.05009438111971485,256,0.3,656,50,1.5561323294166336e-05,13,0.0007757468757821855,2,5,"{'neurons_per_layer_encoder': [656, 328, 164, 82, 41], 'neurons_per_layer_decoder': [41, 82]}",656,"[41, 82]","[656, 328, 164, 82, 41]",0.9981270730442777,0.8884128023383383,COMPLETE
92,0.00796946518313761,2024-12-21 16:11:31.451300,2024-12-21 16:12:00.277381,0 days 00:00:28.826081,0.12525225929673128,256,0.3,1824,50,1.6406004664700814e-05,38,0.000776509635446847,4,5,"{'neurons_per_layer_encoder': [1824, 912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228, 456, 912]}",1824,"[114, 228, 456, 912]","[1824, 912, 456, 228, 114]",0.9983369275285388,0.9004563161306841,COMPLETE
93,0.006426242537664558,2024-12-21 16:11:32.363700,2024-12-21 16:12:01.891954,0 days 00:00:29.528254,0.01072087051308171,256,0.3,1632,50,0.00013486704728111034,34,0.0007689475878698895,4,5,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408, 816]}",1632,"[102, 204, 408, 816]","[1632, 816, 408, 204, 102]",0.9983750158840823,0.9197321475234826,COMPLETE
94,0.01954369987034509,2024-12-21 16:11:36.110537,2024-12-21 16:12:15.026929,0 days 00:00:38.916392,0.02774777922013585,256,0.3,2048,50,1.723378480313228e-05,85,0.00022653128399597843,4,4,"{'neurons_per_layer_encoder': [2048, 1024, 512, 256], 'neurons_per_layer_decoder': [256, 512, 1024, 2048]}",2048,"[256, 512, 1024, 2048]","[2048, 1024, 512, 256]",0.9974729450734494,0.755886770714959,COMPLETE
95,0.006712801965218586,2024-12-21 16:11:42.176932,2024-12-21 16:12:14.228577,0 days 00:00:32.051645,0.027705316231838122,256,0.2,1632,50,0.00015822766958681507,34,0.0006129843586859419,4,5,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408, 816]}",1632,"[102, 204, 408, 816]","[1632, 816, 408, 204, 102]",0.9982594733345646,0.9161528381958547,COMPLETE
96,0.00827279077210677,2024-12-21 16:11:47.102980,2024-12-21 16:12:06.858205,0 days 00:00:19.755225,0.18392819942245314,256,0.3,864,50,0.00013565768597842998,18,0.0007751948258255522,4,5,"{'neurons_per_layer_encoder': [864, 432, 216, 108, 54], 'neurons_per_layer_decoder': [54, 108, 216, 432]}",864,"[54, 108, 216, 432]","[864, 432, 216, 108, 54]",0.9979308108306919,0.8966675867939016,COMPLETE
97,0.011627941194437542,2024-12-21 16:12:00.299409,2024-12-21 16:12:18.201230,0 days 00:00:17.901821,0.17697467747621343,256,0.3,1184,50,0.0003499613330115263,24,0.0009391576612007992,2,5,"{'neurons_per_layer_encoder': [1184, 592, 296, 148, 74], 'neurons_per_layer_decoder': [74, 148]}",1184,"[74, 148]","[1184, 592, 296, 148, 74]",0.9974302890221647,0.8547596261843032,COMPLETE
98,0.01096065432557675,2024-12-21 16:12:01.910592,2024-12-21 16:12:24.348488,0 days 00:00:22.437896,0.1849244167339552,256,0.3,1152,50,0.0001372423587310219,24,0.0007473295256548777,4,5,"{'neurons_per_layer_encoder': [1152, 576, 288, 144, 72], 'neurons_per_layer_decoder': [72, 144, 288, 576]}",1152,"[72, 144, 288, 576]","[1152, 576, 288, 144, 72]",0.9978840725183734,0.8630944631649038,COMPLETE
99,0.013629018504602138,2024-12-21 16:12:06.874408,2024-12-21 16:12:34.320035,0 days 00:00:27.445627,0.0107842155838688,256,0.3,1632,50,0.0003418527582252501,34,0.0007185576855191716,4,5,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408, 816]}",1632,"[102, 204, 408, 816]","[1632, 816, 408, 204, 102]",0.9975614576302351,0.8297648991124595,COMPLETE
100,0.016982546213750394,2024-12-21 16:12:14.244577,2024-12-21 16:12:39.250657,0 days 00:00:25.006080,0.010688545817567207,256,0.3,1984,50,0.0003459368406925523,41,0.00022365617531772534,2,5,"{'neurons_per_layer_encoder': [1984, 992, 496, 248, 124], 'neurons_per_layer_decoder': [124, 248]}",1984,"[124, 248]","[1984, 992, 496, 248, 124]",0.997648433620408,0.7878772072215694,COMPLETE
101,0.011210464303457249,2024-12-21 16:12:15.054873,2024-12-21 16:12:36.979570,0 days 00:00:21.924697,0.010954006934184217,256,0.3,1984,50,0.0001318965709947782,41,0.000715593844200299,2,5,"{'neurons_per_layer_encoder': [1984, 992, 496, 248, 124], 'neurons_per_layer_decoder': [124, 248]}",1984,"[124, 248]","[1984, 992, 496, 248, 124]",0.9976686980022117,0.8599741778139931,COMPLETE
102,0.013173700753012036,2024-12-21 16:12:18.216061,2024-12-21 16:12:33.424976,0 days 00:00:15.208915,0.0106320247887065,512,0.3,1104,50,0.0001337693312148439,23,0.0007163283972542202,2,5,"{'neurons_per_layer_encoder': [1104, 552, 276, 138, 69], 'neurons_per_layer_decoder': [69, 138]}",1104,"[69, 138]","[1104, 552, 276, 138, 69]",0.9983312344613401,0.8354521071349342,COMPLETE
103,0.007522525235185389,2024-12-21 16:12:24.364954,2024-12-21 16:12:56.336031,0 days 00:00:31.971077,0.010392950791455769,256,0.3,1920,50,0.00021415903377045318,40,0.0007070324331116892,2,5,"{'neurons_per_layer_encoder': [1920, 960, 480, 240, 120], 'neurons_per_layer_decoder': [120, 240]}",1920,"[120, 240]","[1920, 960, 480, 240, 120]",0.9983456093458248,0.9060388800625349,COMPLETE
104,0.009350838166518539,2024-12-21 16:12:33.444347,2024-12-21 16:12:51.006116,0 days 00:00:17.561769,0.012496083843436132,768,0.3,2000,50,0.00020754000692938722,41,0.0008418045000978296,2,5,"{'neurons_per_layer_encoder': [2000, 1000, 500, 250, 125], 'neurons_per_layer_decoder': [125, 250]}",2000,"[125, 250]","[2000, 1000, 500, 250, 125]",0.9992817642887278,0.883202089855346,COMPLETE
105,0.012861022791377772,2024-12-21 16:12:34.336355,2024-12-21 16:12:46.377503,0 days 00:00:12.041148,0.015456061065764458,768,0.3,1296,50,0.00010783573779280248,27,0.0008259134375730757,2,5,"{'neurons_per_layer_encoder': [1296, 648, 324, 162, 81], 'neurons_per_layer_decoder': [81, 162]}",1296,"[81, 162]","[1296, 648, 324, 162, 81]",0.9992478453483995,0.8393576535487237,COMPLETE
106,0.007387318937899591,2024-12-21 16:12:36.994256,2024-12-21 16:13:01.648205,0 days 00:00:24.653949,0.014601735696367836,256,0.2,1664,50,0.00015702686092615694,34,0.0006036222727351753,4,5,"{'neurons_per_layer_encoder': [1664, 832, 416, 208, 104], 'neurons_per_layer_decoder': [104, 208, 416, 832]}",1664,"[104, 208, 416, 832]","[1664, 832, 416, 208, 104]",0.9982256032602236,0.9077276926245917,COMPLETE
107,0.008174379977693033,2024-12-21 16:12:39.276698,2024-12-21 16:13:07.123070,0 days 00:00:27.846372,0.015007438045327144,256,0.2,1552,50,0.00015988165169368348,32,0.0006042560975859521,4,5,"{'neurons_per_layer_encoder': [1552, 776, 388, 194, 97], 'neurons_per_layer_decoder': [97, 194, 388, 776]}",1552,"[97, 194, 388, 776]","[1552, 776, 388, 194, 97]",0.9978085660363323,0.8978968001455299,COMPLETE
108,0.004915945760515192,2024-12-21 16:12:46.395079,2024-12-21 16:13:51.240009,0 days 00:01:04.844930,0.012610176176702969,256,0.2,1712,50,0.00015268184291790507,35,0.0006006078309761199,4,5,"{'neurons_per_layer_encoder': [1712, 856, 428, 214, 107], 'neurons_per_layer_decoder': [107, 214, 428, 856]}",1712,"[107, 214, 428, 856]","[1712, 856, 428, 214, 107]",0.9982727913731833,0.9385967139000952,COMPLETE
109,0.007281910281368116,2024-12-21 16:12:51.032578,2024-12-21 16:13:22.971128,0 days 00:00:31.938550,0.014220644085813833,256,0.2,1696,50,0.00016277529000517294,35,0.000606946456841108,5,5,"{'neurons_per_layer_encoder': [1696, 848, 424, 212, 106], 'neurons_per_layer_decoder': [106, 212, 424, 848, 1696]}",1696,"[106, 212, 424, 848, 1696]","[1696, 848, 424, 212, 106]",0.9981665943377709,0.909044313720454,COMPLETE
110,0.004797030174847223,2024-12-21 16:12:56.354148,2024-12-21 16:13:49.359156,0 days 00:00:53.005008,0.02078591587222943,256,0.2,1536,50,0.00015500623928799793,32,0.0005914821166234625,4,5,"{'neurons_per_layer_encoder': [1536, 768, 384, 192, 96], 'neurons_per_layer_decoder': [96, 192, 384, 768]}",1536,"[96, 192, 384, 768]","[1536, 768, 384, 192, 96]",0.998387459914278,0.9400820451230628,COMPLETE
111,0.010838042486861555,2024-12-21 16:13:01.666475,2024-12-21 16:13:35.086903,0 days 00:00:33.420428,0.02192296302769746,256,0.2,1696,50,0.00024009388278644036,35,0.0005905137307500826,5,5,"{'neurons_per_layer_encoder': [1696, 848, 424, 212, 106], 'neurons_per_layer_decoder': [106, 212, 424, 848, 1696]}",1696,"[106, 212, 424, 848, 1696]","[1696, 848, 424, 212, 106]",0.9977196396055532,0.8646259629369997,COMPLETE
112,0.00752354055632532,2024-12-21 16:13:07.163256,2024-12-21 16:13:52.280395,0 days 00:00:45.117139,0.14278601512413158,256,0.2,1712,50,1.1612100186373022e-05,35,0.00045950241879132695,5,5,"{'neurons_per_layer_encoder': [1712, 856, 428, 214, 107], 'neurons_per_layer_decoder': [107, 214, 428, 856, 1712]}",1712,"[107, 214, 428, 856, 1712]","[1712, 856, 428, 214, 107]",0.9981112629178269,0.9060261980563705,COMPLETE
113,0.007892328781312276,2024-12-21 16:13:22.991658,2024-12-21 16:13:48.330969,0 days 00:00:25.339311,0.13893030396070263,256,0.3,1760,50,9.387261470324204e-05,36,0.0005259689887179247,3,5,"{'neurons_per_layer_encoder': [1760, 880, 440, 220, 110], 'neurons_per_layer_decoder': [110, 220, 440]}",1760,"[110, 220, 440]","[1760, 880, 440, 220, 110]",0.9981832799755288,0.901419798801311,COMPLETE
114,0.008451983778168118,2024-12-21 16:13:35.105449,2024-12-21 16:13:57.633826,0 days 00:00:22.528377,0.016902348502705354,256,0.3,1728,50,2.6117693998052023e-05,36,0.0005327492926406817,3,5,"{'neurons_per_layer_encoder': [1728, 864, 432, 216, 108], 'neurons_per_layer_decoder': [108, 216, 432]}",1728,"[108, 216, 432]","[1728, 864, 432, 216, 108]",0.9979937377011002,0.894429352290449,COMPLETE
115,0.012139847782715365,2024-12-21 16:13:48.344485,2024-12-21 16:14:05.127813,0 days 00:00:16.783328,0.020403406689468363,256,0.1,1600,50,2.7876819333020608e-05,33,0.0006340984112811325,3,5,"{'neurons_per_layer_encoder': [1600, 800, 400, 200, 100], 'neurons_per_layer_decoder': [100, 200, 400]}",1600,"[100, 200, 400]","[1600, 800, 400, 200, 100]",0.9978907314060975,0.8483655876355225,COMPLETE
116,0.011523903326320315,2024-12-21 16:13:51.265442,2024-12-21 16:14:09.446618,0 days 00:00:18.181176,0.019408546716458627,256,0.2,1792,50,0.00011094555149080683,37,0.00045918076885839286,4,5,"{'neurons_per_layer_encoder': [1792, 896, 448, 224, 112], 'neurons_per_layer_decoder': [112, 224, 448, 896]}",1792,"[112, 224, 448, 896]","[1792, 896, 448, 224, 112]",0.9979129922167319,0.856059125261884,COMPLETE
117,0.009342165015328705,2024-12-21 16:13:52.292144,2024-12-21 16:14:13.505701,0 days 00:00:21.213557,0.012263849707140742,256,0.2,1600,50,0.00010372717782748218,33,0.0006399173020994297,4,5,"{'neurons_per_layer_encoder': [1600, 800, 400, 200, 100], 'neurons_per_layer_decoder': [100, 200, 400, 800]}",1600,"[100, 200, 400, 800]","[1600, 800, 400, 200, 100]",0.9980666202879546,0.8833104230245552,COMPLETE
118,0.006987536923819397,2024-12-21 16:13:57.650414,2024-12-21 16:14:17.212918,0 days 00:00:19.562504,0.011580294229907648,256,0.2,1600,50,0.00010971963848428705,33,0.0009411182739653228,4,5,"{'neurons_per_layer_encoder': [1600, 800, 400, 200, 100], 'neurons_per_layer_decoder': [100, 200, 400, 800]}",1600,"[100, 200, 400, 800]","[1600, 800, 400, 200, 100]",0.998067597368989,0.9127212239986218,COMPLETE
119,0.009999241690157768,2024-12-21 16:14:05.144718,2024-12-21 16:14:25.500476,0 days 00:00:20.355758,0.011801265535160534,256,0.2,1792,50,0.0001100199744032596,37,0.00048254207974614293,4,5,"{'neurons_per_layer_encoder': [1792, 896, 448, 224, 112], 'neurons_per_layer_decoder': [112, 224, 448, 896]}",1792,"[112, 224, 448, 896]","[1792, 896, 448, 224, 112]",0.9979555336626851,0.8751031178548833,COMPLETE
120,0.028847682758244578,2024-12-21 16:14:13.516946,2024-12-21 16:14:34.653903,0 days 00:00:21.136957,0.21053323002110114,896,0.2,1456,50,6.658812836511268e-05,121,0.000488470037832882,4,3,"{'neurons_per_layer_encoder': [1456, 728, 364], 'neurons_per_layer_decoder': [364, 728, 1456, 2912]}",1456,"[364, 728, 1456, 2912]","[1456, 728, 364]",0.9990338523344823,0.6396741127717115,COMPLETE
121,0.009992340249241852,2024-12-21 16:15:52.247850,2024-12-21 16:15:59.687726,0 days 00:00:07.439876,0.013616867473001799,256,0.2,1632,50,0.00017463475210102177,34,0.0005487225559146818,4,5,"{'neurons_per_layer_encoder': [1632, 816, 408, 204, 102], 'neurons_per_layer_decoder': [102, 204, 408, 816]}",1632,"[102, 204, 408, 816]","[1632, 816, 408, 204, 102]",0.998045579366694,0.8751893212370412,COMPLETE
122,0.011360736064980805,2024-12-21 16:15:59.693745,2024-12-21 16:16:06.714784,0 days 00:00:07.021039,0.015626961021229072,256,0.2,1536,50,0.00019647656707275654,32,0.0005673930231005578,4,5,"{'neurons_per_layer_encoder': [1536, 768, 384, 192, 96], 'neurons_per_layer_decoder': [96, 192, 384, 768]}",1536,"[96, 192, 384, 768]","[1536, 768, 384, 192, 96]",0.9975897017951143,0.8580971880311359,COMPLETE
