number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
14,0.027199432510323644,2024-12-21 16:03:49.876198,2024-12-21 16:05:43.704555,0 days 00:01:53.828357,0.02351297964656169,768,0.2,1856,50,0.00030663912059800705,218,0.00018591096801709754,5,3,"{'neurons_per_layer_encoder': [1856, 928, 464], 'neurons_per_layer_decoder': [464, 928, 1856, 3712, 7424]}",1856,"[464, 928, 1856, 3712, 7424]","[1856, 928, 464]",0.9990173022348768,0.6602618056527496,COMPLETE
15,0.02447664825172202,2024-12-21 16:03:59.062614,2024-12-21 16:04:28.463598,0 days 00:00:29.400984,0.24748678673782812,896,0.1,1936,50,0.0001722723333755321,161,0.0005117832897477966,2,3,"{'neurons_per_layer_encoder': [1936, 968, 484], 'neurons_per_layer_decoder': [484, 968]}",1936,"[484, 968]","[1936, 968, 484]",0.9991163373070434,0.6942711110771673,COMPLETE
16,0.020698665811020818,2024-12-21 16:04:06.496196,2024-12-21 16:05:09.669606,0 days 00:01:03.173410,0.0826891992577846,256,0.2,1088,50,0.00016512513732448576,122,0.0009727029208226133,5,3,"{'neurons_per_layer_encoder': [1088, 544, 272], 'neurons_per_layer_decoder': [272, 544, 1088, 2176, 4352]}",1088,"[272, 544, 1088, 2176, 4352]","[1088, 544, 272]",0.9971236065874046,0.7414605122601617,COMPLETE
17,0.02479305420941956,2024-12-21 16:04:08.473878,2024-12-21 16:05:08.995310,0 days 00:01:00.521432,0.010065748143485764,256,0.1,1008,50,0.00028094068754724546,200,0.00045793857938059436,4,2,"{'neurons_per_layer_encoder': [1008, 504], 'neurons_per_layer_decoder': [504, 1008, 2016, 4032]}",1008,"[504, 1008, 2016, 4032]","[1008, 504]",0.9971461617900824,0.6903189996238097,COMPLETE
18,0.010351541541103414,2024-12-21 16:04:08.553190,2024-12-21 16:04:39.097519,0 days 00:00:30.544329,0.010242119038205702,256,0.1,928,50,0.00027916206564929173,19,0.0009011848282367034,5,5,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232, 464, 928]}",928,"[58, 116, 232, 464, 928]","[928, 464, 232, 116, 58]",0.9979284460836935,0.8707026688681755,COMPLETE
19,0.004771749579497753,2024-12-21 16:04:28.495176,2024-12-21 16:05:26.144812,0 days 00:00:57.649636,0.010292796249753326,256,0.1,960,50,7.053502342475682e-05,20,0.0008021227171972566,5,5,"{'neurons_per_layer_encoder': [960, 480, 240, 120, 60], 'neurons_per_layer_decoder': [60, 120, 240, 480, 960]}",960,"[60, 120, 240, 480, 960]","[960, 480, 240, 120, 60]",0.998481243980154,0.9403978158220578,COMPLETE
20,0.008285308369009044,2024-12-21 16:04:30.454723,2024-12-21 16:05:10.465404,0 days 00:00:40.010681,0.07935925300597742,256,0.1,928,50,7.086033240999984e-05,19,0.0008844464515674152,5,5,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232, 464, 928]}",928,"[58, 116, 232, 464, 928]","[928, 464, 232, 116, 58]",0.9978408549947196,0.8965112340550152,COMPLETE
21,0.00851417707958196,2024-12-21 16:04:39.141997,2024-12-21 16:05:16.032244,0 days 00:00:36.890247,0.07509992916069785,256,0.1,1040,50,0.0003523901769175495,21,0.0009992902497310693,5,5,"{'neurons_per_layer_encoder': [1040, 520, 260, 130, 65], 'neurons_per_layer_decoder': [65, 130, 260, 520, 1040]}",1040,"[65, 130, 260, 520, 1040]","[1040, 520, 260, 130, 65]",0.9978853126340309,0.8936525184386833,COMPLETE
22,0.012513915842966168,2024-12-21 16:05:09.011160,2024-12-21 16:05:33.521336,0 days 00:00:24.510176,0.08056307364276254,512,0.1,1072,50,0.00039595333288390853,22,0.0009292431747785018,5,5,"{'neurons_per_layer_encoder': [1072, 536, 268, 134, 67], 'neurons_per_layer_decoder': [67, 134, 268, 536, 1072]}",1072,"[67, 134, 268, 536, 1072]","[1072, 536, 268, 134, 67]",0.9983417287456438,0.8436932398832542,COMPLETE
23,0.01554307916469815,2024-12-21 16:05:09.679887,2024-12-21 16:05:25.958567,0 days 00:00:16.278680,0.057507393307462296,512,0.1,784,50,0.0004471953680135518,16,0.0007343892647930125,5,5,"{'neurons_per_layer_encoder': [784, 392, 196, 98, 49], 'neurons_per_layer_decoder': [49, 98, 196, 392, 784]}",784,"[49, 98, 196, 392, 784]","[784, 392, 196, 98, 49]",0.9986763158160366,0.8058570652896285,COMPLETE
24,0.015076494628777406,2024-12-21 16:05:10.475033,2024-12-21 16:05:34.911506,0 days 00:00:24.436473,0.057021958236762635,512,0.1,784,50,0.0004672386100973394,16,0.0007661361203677773,5,5,"{'neurons_per_layer_encoder': [784, 392, 196, 98, 49], 'neurons_per_layer_decoder': [49, 98, 196, 392, 784]}",784,"[49, 98, 196, 392, 784]","[784, 392, 196, 98, 49]",0.9986683003343588,0.811685002607214,COMPLETE
25,0.014334223186316266,2024-12-21 16:05:16.041533,2024-12-21 16:05:38.941739,0 days 00:00:22.900206,0.07619247828624691,512,0.2,864,50,0.0004956373806937611,18,0.0007166378056715445,5,5,"{'neurons_per_layer_encoder': [864, 432, 216, 108, 54], 'neurons_per_layer_decoder': [54, 108, 216, 432, 864]}",864,"[54, 108, 216, 432, 864]","[864, 432, 216, 108, 54]",0.99863058200321,0.8209564445566577,COMPLETE
26,0.00915713084893895,2024-12-21 16:05:25.973991,2024-12-21 16:05:42.975888,0 days 00:00:17.001897,0.13723225108899345,384,0.2,736,50,1.9253311548695984e-05,15,0.0006988475184583008,5,5,"{'neurons_per_layer_encoder': [736, 368, 184, 92, 46], 'neurons_per_layer_decoder': [46, 92, 184, 368, 736]}",736,"[46, 92, 184, 368, 736]","[736, 368, 184, 92, 46]",0.998653080931164,0.8856216173319343,COMPLETE
27,0.01132138419595682,2024-12-21 16:05:26.162989,2024-12-21 16:05:55.489592,0 days 00:00:29.326603,0.06318654022916592,384,0.1,1216,50,2.3684885896152025e-05,25,0.0009817759112851604,5,5,"{'neurons_per_layer_encoder': [1216, 608, 304, 152, 76], 'neurons_per_layer_decoder': [76, 152, 304, 608, 1216]}",1216,"[76, 152, 304, 608, 1216]","[1216, 608, 304, 152, 76]",0.9983176264337051,0.8585887178790959,COMPLETE
28,0.00798154058896116,2024-12-21 16:05:33.559918,2024-12-21 16:05:58.398375,0 days 00:00:24.838457,0.029397400167133967,384,0.2,1248,50,6.0097235050032115e-05,26,0.0006958228655507244,5,5,"{'neurons_per_layer_encoder': [1248, 624, 312, 156, 78], 'neurons_per_layer_decoder': [78, 156, 312, 624, 1248]}",1248,"[78, 156, 312, 624, 1248]","[1248, 624, 312, 156, 78]",0.9987019442790237,0.9003054866393354,COMPLETE
29,0.00901647189751184,2024-12-21 16:05:34.922995,2024-12-21 16:06:03.627575,0 days 00:00:28.704580,0.032302181391179074,384,0.2,1248,50,5.1124071551900784e-05,26,0.000675958089402841,5,5,"{'neurons_per_layer_encoder': [1248, 624, 312, 156, 78], 'neurons_per_layer_decoder': [78, 156, 312, 624, 1248]}",1248,"[78, 156, 312, 624, 1248]","[1248, 624, 312, 156, 78]",0.998686647165081,0.8873785370087874,COMPLETE
