trial_id,best_loss,neurons_encoder,latent_dim,neurons_decoder
73,0.008421785019970235,"[1936, 968, 484, 242, 121]",40,"[121, 242, 484]"
74,0.007199770187999878,"[1744, 872, 436, 218, 109]",36,"[109, 218, 436]"
75,0.008522396042029687,"[1872, 936, 468, 234, 117]",39,"[117, 234, 468]"
76,0.01844834437952237,"[1744, 872, 436, 218]",72,"[218, 436, 872, 1744]"
77,0.0069400774051465485,"[1440, 720, 360, 180, 90]",30,"[90, 180, 360]"
78,0.007339638298189817,"[1872, 936, 468, 234, 117]",39,"[117, 234, 468]"
79,0.006575635919259148,"[1888, 944, 472, 236, 118]",39,"[118, 236]"
80,0.00784411846147943,"[1744, 872, 436, 218, 109]",36,"[109, 218]"
81,0.010549343721054812,"[1888, 944, 472, 236, 118]",39,"[118, 236]"
82,0.013067903673384711,"[1872, 936, 468, 234, 117]",39,"[117, 234]"
83,0.01054424089635329,"[1152, 576, 288, 144, 72]",24,"[72, 144]"
84,0.014621763575336195,"[1888, 944, 472, 236, 118]",39,"[118, 236]"
85,0.013248045894447115,"[1904, 952, 476, 238, 119]",39,"[119, 238]"
86,0.00782868661054935,"[1840, 920, 460, 230, 115]",38,"[115, 230]"
87,0.004381516712541631,"[1152, 576, 288, 144, 72]",24,"[72, 144]"
88,0.006914420926456107,"[1840, 920, 460, 230, 115]",38,"[115, 230]"
89,0.008559277712247525,"[528, 264, 132, 66, 33]",11,"[33, 66]"
90,0.008046017670279359,"[2048, 1024, 512, 256, 128]",42,"[128, 256]"
91,0.008933668637540033,"[656, 328, 164, 82, 41]",13,"[41, 82]"
92,0.00796946518313761,"[1824, 912, 456, 228, 114]",38,"[114, 228, 456, 912]"
93,0.006426242537664558,"[1632, 816, 408, 204, 102]",34,"[102, 204, 408, 816]"
94,0.01954369987034509,"[2048, 1024, 512, 256]",85,"[256, 512, 1024, 2048]"
95,0.006712801965218586,"[1632, 816, 408, 204, 102]",34,"[102, 204, 408, 816]"
