number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
13,-0.41457802749887507,2025-05-07 07:44:26.483002,2025-05-07 07:44:39.198375,0 days 00:00:12.715373,0.129944377262093,24,0.1,36,120,1.33121602687102e-06,496,2.692331189261699e-05,3,4,adadelta,"{'neurons_per_layer_encoder': [36, 72, 144, 288], 'neurons_per_layer_decoder': [288, 144, 72]}",36,,"[288, 144, 72]","[36, 72, 144, 288]",[-0.41457802749887507],0.626277728069938,COMPLETE
14,-0.043060900126868695,2025-05-07 07:44:30.354267,2025-05-07 07:44:53.354236,0 days 00:00:22.999969,0.024136506635135484,128,0.2,80,200,1.3833156296562411e-06,2388,1.0678080808709145e-05,3,5,sgd,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320]}",80,,"[1280, 640, 320]","[80, 160, 320, 640, 1280]",[-0.043060900126868695],0.6503427106180389,COMPLETE
15,-0.9103771193943595,2025-05-07 07:44:30.673283,2025-05-07 07:44:35.157778,0 days 00:00:04.484495,0.022630383183726382,128,0.2,144,200,0.0009439131896400448,458,1.3435661546255164e-05,4,2,sgd,"{'neurons_per_layer_encoder': [144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36]}",144,,"[288, 144, 72, 36]","[144, 288]",[-0.9103771193943595],0.9536345696435472,COMPLETE
16,-0.6104099870629658,2025-05-07 07:44:35.172002,2025-05-07 07:44:44.574914,0 days 00:00:09.402912,0.1062760529993561,128,0.30000000000000004,96,160,6.198038050839968e-05,2914,6.072299580442341e-05,4,5,sgd,"{'neurons_per_layer_encoder': [96, 192, 384, 768, 1536], 'neurons_per_layer_decoder': [1536, 768, 384, 192]}",96,,"[1536, 768, 384, 192]","[96, 192, 384, 768, 1536]",[-0.6104099870629658],0.9121291084454523,COMPLETE
17,-0.01276913297233584,2025-05-07 07:44:39.209150,2025-05-07 07:45:05.592138,0 days 00:00:26.382988,0.01738002015456631,128,0.30000000000000004,100,160,0.00011190838234655962,3177,0.0012447889660279227,4,5,sgd,"{'neurons_per_layer_encoder': [100, 200, 400, 800, 1600], 'neurons_per_layer_decoder': [1600, 800, 400, 200]}",100,,"[1600, 800, 400, 200]","[100, 200, 400, 800, 1600]",[-0.01276913297233584],0.9671740190311813,COMPLETE
18,-0.645517460000675,2025-05-07 07:44:42.814088,2025-05-07 07:44:45.738965,0 days 00:00:02.924877,0.019510515627233344,56,0.30000000000000004,92,180,6.703769554649833e-05,213,0.0012224874340566205,4,2,sgd,"{'neurons_per_layer_encoder': [92, 184], 'neurons_per_layer_decoder': [184, 92, 46, 23]}",92,,"[184, 92, 46, 23]","[92, 184]",[-0.645517460000675],0.6515064262992023,COMPLETE
19,-0.5420741308547188,2025-05-07 07:44:44.585139,2025-05-07 07:44:47.825926,0 days 00:00:03.240787,0.020241084859247135,56,0.30000000000000004,176,180,6.798674015039497e-06,591,0.0012800734008253402,4,2,sgd,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352, 176, 88, 44]}",176,,"[352, 176, 88, 44]","[176, 352]",[-0.5420741308547188],0.5361909838012187,COMPLETE
20,-2.6506425217673883,2025-05-07 07:44:45.749040,2025-05-07 07:44:53.247206,0 days 00:00:07.498166,0.027742055596379097,80,0.2,180,180,9.959411666583039e-06,2435,0.009982860146620445,3,4,adam,"{'neurons_per_layer_encoder': [180, 360, 720, 1440], 'neurons_per_layer_decoder': [1440, 720, 360]}",180,,"[1440, 720, 360]","[180, 360, 720, 1440]",[-2.6506425217673883],0.522456526925353,COMPLETE
21,-0.5371929422962907,2025-05-07 07:44:47.836645,2025-05-07 07:44:59.707699,0 days 00:00:11.871054,0.02992102740411862,80,0.2,120,160,0.00022439088997820467,1148,0.00011888231951153865,3,4,adam,"{'neurons_per_layer_encoder': [120, 240, 480, 960], 'neurons_per_layer_decoder': [960, 480, 240]}",120,,"[960, 480, 240]","[120, 240, 480, 960]",[-0.5371929422962907],0.9488226193677245,COMPLETE
22,-0.15067979981309132,2025-05-07 07:44:53.256134,2025-05-07 07:45:10.102670,0 days 00:00:16.846536,0.015102336751604778,112,0.30000000000000004,56,160,0.00016241728749494738,322,0.00010214443532023867,5,3,adam,"{'neurons_per_layer_encoder': [56, 112, 224], 'neurons_per_layer_decoder': [224, 112, 56, 28, 14]}",56,,"[224, 112, 56, 28, 14]","[56, 112, 224]",[-0.15067979981309132],0.8556073644498158,COMPLETE
