Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.0020025884628146824,0.9374717356156061,27.379612982466423,0.003743766273988474,0.9088622862919877,27.832225944696553
2,0.001895441488059061,0.940817262911859,27.410357855552913,0.002747789160299132,0.9331082114924537,27.195120592293975
3,0.0025340334621408627,0.9208780449793755,30.600940906032587,0.003076845828402745,0.9250977027649979,31.666668304060448
4,0.0017095942046483213,0.9466201067252578,28.651733664431756,0.003303941880713029,0.9195693087668264,31.182390136293236
5,0.00235628103989474,0.9264281371024222,29.319151305967406,0.003116774232539767,0.9241256913735973,30.298662246803715
6,0.0018678859526265875,0.9416776492751926,31.912433455399047,0.003562006698336988,0.9132870155504644,33.991737763480586
7,0.001654000228830889,0.9483559575416587,26.519352631669985,0.0026371376016565726,0.93580189729837,25.35209375808856
8,0.0016248905433011147,0.949264870254755,27.463737988432797,0.0030977392576646604,0.9245890760946629,28.354857605237655
9,0.0016582296823556273,0.9482238982628268,24.90824001413446,0.0028360533872610594,0.9309595197048798,27.440850030130186
10,0.0018745761453140125,0.9414687565621317,30.377183595122276,0.0026465854495256614,0.9355719002335873,32.67380983975083
