number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_relative_deterioration,state
11,-0.48650476337493465,-0.9528549817396044,-0.11800281408467672,2024-12-23 18:30:04.117486,2024-12-23 18:30:07.003571,0 days 00:00:02.886085,0.023680977267638143,120,0.1,88,100,3.69817559051174e-05,176,4.472608668040984e-05,5,1,sgd,"{'neurons_per_layer_encoder': [88], 'neurons_per_layer_decoder': [88, 44, 22, 11, 8]}",88,"[88, 44, 22, 11, 8]",[88],[-0.48650476337493465],[-0.9528549817396044],[-0.11800281408467672],0.04850508694751112,COMPLETE
12,-0.1260782642911693,-1.7533790315140787,-0.1861937699661842,2024-12-23 18:30:04.258275,2024-12-23 18:30:06.706873,0 days 00:00:02.448598,0.13654125860405195,40,0.2,80,100,5.419336427238492e-06,120,3.8686306110342615e-05,3,1,sgd,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40, 20]}",80,"[80, 40, 20]",[80],[-0.1260782642911693],[-1.7533790315140787],[-0.1861937699661842],0.19472042125693378,COMPLETE
13,0.07180658601341305,0.07002526792860964,0.15457119283796916,2024-12-23 18:30:04.528871,2024-12-23 18:30:13.887336,0 days 00:00:09.358465,0.11583152551833018,120,0.1,64,100,8.434248537842795e-06,584,0.0003314348116944049,1,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256]}",64,[256],"[64, 128, 256]",[0.07180658601341305],[0.07002526792860964],[0.15457119283796916],-1.2543749284551569,COMPLETE
14,0.11548574504609221,-0.6497252977170469,-0.13885932931331868,2024-12-23 18:30:06.716150,2024-12-23 18:30:17.773126,0 days 00:00:11.056976,0.015855939191843065,128,0.4,236,100,0.000594984802455546,308,5.810837971569237e-05,2,1,adam,"{'neurons_per_layer_encoder': [236], 'neurons_per_layer_decoder': [236, 118]}",236,"[236, 118]",[236],[0.11548574504609221],[-0.6497252977170469],[-0.13885932931331868],0.815387937845886,COMPLETE
15,0.6813526000583235,0.509925404947265,0.4044725627881247,2024-12-23 18:30:06.739978,2024-12-23 18:30:21.815915,0 days 00:00:15.075937,0.06258297462110675,32,0.1,252,100,5.747539101026804e-06,800,0.00014447027293832955,1,2,adam,"{'neurons_per_layer_encoder': [252, 504], 'neurons_per_layer_decoder': [504]}",252,[504],"[252, 504]",[0.6813526000583235],[0.509925404947265],[0.4044725627881247],-0.17654116074794218,COMPLETE
16,0.1338463221149797,0.044206819606906644,-0.11425414173854276,2024-12-23 18:30:07.014978,2024-12-23 18:30:31.965786,0 days 00:00:24.950808,0.05850969642778525,104,0.1,256,100,6.21011062121191e-06,3256,0.00020130762520617762,1,4,adam,"{'neurons_per_layer_encoder': [256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048]}",256,[2048],"[256, 512, 1024, 2048]",[0.1338463221149797],[0.044206819606906644],[-0.11425414173854276],0.06584587697800787,COMPLETE
17,0.1557595901860086,-0.06851497148592212,0.06752417008855915,2024-12-23 18:30:07.636140,2024-12-23 18:30:31.785185,0 days 00:00:24.149045,0.06123109926289645,72,0.2,252,100,2.8576575040647135e-06,3224,0.0001066619892428593,1,4,adam,"{'neurons_per_layer_encoder': [252, 504, 1008, 2016], 'neurons_per_layer_decoder': [2016]}",252,[2016],"[252, 504, 1008, 2016]",[0.1557595901860086],[-0.06851497148592212],[0.06752417008855915],-0.18834385531672646,COMPLETE
18,0.17607670912259865,0.15759741480255418,0.04127400771200551,2024-12-23 18:30:13.896271,2024-12-23 18:30:40.494974,0 days 00:00:26.598703,0.06315582134111584,64,0.2,256,100,2.2833357173571727e-06,3240,0.00013296560380747442,1,4,adam,"{'neurons_per_layer_encoder': [256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048]}",256,[2048],"[256, 512, 1024, 2048]",[0.17607670912259865],[0.15759741480255418],[0.04127400771200551],-0.18221440633142405,COMPLETE
19,-0.11312846619510952,-0.4354665650262499,-0.010457796778216899,2024-12-23 18:30:17.781999,2024-12-23 18:30:32.728197,0 days 00:00:14.946198,0.0630706760376114,64,0.2,4,100,3.6349621166738195e-06,35,0.0001400219611387317,1,4,adam,"{'neurons_per_layer_encoder': [4, 8, 16, 32], 'neurons_per_layer_decoder': [32]}",4,[32],"[4, 8, 16, 32]",[-0.11312846619510952],[-0.4354665650262499],[-0.010457796778216899],-0.11584539218855208,COMPLETE
20,0.17269573407972605,-0.6320973970990851,-0.34179656869169506,2024-12-23 18:30:21.899513,2024-12-23 18:30:34.386771,0 days 00:00:12.487258,0.06602241129635981,32,0.2,4,100,1.6650134381319444e-06,8,0.00012167761178779415,1,2,adam,"{'neurons_per_layer_encoder': [4, 8], 'neurons_per_layer_decoder': [8]}",4,[8],"[4, 8]",[0.17269573407972605],[-0.6320973970990851],[-0.34179656869169506],-0.05961772022485776,COMPLETE
