number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_relative_deterioration,state
148,0.6011029854812049,0.6354380243155491,0.21318104608376864,2024-12-23 18:33:52.573111,2024-12-23 18:33:56.639981,0 days 00:00:04.066870,0.18592792447755488,32,0.2,104,100,3.900987391782259e-06,424,0.00011954666253702027,1,2,adam,"{'neurons_per_layer_encoder': [104, 208], 'neurons_per_layer_decoder': [208]}",104,[208],"[104, 208]",[0.6011029854812049],[0.6354380243155491],[0.21318104608376864],-0.0622635564361625,COMPLETE
149,0.6174888892876764,0.7464824386283879,0.3986470642427503,2024-12-23 18:33:52.580630,2024-12-23 18:33:56.507226,0 days 00:00:03.926596,0.03584811121101017,32,0.2,108,100,3.795876399600645e-06,400,0.00012560285621368084,1,2,adam,"{'neurons_per_layer_encoder': [108, 216], 'neurons_per_layer_decoder': [216]}",108,[216],"[108, 216]",[0.6174888892876764],[0.7464824386283879],[0.3986470642427503],0.2113516109207022,COMPLETE
150,0.5922054409265407,0.6602842174515663,0.2801881413741911,2024-12-23 18:33:53.361863,2024-12-23 18:33:58.419833,0 days 00:00:05.057970,0.18811981437670694,32,0.2,168,100,2.688980224634754e-06,568,0.001001817383820605,1,2,adam,"{'neurons_per_layer_encoder': [168, 336], 'neurons_per_layer_decoder': [336]}",168,[336],"[168, 336]",[0.5922054409265407],[0.6602842174515663],[0.2801881413741911],-0.35511751576979356,COMPLETE
151,0.625665439105813,0.6158201511217862,0.31734467470174865,2024-12-23 18:33:53.425954,2024-12-23 18:33:57.291421,0 days 00:00:03.865467,0.08516776329597779,32,0.2,104,100,0.00034264406923573674,408,0.00012839843471569264,1,2,adam,"{'neurons_per_layer_encoder': [104, 208], 'neurons_per_layer_decoder': [208]}",104,[208],"[104, 208]",[0.625665439105813],[0.6158201511217862],[0.31734467470174865],0.8502957436844719,COMPLETE
152,0.6214876960184774,0.6809107748017358,0.2710545625694254,2024-12-23 18:33:55.430425,2024-12-23 18:33:59.553163,0 days 00:00:04.122738,0.0854904632023768,32,0.2,108,100,2.3066012969537207e-05,336,0.0036355675834691802,1,2,adam,"{'neurons_per_layer_encoder': [108, 216], 'neurons_per_layer_decoder': [216]}",108,[216],"[108, 216]",[0.6214876960184774],[0.6809107748017358],[0.2710545625694254],-0.2572362254622636,COMPLETE
153,0.23977664339893157,-0.02338455957958052,0.20341067817335667,2024-12-23 18:33:55.641774,2024-12-23 18:33:57.915050,0 days 00:00:02.273276,0.08325039443695499,32,0.2,168,100,1.9517851424851358e-05,744,0.005053960356538461,1,2,adam,"{'neurons_per_layer_encoder': [168, 336], 'neurons_per_layer_decoder': [336]}",168,[336],"[168, 336]",[0.23977664339893157],[-0.02338455957958052],[0.20341067817335667],-0.398975633024827,COMPLETE
154,0.2941524658064787,0.42633366542873075,0.12863410010689658,2024-12-23 18:33:56.515497,2024-12-23 18:34:02.383555,0 days 00:00:05.868058,0.038273585382515685,56,0.1,108,100,5.761287643473614e-06,584,0.00013372227028430762,3,3,adam,"{'neurons_per_layer_encoder': [108, 216, 432], 'neurons_per_layer_decoder': [432, 216, 108]}",108,"[432, 216, 108]","[108, 216, 432]",[0.2941524658064787],[0.42633366542873075],[0.12863410010689658],0.05538914144983331,COMPLETE
155,-0.08893848162994278,-0.4565908031979664,-0.3842425791102313,2024-12-23 18:33:56.648302,2024-12-23 18:34:00.559914,0 days 00:00:03.911612,0.03184648545843625,120,0.1,132,100,5.933830889261573e-06,632,0.000102533226618492,3,3,sgd,"{'neurons_per_layer_encoder': [132, 264, 528], 'neurons_per_layer_decoder': [528, 264, 132]}",132,"[528, 264, 132]","[132, 264, 528]",[-0.08893848162994278],[-0.4565908031979664],[-0.3842425791102313],0.325764585869727,COMPLETE
156,0.6419086434852397,0.6737679692973357,0.4138938592543261,2024-12-23 18:33:57.300547,2024-12-23 18:34:01.542086,0 days 00:00:04.241539,0.03253429105190949,32,0.2,112,100,2.262356899825036e-05,456,0.0001336900787012547,1,2,adam,"{'neurons_per_layer_encoder': [112, 224], 'neurons_per_layer_decoder': [224]}",112,[224],"[112, 224]",[0.6419086434852397],[0.6737679692973357],[0.4138938592543261],0.3704236057933768,COMPLETE
157,-0.32877801954015684,-0.9168474282036008,-0.07403924646903226,2024-12-23 18:33:57.922928,2024-12-23 18:33:59.748235,0 days 00:00:01.825307,0.030165006719641185,120,0.2,132,100,5.971460929779722e-06,384,0.0001347231498641749,1,2,sgd,"{'neurons_per_layer_encoder': [132, 264], 'neurons_per_layer_decoder': [264]}",132,[264],"[132, 264]",[-0.32877801954015684],[-0.9168474282036008],[-0.07403924646903226],0.41096698274936877,COMPLETE
158,-0.764985655968816,-1.4157298883472347,-0.47528303444709374,2024-12-23 18:33:58.427046,2024-12-23 18:34:00.006401,0 days 00:00:01.579355,0.03274384467936862,32,0.2,112,100,3.893122248823987e-06,376,9.7474019623045e-05,1,2,sgd,"{'neurons_per_layer_encoder': [112, 224], 'neurons_per_layer_decoder': [224]}",112,[224],"[112, 224]",[-0.764985655968816],[-1.4157298883472347],[-0.47528303444709374],0.078805983285705,COMPLETE
159,-0.5245037700273869,-0.17869283791673807,0.1572205927669148,2024-12-23 18:33:59.562435,2024-12-23 18:34:02.599154,0 days 00:00:03.036719,0.03061203812573504,32,0.2,96,100,4.011043269301662e-05,376,0.00010382095027738046,1,2,sgd,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192]}",96,[192],"[96, 192]",[-0.5245037700273869],[-0.17869283791673807],[0.1572205927669148],0.3519303413726482,COMPLETE
160,0.552338374598002,0.5981079821099107,0.37830425400121015,2024-12-23 18:33:59.754830,2024-12-23 18:34:03.821988,0 days 00:00:04.067158,0.032863438947801506,32,0.2,112,100,3.980343324992642e-06,312,9.535242153755209e-05,1,2,adam,"{'neurons_per_layer_encoder': [112, 224], 'neurons_per_layer_decoder': [224]}",112,[224],"[112, 224]",[0.552338374598002],[0.5981079821099107],[0.37830425400121015],0.09700962758100698,COMPLETE
161,0.4436285099489793,0.3665788627139054,0.2773906624447925,2024-12-23 18:34:00.014082,2024-12-23 18:34:04.179152,0 days 00:00:04.165070,0.03934796825480796,40,0.2,96,100,5.404213179825349e-06,328,0.00010421147301251073,1,2,adam,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192]}",96,[192],"[96, 192]",[0.4436285099489793],[0.3665788627139054],[0.2773906624447925],-0.11598547809696105,COMPLETE
162,0.5486054619550216,0.5482020245434684,0.28966849882214996,2024-12-23 18:34:00.568456,2024-12-23 18:34:05.039010,0 days 00:00:04.470554,0.03312509287690822,40,0.2,112,100,4.1333587392316345e-05,456,0.00011520377542516868,1,2,adam,"{'neurons_per_layer_encoder': [112, 224], 'neurons_per_layer_decoder': [224]}",112,[224],"[112, 224]",[0.5486054619550216],[0.5482020245434684],[0.28966849882214996],0.3994344871270614,COMPLETE
163,0.6588077526831739,0.5807308921549947,0.3241599237902625,2024-12-23 18:34:01.550508,2024-12-23 18:34:06.868657,0 days 00:00:05.318149,0.03430685856323142,32,0.1,96,100,3.968172461302797e-05,456,0.00011730338258676385,1,3,adam,"{'neurons_per_layer_encoder': [96, 192, 384], 'neurons_per_layer_decoder': [384]}",96,[384],"[96, 192, 384]",[0.6588077526831739],[0.5807308921549947],[0.3241599237902625],0.5351502117668915,COMPLETE
164,0.4694756007480888,0.3670098053518773,0.28484880395713963,2024-12-23 18:34:02.392488,2024-12-23 18:34:07.523518,0 days 00:00:05.131030,0.03329391002082203,40,0.1,100,100,2.7273154564810354e-05,456,0.00011280285735211787,1,3,adam,"{'neurons_per_layer_encoder': [100, 200, 400], 'neurons_per_layer_decoder': [400]}",100,[400],"[100, 200, 400]",[0.4694756007480888],[0.3670098053518773],[0.28484880395713963],0.2291228875180649,COMPLETE
165,0.5306091076167612,0.5530521645149964,0.3870357091775811,2024-12-23 18:34:02.607890,2024-12-23 18:34:08.104471,0 days 00:00:05.496581,0.033926459410522546,40,0.1,116,100,2.8024945649528367e-05,504,0.000786621570317171,1,3,adam,"{'neurons_per_layer_encoder': [116, 232, 464], 'neurons_per_layer_decoder': [464]}",116,[464],"[116, 232, 464]",[0.5306091076167612],[0.5530521645149964],[0.3870357091775811],0.30256609948076063,COMPLETE
166,0.5583736117567116,0.33832234300574926,0.36272060720038557,2024-12-23 18:34:03.830730,2024-12-23 18:34:09.117401,0 days 00:00:05.286671,0.03426675416364789,40,0.1,116,100,9.301831614188336e-06,488,0.0001508006732450742,1,3,adam,"{'neurons_per_layer_encoder': [116, 232, 464], 'neurons_per_layer_decoder': [464]}",116,[464],"[116, 232, 464]",[0.5583736117567116],[0.33832234300574926],[0.36272060720038557],-0.11475591395775679,COMPLETE
167,0.6244174036025054,0.7009234653907827,0.36820411477904,2024-12-23 18:34:04.188302,2024-12-23 18:34:10.466457,0 days 00:00:06.278155,0.025805826693877095,32,0.1,116,100,3.05805112801702e-05,504,0.00016424449854193058,1,3,adam,"{'neurons_per_layer_encoder': [116, 232, 464], 'neurons_per_layer_decoder': [464]}",116,[464],"[116, 232, 464]",[0.6244174036025054],[0.7009234653907827],[0.36820411477904],0.5100240974850206,COMPLETE
168,0.7109792316452133,0.7307821437985382,0.3125291958840507,2024-12-23 18:34:05.047469,2024-12-23 18:34:11.054905,0 days 00:00:06.007436,0.024953397274576745,32,0.1,100,100,2.906885814610108e-05,504,0.0001411680785184497,1,3,adam,"{'neurons_per_layer_encoder': [100, 200, 400], 'neurons_per_layer_decoder': [400]}",100,[400],"[100, 200, 400]",[0.7109792316452133],[0.7307821437985382],[0.3125291958840507],0.507519880948434,COMPLETE
169,0.6360030308711904,0.7012239383880067,0.2511665491222458,2024-12-23 18:34:06.875523,2024-12-23 18:34:11.373991,0 days 00:00:04.498468,0.025258289382438143,32,0.2,116,100,1.3235562384527564e-05,432,0.0001540631170976492,1,2,adam,"{'neurons_per_layer_encoder': [116, 232], 'neurons_per_layer_decoder': [232]}",116,[232],"[116, 232]",[0.6360030308711904],[0.7012239383880067],[0.2511665491222458],0.2108124348047805,COMPLETE
170,0.580651550218352,0.5060798871566414,0.3747410600143808,2024-12-23 18:34:08.112381,2024-12-23 18:34:12.239939,0 days 00:00:04.127558,0.04449744756340589,32,0.2,100,100,9.84861055263669e-06,400,0.0001445559298721681,1,2,adam,"{'neurons_per_layer_encoder': [100, 200], 'neurons_per_layer_decoder': [200]}",100,[200],"[100, 200]",[0.580651550218352],[0.5060798871566414],[0.3747410600143808],0.14897678993264438,COMPLETE
171,0.44419146295933154,0.45936297086004174,0.39939235383088645,2024-12-23 18:34:09.125275,2024-12-23 18:34:13.867175,0 days 00:00:04.741900,0.025627936236667797,32,0.2,220,100,4.818649636577283e-06,464,1.5191702318551966e-05,1,2,adam,"{'neurons_per_layer_encoder': [220, 440], 'neurons_per_layer_decoder': [440]}",220,[440],"[220, 440]",[0.44419146295933154],[0.45936297086004174],[0.39939235383088645],0.29151137155997064,COMPLETE
172,-0.2224514199084302,-1.11243342749632,-0.02162590149268917,2024-12-23 18:34:10.474510,2024-12-23 18:34:13.493816,0 days 00:00:03.019306,0.02350686091598403,32,0.2,100,100,0.00012169660727683515,432,0.000730411767762119,1,2,adadelta,"{'neurons_per_layer_encoder': [100, 200], 'neurons_per_layer_decoder': [200]}",100,[200],"[100, 200]",[-0.2224514199084302],[-1.11243342749632],[-0.02162590149268917],0.45936061009894696,COMPLETE
173,0.4429492201768528,0.37644522662767166,0.3392693715560742,2024-12-23 18:34:11.062639,2024-12-23 18:34:16.357448,0 days 00:00:05.294809,0.026120852048148707,56,0.1,100,100,2.3869449219555395e-05,440,0.00016656061491925614,3,3,adam,"{'neurons_per_layer_encoder': [100, 200, 400], 'neurons_per_layer_decoder': [400, 200, 100]}",100,"[400, 200, 100]","[100, 200, 400]",[0.4429492201768528],[0.37644522662767166],[0.3392693715560742],0.515218041434172,COMPLETE
174,-0.11251911935514802,0.02610631742045222,0.16077430189408615,2024-12-23 18:34:11.382412,2024-12-23 18:34:16.350870,0 days 00:00:04.968458,0.02232987155544086,80,0.1,100,100,3.053620133335343e-05,536,0.00016956041209202042,3,3,adam,"{'neurons_per_layer_encoder': [100, 200, 400], 'neurons_per_layer_decoder': [400, 200, 100]}",100,"[400, 200, 100]","[100, 200, 400]",[-0.11251911935514802],[0.02610631742045222],[0.16077430189408615],0.27854700151066003,COMPLETE
175,0.5474183031314728,0.6187429480363522,0.3163315915329399,2024-12-23 18:34:13.501235,2024-12-23 18:34:18.474261,0 days 00:00:04.973026,0.02910071148747261,32,0.1,124,100,3.139238940775151e-05,536,0.0001695711299743933,1,3,adam,"{'neurons_per_layer_encoder': [124, 248, 496], 'neurons_per_layer_decoder': [496]}",124,[496],"[124, 248, 496]",[0.5474183031314728],[0.6187429480363522],[0.3163315915329399],0.4771572472159795,COMPLETE
176,0.6055021726211551,0.7355700630237028,0.332928823946101,2024-12-23 18:34:16.362791,2024-12-23 18:34:23.081297,0 days 00:00:06.718506,0.028887284451439198,32,0.1,92,100,3.308053493424032e-05,776,0.0001296081092117242,1,4,adam,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736]}",92,[736],"[92, 184, 368, 736]",[0.6055021726211551],[0.7355700630237028],[0.332928823946101],0.6975771249591342,COMPLETE
177,0.5919463827080722,0.6688990798735015,0.347444389393997,2024-12-23 18:34:18.480017,2024-12-23 18:34:25.159512,0 days 00:00:06.679495,0.02110740107992914,32,0.1,108,100,3.5032018275755386e-05,920,0.00012988480346083316,1,4,adam,"{'neurons_per_layer_encoder': [108, 216, 432, 864], 'neurons_per_layer_decoder': [864]}",108,[864],"[108, 216, 432, 864]",[0.5919463827080722],[0.6688990798735015],[0.347444389393997],0.7340165020091353,COMPLETE
178,0.5720121009890995,0.7184718321517223,0.3550217398886636,2024-12-23 18:34:23.086157,2024-12-23 18:34:29.109311,0 days 00:00:06.023154,0.027836618111864376,32,0.1,92,100,1.9881161464609933e-05,760,0.00012651128954525452,1,4,adam,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736]}",92,[736],"[92, 184, 368, 736]",[0.5720121009890995],[0.7184718321517223],[0.3550217398886636],0.554673450475173,COMPLETE
179,0.668325461055024,0.7257579582761158,0.23856708514108582,2024-12-23 18:34:29.113624,2024-12-23 18:34:32.995769,0 days 00:00:03.882145,0.02987336907689677,32,0.1,92,100,5.163057912252763e-05,504,6.918096518230777e-05,1,3,adam,"{'neurons_per_layer_encoder': [92, 184, 368], 'neurons_per_layer_decoder': [368]}",92,[368],"[92, 184, 368]",[0.668325461055024],[0.7257579582761158],[0.23856708514108582],0.6270575220602378,COMPLETE
180,0.1680070784375165,0.2256733115807943,0.09099970564450954,2024-12-23 19:07:54.295304,2024-12-23 19:07:57.104739,0 days 00:00:02.809435,0.03809816584210805,96,0.1,108,100,6.55823050802487e-05,164,8.012603448058608e-05,1,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[0.1680070784375165],[0.2256733115807943],[0.09099970564450954],-0.1835663655648674,COMPLETE
181,0.18179238809614517,0.21975509228104362,0.12129956060910962,2024-12-23 19:07:54.296894,2024-12-23 19:07:57.153329,0 days 00:00:02.856435,0.03956475443132296,96,0.1,108,100,2.6538864860221415e-05,148,8.029441290790115e-05,1,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[0.18179238809614517],[0.21975509228104362],[0.12129956060910962],-0.5728195052820196,COMPLETE
182,0.6527838181204821,0.6778511077180991,0.3626865776871636,2024-12-23 19:07:54.298587,2024-12-23 19:07:57.300743,0 days 00:00:03.002156,0.038122359485964034,32,0.1,108,100,7.103243732706087e-05,228,0.00022351379842010924,1,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[0.6527838181204821],[0.6778511077180991],[0.3626865776871636],0.1623920501332098,COMPLETE
183,0.35026944256729087,0.3085302241552589,0.09614162296182016,2024-12-23 19:07:54.299251,2024-12-23 19:07:57.124105,0 days 00:00:02.824854,0.03847835018235989,96,0.1,108,100,1.681166602749964e-05,244,0.00023588956114883777,1,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[0.35026944256729087],[0.3085302241552589],[0.09614162296182016],-0.8447554684420053,COMPLETE
184,0.1844487347287166,0.30157528396138855,0.18845945720291568,2024-12-23 19:07:54.298681,2024-12-23 19:07:57.145127,0 days 00:00:02.846446,0.03772651567445463,96,0.1,108,100,2.5486317695095305e-05,148,8.086223057610976e-05,1,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[0.1844487347287166],[0.30157528396138855],[0.18845945720291568],-0.35273327288951856,COMPLETE
185,0.28320451816516945,0.11918767833768362,0.3103594333651607,2024-12-23 19:07:54.298672,2024-12-23 19:07:57.191688,0 days 00:00:02.893016,0.01579349704128814,96,0.1,108,100,2.5584344817692338e-05,164,0.000230609809832508,1,1,adam,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108]}",108,[108],[108],[0.28320451816516945],[0.11918767833768362],[0.3103594333651607],-0.6635764903483192,COMPLETE
186,0.693007153617774,0.7405141157593462,0.47808051145180075,2024-12-23 19:07:57.112257,2024-12-23 19:08:08.954539,0 days 00:00:11.842282,0.027447327598368754,32,0.1,92,100,2.0352746303229343e-05,760,0.00012244799511954487,1,4,adam,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736]}",92,[736],"[92, 184, 368, 736]",[0.693007153617774],[0.7405141157593462],[0.47808051145180075],0.6471428152428721,COMPLETE
187,0.5600412877441528,0.6862138412141279,0.4168379917853424,2024-12-23 19:07:57.134345,2024-12-23 19:08:09.168191,0 days 00:00:12.033846,0.0281848096080524,32,0.1,92,100,2.2628621115134867e-05,760,0.00012539159197811668,1,4,adam,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736]}",92,[736],"[92, 184, 368, 736]",[0.5600412877441528],[0.6862138412141279],[0.4168379917853424],0.5996091754900722,COMPLETE
188,0.5992876101605514,0.672114933497112,0.45730351733628605,2024-12-23 19:07:57.154473,2024-12-23 19:08:12.439973,0 days 00:00:15.285500,0.028125592844122367,32,0.1,232,100,2.037519847609614e-05,1880,0.000126303183613672,1,4,adam,"{'neurons_per_layer_encoder': [232, 464, 928, 1856], 'neurons_per_layer_decoder': [1856]}",232,[1856],"[232, 464, 928, 1856]",[0.5992876101605514],[0.672114933497112],[0.45730351733628605],0.7914632312604143,COMPLETE
189,0.6444146159551147,0.6092896757080986,0.3509097189529766,2024-12-23 19:07:57.164210,2024-12-23 19:08:08.950450,0 days 00:00:11.786240,0.02684953005933231,32,0.1,92,100,2.053333620940253e-05,760,0.00011776873393865849,1,4,adam,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736]}",92,[736],"[92, 184, 368, 736]",[0.6444146159551147],[0.6092896757080986],[0.3509097189529766],0.5613410955296804,COMPLETE
190,0.6217652808034404,0.5404436327352427,0.3581909652327435,2024-12-23 19:07:57.201458,2024-12-23 19:08:10.032489,0 days 00:00:12.831031,0.028185059274989946,32,0.1,124,100,3.6031832937235726e-05,1016,0.00012486485400311795,1,4,adam,"{'neurons_per_layer_encoder': [124, 248, 496, 992], 'neurons_per_layer_decoder': [992]}",124,[992],"[124, 248, 496, 992]",[0.6217652808034404],[0.5404436327352427],[0.3581909652327435],0.7513595799620981,COMPLETE
191,0.5471458159750127,0.6454220471668469,0.31876380564009366,2024-12-23 19:07:57.313925,2024-12-23 19:08:10.352085,0 days 00:00:13.038160,0.035871729054702456,32,0.1,124,100,2.0421823412667894e-05,1016,0.00013836842700465292,1,4,adam,"{'neurons_per_layer_encoder': [124, 248, 496, 992], 'neurons_per_layer_decoder': [992]}",124,[992],"[124, 248, 496, 992]",[0.5471458159750127],[0.6454220471668469],[0.31876380564009366],0.5955239627029029,COMPLETE
192,-0.2628935277954263,-0.15015322985008805,-0.12979150047858412,2024-12-23 19:08:08.962978,2024-12-23 19:08:24.119058,0 days 00:00:15.156080,0.029079025827456494,72,0.4,88,100,1.963692928625948e-05,3096,6.743797687694193e-05,4,5,adadelta,"{'neurons_per_layer_encoder': [88, 176, 352, 704, 1408], 'neurons_per_layer_decoder': [1408, 704, 352, 176]}",88,"[1408, 704, 352, 176]","[88, 176, 352, 704, 1408]",[-0.2628935277954263],[-0.15015322985008805],[-0.12979150047858412],0.6987805703674471,COMPLETE
193,-0.659595329424544,-0.4990510104533321,-0.08210599873840119,2024-12-23 19:08:08.965601,2024-12-23 19:08:21.002356,0 days 00:00:12.036755,0.028800906273796646,72,0.4,88,100,2.0723897860254293e-05,3128,2.994795502052207e-05,4,5,adadelta,"{'neurons_per_layer_encoder': [88, 176, 352, 704, 1408], 'neurons_per_layer_decoder': [1408, 704, 352, 176]}",88,"[1408, 704, 352, 176]","[88, 176, 352, 704, 1408]",[-0.659595329424544],[-0.4990510104533321],[-0.08210599873840119],0.6677399883580617,COMPLETE
194,-1.3329124242053827,-0.537281629479653,-0.024672047858478097,2024-12-23 19:08:09.181368,2024-12-23 19:08:14.899887,0 days 00:00:05.718519,0.02740926577882613,112,0.1,92,100,2.0592179172888686e-05,776,6.370166842040394e-05,4,4,adadelta,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736, 368, 184, 92]}",92,"[736, 368, 184, 92]","[92, 184, 368, 736]",[-1.3329124242053827],[-0.537281629479653],[-0.024672047858478097],0.43601057262661624,COMPLETE
195,-0.012413900922324084,-0.5160252220481103,-0.02256465859392298,2024-12-23 19:08:10.042638,2024-12-23 19:08:19.915652,0 days 00:00:09.873014,0.027967653257587387,128,0.1,88,100,1.959767358937066e-05,776,6.706381271117652e-05,4,4,adadelta,"{'neurons_per_layer_encoder': [88, 176, 352, 704], 'neurons_per_layer_decoder': [704, 352, 176, 88]}",88,"[704, 352, 176, 88]","[88, 176, 352, 704]",[-0.012413900922324084],[-0.5160252220481103],[-0.02256465859392298],0.560790995899242,COMPLETE
196,-0.38777782679456374,-0.900453539816559,-0.1749450251304172,2024-12-23 19:08:10.361011,2024-12-23 19:08:15.925003,0 days 00:00:05.563992,0.029597686885741253,128,0.1,4,100,1.5197265926387387e-05,35,7.09300309924831e-05,5,4,adadelta,"{'neurons_per_layer_encoder': [4, 8, 16, 32], 'neurons_per_layer_decoder': [32, 16, 8, 8, 8]}",4,"[32, 16, 8, 8, 8]","[4, 8, 16, 32]",[-0.38777782679456374],[-0.900453539816559],[-0.1749450251304172],0.03561994160991691,COMPLETE
197,-0.4921865425359526,-1.2749989754979465,-0.06516713320854994,2024-12-23 19:08:12.448649,2024-12-23 19:08:19.119866,0 days 00:00:06.671217,0.02773088718231178,128,0.1,8,100,1.5650636807000358e-05,118,0.002882903278587741,4,4,adadelta,"{'neurons_per_layer_encoder': [8, 16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",8,"[64, 32, 16, 8]","[8, 16, 32, 64]",[-0.4921865425359526],[-1.2749989754979465],[-0.06516713320854994],0.21740953683048814,COMPLETE
198,-1.0219596538346587,-1.8326982131059122,-0.07371638456576446,2024-12-23 19:08:14.907919,2024-12-23 19:08:21.628657,0 days 00:00:06.720738,0.024659349336624403,72,0.1,80,100,1.5546885775640664e-05,824,0.002685830192364346,4,4,adadelta,"{'neurons_per_layer_encoder': [80, 160, 320, 640], 'neurons_per_layer_decoder': [640, 320, 160, 80]}",80,"[640, 320, 160, 80]","[80, 160, 320, 640]",[-1.0219596538346587],[-1.8326982131059122],[-0.07371638456576446],0.3136968453116683,COMPLETE
199,0.09445031014013472,0.053642081379108086,-0.24536410010319698,2024-12-23 19:08:15.934669,2024-12-23 19:08:24.374195,0 days 00:00:08.439526,0.024685421635595572,80,0.1,88,100,1.82822025948075e-05,808,0.007294670131716179,5,4,sgd,"{'neurons_per_layer_encoder': [88, 176, 352, 704], 'neurons_per_layer_decoder': [704, 352, 176, 88, 44]}",88,"[704, 352, 176, 88, 44]","[88, 176, 352, 704]",[0.09445031014013472],[0.053642081379108086],[-0.24536410010319698],0.5278774919299344,COMPLETE
200,-0.15368806156657966,-1.2675774597692948,-0.14882335257647084,2024-12-23 19:08:19.126965,2024-12-23 19:08:22.953847,0 days 00:00:03.826882,0.02513914983736894,72,0.1,84,100,1.829150022246289e-05,824,4.695404097481785e-05,4,4,sgd,"{'neurons_per_layer_encoder': [84, 168, 336, 672], 'neurons_per_layer_decoder': [672, 336, 168, 84]}",84,"[672, 336, 168, 84]","[84, 168, 336, 672]",[-0.15368806156657966],[-1.2675774597692948],[-0.14882335257647084],0.4649325374788956,COMPLETE
201,-1.1247872738266889,-0.8785625777675714,-0.06189977684265768,2024-12-23 19:08:19.924812,2024-12-23 19:08:23.629449,0 days 00:00:03.704637,0.024012227263686542,80,0.1,84,100,1.7489711317418773e-05,824,1.9508070378597224e-05,5,4,sgd,"{'neurons_per_layer_encoder': [84, 168, 336, 672], 'neurons_per_layer_decoder': [672, 336, 168, 84, 42]}",84,"[672, 336, 168, 84, 42]","[84, 168, 336, 672]",[-1.1247872738266889],[-0.8785625777675714],[-0.06189977684265768],0.38225273520340647,COMPLETE
202,-0.36713935217895366,-0.47365207587024893,-0.43968292547450605,2024-12-23 19:08:21.012462,2024-12-23 19:08:24.845404,0 days 00:00:03.832942,0.024227853813715148,120,0.1,80,100,1.3480953790417533e-05,728,4.831347109235237e-05,5,4,sgd,"{'neurons_per_layer_encoder': [80, 160, 320, 640], 'neurons_per_layer_decoder': [640, 320, 160, 80, 40]}",80,"[640, 320, 160, 80, 40]","[80, 160, 320, 640]",[-0.36713935217895366],[-0.47365207587024893],[-0.43968292547450605],0.3937599887530802,COMPLETE
203,-0.2592663984072534,-0.29272102191432414,-0.29422499246847766,2024-12-23 19:08:21.636026,2024-12-23 19:08:27.953451,0 days 00:00:06.317425,0.023508455860925988,80,0.1,84,100,0.000641616656063742,728,5.56087287401177e-05,5,4,sgd,"{'neurons_per_layer_encoder': [84, 168, 336, 672], 'neurons_per_layer_decoder': [672, 336, 168, 84, 42]}",84,"[672, 336, 168, 84, 42]","[84, 168, 336, 672]",[-0.2592663984072534],[-0.29272102191432414],[-0.29422499246847766],0.9623455084964087,COMPLETE
204,-0.9579257170515039,0.05535510888889894,-0.34253510071461934,2024-12-23 19:08:22.963723,2024-12-23 19:08:28.286104,0 days 00:00:05.322381,0.0231505216023163,80,0.1,92,100,2.290882379968057e-05,1592,0.0060158810872939505,5,4,sgd,"{'neurons_per_layer_encoder': [92, 184, 368, 736], 'neurons_per_layer_decoder': [736, 368, 184, 92, 46]}",92,"[736, 368, 184, 92, 46]","[92, 184, 368, 736]",[-0.9579257170515039],[0.05535510888889894],[-0.34253510071461934],0.5462297607546888,COMPLETE
