Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.007462133465496518,0.8434548335971465,25.516073805209878,0.013480323371145585,0.7393091149623318,38.02017901897566
2,0.0067058569333865925,0.859320461853883,24.505019027778175,0.013167238577005778,0.745363743610992,37.53597404542316
3,0.006878939812443933,0.8556894241313873,22.932873725435996,0.013352049539709377,0.7417897541668671,34.85106604832863
4,0.007140919179841551,0.850193461903828,24.779910417782634,0.014094826967837513,0.727425461872574,36.59851921276912
5,0.007366404985253624,0.8454630837763222,25.229760287744746,0.014989404669724248,0.7101255613865816,38.06921285240857
6,0.006352032195888317,0.8667432120184605,21.502918527961665,0.012542650602598916,0.7574424146746649,34.17072078654571
7,0.047406666668762684,0.0054741641139668396,40.638001975891626,0.052659139521066385,-0.018355221096023167,44.45960859425723
8,0.00543750449907846,0.8859287292889683,19.372000786287416,0.011217711087856453,0.783064919803801,29.909634859534595
9,0.006644988324732086,0.8605974004820366,23.13323869114652,0.012475293131074275,0.7587450153899595,34.38844896756398
10,0.006100396363294433,0.8720221812929279,18.799071777673507,0.011990236164053815,0.7681253489728256,28.44121845581927
