,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.005673317392446425,0.13357663238764428,19.228793111085434,0.0017427005894874521,-3.387230858577487,5.876782992095943
max,10.0,0.054878412657155165,0.9104293560492354,43.51597551021165,0.04143856365683026,0.8154948162108822,30.779996032784396
mean,5.5,0.02826808602861753,0.5537019183502705,32.21403496447755,0.01614356415131812,-0.7091698302726781,16.063577551334333
