Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.03950292397277842,0.3763256850584754,35.974833832764844,0.02589664332819406,-1.7417589490773975,22.4300843983203
2,0.024179416887717194,0.6182540494084874,31.132656597284424,0.004541040983270384,0.519225731450152,7.396148645093049
3,0.03106574707289178,0.5095322934276014,34.924863203256,0.00838856800137331,0.11187596414591117,12.401437754104771
4,0.02598690528969868,0.5897173240853855,34.5519639814743,0.01528528270349675,-0.6183008782402197,17.444525043676443
5,0.005673317392446425,0.9104293560492354,19.228793111085434,0.0017427005894874521,0.8154948162108822,5.876782992095943
6,0.03624898100031065,0.42769911391176985,34.611180580568856,0.025843064469095123,-1.7360863870177452,22.858702510840303
7,0.054878412657155165,0.13357663238764428,43.51597551021165,0.04143856365683026,-3.387230858577487,30.779996032784396
8,0.013191519338319106,0.7917315742998307,26.026513573408472,0.007033531719885166,0.25533791031442876,10.199353547964197
9,0.04273838537630677,0.3252440442220703,37.53179346336296,0.02772383574096548,-1.9352095475164703,23.878518075681544
10,0.009215251298551087,0.8545091106522055,24.641775791358544,0.003542410320583227,0.6249538955811651,7.37022651278237
