number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
13,-1.0466302327947523,0.002982526907992167,2024-12-23 23:12:41.694210,2024-12-23 23:12:49.026367,0 days 00:00:07.332157,0.052278728772133,88,0.4,212,100,4.721676025805959e-05,448,1.2480284661029307e-05,1,2,adam,"{'neurons_per_layer_encoder': [212, 424], 'neurons_per_layer_decoder': [424]}",212,[424],"[212, 424]",[-1.0466302327947523],[0.002982526907992167],0.5873443106727183,COMPLETE
14,-3.2646189499453504,-0.07969125291996537,2024-12-23 23:12:43.350023,2024-12-23 23:12:51.776663,0 days 00:00:08.426640,0.0664979406219011,120,0.30000000000000004,172,100,7.693882533495325e-05,1528,0.00036030594337130593,5,3,sgd,"{'neurons_per_layer_encoder': [172, 344, 688], 'neurons_per_layer_decoder': [688, 344, 172, 86, 43]}",172,"[688, 344, 172, 86, 43]","[172, 344, 688]",[-3.2646189499453504],[-0.07969125291996537],0.780754110639304,COMPLETE
15,0.042526175356047635,0.11824451547540238,2024-12-23 23:12:44.070278,2024-12-23 23:13:00.172828,0 days 00:00:16.102550,0.19812219703333706,32,0.1,76,100,1.3556174591634294e-06,1784,0.001094697541282723,5,5,adam,"{'neurons_per_layer_encoder': [76, 152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152, 76]}",76,"[1216, 608, 304, 152, 76]","[76, 152, 304, 608, 1216]",[0.042526175356047635],[0.11824451547540238],-0.784065004352112,COMPLETE
16,0.06679974622851115,0.1551595314240557,2024-12-23 23:12:44.850982,2024-12-23 23:13:06.477689,0 days 00:00:21.626707,0.1132440559370825,32,0.1,76,100,1.194451893997286e-06,1704,0.0009259622943308594,5,5,adam,"{'neurons_per_layer_encoder': [76, 152, 304, 608, 1216], 'neurons_per_layer_decoder': [1216, 608, 304, 152, 76]}",76,"[1216, 608, 304, 152, 76]","[76, 152, 304, 608, 1216]",[0.06679974622851115],[0.1551595314240557],-0.636412673323552,COMPLETE
17,0.22098991061525874,-0.27132956015825305,2024-12-23 23:12:46.713876,2024-12-23 23:13:07.933489,0 days 00:00:21.219613,0.0798979657291713,32,0.1,68,100,2.6687381407955126e-05,1656,0.000794675888693829,5,5,adam,"{'neurons_per_layer_encoder': [68, 136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544, 272, 136, 68]}",68,"[1088, 544, 272, 136, 68]","[68, 136, 272, 544, 1088]",[0.22098991061525874],[-0.27132956015825305],0.6205121401400684,COMPLETE
18,0.08069068482543484,-0.34725672059525925,2024-12-23 23:12:49.034165,2024-12-23 23:13:10.386656,0 days 00:00:21.352491,0.09715557324205108,32,0.1,72,100,1.5138092926673002e-05,1656,0.0009150246424627132,5,5,adam,"{'neurons_per_layer_encoder': [72, 144, 288, 576, 1152], 'neurons_per_layer_decoder': [1152, 576, 288, 144, 72]}",72,"[1152, 576, 288, 144, 72]","[72, 144, 288, 576, 1152]",[0.08069068482543484],[-0.34725672059525925],0.40460704257152746,COMPLETE
19,0.13577874588960537,-0.057705328547751567,2024-12-23 23:12:51.786720,2024-12-23 23:13:14.542235,0 days 00:00:22.755515,0.11614107014699017,32,0.1,80,100,1.2644699157275982e-05,1960,0.0016054695554015355,4,5,adam,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640, 320, 160]}",80,"[1280, 640, 320, 160]","[80, 160, 320, 640, 1280]",[0.13577874588960537],[-0.057705328547751567],0.38024799641627305,COMPLETE
20,0.1796817018242325,0.21016873204892694,2024-12-23 23:12:54.046407,2024-12-23 23:13:11.595352,0 days 00:00:17.548945,0.11258184756877707,72,0.1,64,100,1.162362128394198e-05,1816,0.0010383231734589016,4,5,adam,"{'neurons_per_layer_encoder': [64, 128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256, 128]}",64,"[1024, 512, 256, 128]","[64, 128, 256, 512, 1024]",[0.1796817018242325],[0.21016873204892694],0.4556726934509882,COMPLETE
21,0.1356209913085097,0.054186787441736994,2024-12-23 23:13:00.182030,2024-12-23 23:13:17.124019,0 days 00:00:16.941989,0.10295891840194984,72,0.2,64,100,1.2549273408494537e-05,2264,0.0016564065655680122,4,5,adam,"{'neurons_per_layer_encoder': [64, 128, 256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256, 128]}",64,"[1024, 512, 256, 128]","[64, 128, 256, 512, 1024]",[0.1356209913085097],[0.054186787441736994],0.46950650684880796,COMPLETE
22,0.1602318894464304,0.2229447192762095,2024-12-23 23:13:06.485621,2024-12-23 23:13:15.642743,0 days 00:00:09.157122,0.09167551473531876,72,0.2,44,100,1.1050763355866485e-05,728,0.0019115175555501954,4,4,adam,"{'neurons_per_layer_encoder': [44, 88, 176, 352], 'neurons_per_layer_decoder': [352, 176, 88, 44]}",44,"[352, 176, 88, 44]","[44, 88, 176, 352]",[0.1602318894464304],[0.2229447192762095],0.07921627149722128,COMPLETE
23,0.36064864562883614,0.25442793917475326,2024-12-23 23:13:07.943557,2024-12-23 23:13:17.328154,0 days 00:00:09.384597,0.09459239121075258,72,0.2,40,100,9.826857782975408e-06,680,0.0018817007620951726,4,4,adam,"{'neurons_per_layer_encoder': [40, 80, 160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40]}",40,"[320, 160, 80, 40]","[40, 80, 160, 320]",[0.36064864562883614],[0.25442793917475326],0.11992651916377521,COMPLETE
24,0.250683836475204,0.22960378511570168,2024-12-23 23:13:10.395788,2024-12-23 23:13:19.090623,0 days 00:00:08.694835,0.14375923394688409,72,0.2,40,100,7.222669605508805e-06,696,0.002267582621101169,4,4,adam,"{'neurons_per_layer_encoder': [40, 80, 160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40]}",40,"[320, 160, 80, 40]","[40, 80, 160, 320]",[0.250683836475204],[0.22960378511570168],-0.09926717062176162,COMPLETE
25,0.18318807568441986,0.1438562214234902,2024-12-23 23:13:11.602697,2024-12-23 23:13:22.505004,0 days 00:00:10.902307,0.16630543130140038,72,0.2,124,100,9.333305868902018e-06,2312,0.0019984274364622198,4,4,adam,"{'neurons_per_layer_encoder': [124, 248, 496, 992], 'neurons_per_layer_decoder': [992, 496, 248, 124]}",124,"[992, 496, 248, 124]","[124, 248, 496, 992]",[0.18318807568441986],[0.1438562214234902],0.33582021645907245,COMPLETE
26,-0.08283945610715437,0.1985570169839037,2024-12-23 23:13:14.551315,2024-12-23 23:13:21.878756,0 days 00:00:07.327441,0.1821226913682999,72,0.2,36,100,6.712038576687374e-06,776,0.0003194287240822631,4,4,adam,"{'neurons_per_layer_encoder': [36, 72, 144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36]}",36,"[288, 144, 72, 36]","[36, 72, 144, 288]",[-0.08283945610715437],[0.1985570169839037],0.1400400129701548,COMPLETE
27,0.21384361966486953,0.14944828729840565,2024-12-23 23:13:15.657409,2024-12-23 23:13:22.495393,0 days 00:00:06.837984,0.15024307049969968,72,0.2,36,100,6.379125881124596e-06,776,0.0022198436562064364,4,4,adam,"{'neurons_per_layer_encoder': [36, 72, 144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36]}",36,"[288, 144, 72, 36]","[36, 72, 144, 288]",[0.21384361966486953],[0.14944828729840565],-0.19096774743125208,COMPLETE
28,-0.06271541145354709,0.13619509874091373,2024-12-23 23:13:17.131852,2024-12-23 23:13:23.608669,0 days 00:00:06.476817,0.1608694847434785,64,0.2,32,100,6.692216084816789e-06,648,0.00035154331760387707,4,4,adam,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",32,"[256, 128, 64, 32]","[32, 64, 128, 256]",[-0.06271541145354709],[0.13619509874091373],0.08506763028433635,COMPLETE
29,-0.993679612074962,-0.03000239894437673,2024-12-23 23:13:17.335622,2024-12-23 23:13:24.083980,0 days 00:00:06.748358,0.17581001662793347,64,0.2,36,100,6.9647246358253016e-06,632,0.00034960532652255645,4,4,adadelta,"{'neurons_per_layer_encoder': [36, 72, 144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36]}",36,"[288, 144, 72, 36]","[36, 72, 144, 288]",[-0.993679612074962],[-0.03000239894437673],0.3749879701219668,COMPLETE
30,-4.292356391509788,-0.009444266771617027,2024-12-23 23:13:19.098212,2024-12-23 23:13:24.211808,0 days 00:00:05.113596,0.16177881698249066,128,0.2,32,100,4.345998110908584e-06,600,0.0003680709717580014,4,4,adadelta,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",32,"[256, 128, 64, 32]","[32, 64, 128, 256]",[-4.292356391509788],[-0.009444266771617027],0.08826821790311692,COMPLETE
31,-4.185497026985266,-0.022390073744357197,2024-12-23 23:13:21.885160,2024-12-23 23:13:24.939869,0 days 00:00:03.054709,0.15839452355915035,128,0.2,116,100,5.636545189248905e-06,648,0.00930418676321511,4,3,adadelta,"{'neurons_per_layer_encoder': [116, 232, 464], 'neurons_per_layer_decoder': [464, 232, 116, 58]}",116,"[464, 232, 116, 58]","[116, 232, 464]",[-4.185497026985266],[-0.022390073744357197],0.34531446985914316,COMPLETE
32,-4.394374715112326,-0.15967556284738427,2024-12-23 23:13:22.511850,2024-12-23 23:13:25.109617,0 days 00:00:02.597767,0.015318509829406437,128,0.30000000000000004,24,100,4.653213650619876e-06,152,0.0076629518214755814,3,3,adadelta,"{'neurons_per_layer_encoder': [24, 48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",24,"[96, 48, 24]","[24, 48, 96]",[-4.394374715112326],[-0.15967556284738427],0.3107450683312698,COMPLETE
33,-3.0932442070346857,-0.054456270919026384,2024-12-23 23:13:22.706733,2024-12-23 23:13:27.242687,0 days 00:00:04.535954,0.07834805734189831,128,0.30000000000000004,104,100,4.94956590471978e-06,648,0.008430455357940906,3,3,adadelta,"{'neurons_per_layer_encoder': [104, 208, 416], 'neurons_per_layer_decoder': [416, 208, 104]}",104,"[416, 208, 104]","[104, 208, 416]",[-3.0932442070346857],[-0.054456270919026384],0.47432402385646455,COMPLETE
34,-5.752639153150245,-0.32782931248772984,2024-12-23 23:13:23.615757,2024-12-23 23:13:26.723296,0 days 00:00:03.107539,0.06906864709658371,112,0.30000000000000004,104,100,4.689088316225862e-05,920,0.007402444941266965,3,3,adadelta,"{'neurons_per_layer_encoder': [104, 208, 416], 'neurons_per_layer_decoder': [416, 208, 104]}",104,"[416, 208, 104]","[104, 208, 416]",[-5.752639153150245],[-0.32782931248772984],0.5663087939478489,COMPLETE
35,-2.3312799359974545,-0.749598804550835,2024-12-23 23:13:24.091110,2024-12-23 23:13:28.008197,0 days 00:00:03.917087,0.0742410434617138,112,0.30000000000000004,108,100,4.5228361201441405e-05,872,0.007767491612470895,3,3,adadelta,"{'neurons_per_layer_encoder': [108, 216, 432], 'neurons_per_layer_decoder': [432, 216, 108]}",108,"[432, 216, 108]","[108, 216, 432]",[-2.3312799359974545],[-0.749598804550835],0.562227439013282,COMPLETE
36,-2.6789103173716375,0.037164559529302865,2024-12-23 23:13:24.218404,2024-12-23 23:13:29.864742,0 days 00:00:05.646338,0.07601794862830098,88,0.30000000000000004,104,100,2.045343338425245e-05,888,0.007918077662797604,3,3,adadelta,"{'neurons_per_layer_encoder': [104, 208, 416], 'neurons_per_layer_decoder': [416, 208, 104]}",104,"[416, 208, 104]","[104, 208, 416]",[-2.6789103173716375],[0.037164559529302865],0.4074747559276846,COMPLETE
37,-2.627268454859549,0.12321240386083943,2024-12-23 23:13:24.946856,2024-12-23 23:13:28.526136,0 days 00:00:03.579280,0.07812445670204109,88,0.30000000000000004,100,100,2.030128704184201e-05,320,0.005336981610697762,3,2,sgd,"{'neurons_per_layer_encoder': [100, 200], 'neurons_per_layer_decoder': [200, 100, 50]}",100,"[200, 100, 50]","[100, 200]",[-2.627268454859549],[0.12321240386083943],0.3106199466858278,COMPLETE
38,-5.436148361117232,-0.05856474767094344,2024-12-23 23:13:25.116282,2024-12-23 23:13:26.745791,0 days 00:00:01.629509,0.07878353142825872,88,0.30000000000000004,100,100,2.0962794518607112e-05,320,0.005404411993497532,3,2,sgd,"{'neurons_per_layer_encoder': [100, 200], 'neurons_per_layer_decoder': [200, 100, 50]}",100,"[200, 100, 50]","[100, 200]",[-5.436148361117232],[-0.05856474767094344],0.2314791250938104,COMPLETE
39,-1.96660166565204,0.11015171970473692,2024-12-23 23:13:26.730445,2024-12-23 23:13:31.066114,0 days 00:00:04.335669,0.04729918121071827,88,0.2,144,100,2.0494914966412403e-05,936,0.000551176653211451,3,3,sgd,"{'neurons_per_layer_encoder': [144, 288, 576], 'neurons_per_layer_decoder': [576, 288, 144]}",144,"[576, 288, 144]","[144, 288, 576]",[-1.96660166565204],[0.11015171970473692],0.666047237207133,COMPLETE
40,-1.893291651825118,0.02531442899400027,2024-12-23 23:13:26.754730,2024-12-23 23:13:30.802109,0 days 00:00:04.047379,0.04323872982171856,80,0.2,4,100,2.2467748110243963e-06,8,0.0005258041107880346,3,2,adam,"{'neurons_per_layer_encoder': [4, 8], 'neurons_per_layer_decoder': [8, 8, 8]}",4,"[8, 8, 8]","[4, 8]",[-1.893291651825118],[0.02531442899400027],0.19697101299815212,COMPLETE
41,-3.4727732085784684,-0.1373144525652843,2024-12-23 23:13:27.250938,2024-12-23 23:13:29.895952,0 days 00:00:02.645014,0.04622926131480327,80,0.2,4,100,0.00022690180665503785,8,0.0001611797370079228,3,2,sgd,"{'neurons_per_layer_encoder': [4, 8], 'neurons_per_layer_decoder': [8, 8, 8]}",4,"[8, 8, 8]","[4, 8]",[-3.4727732085784684],[-0.1373144525652843],0.2765305209683257,COMPLETE
42,-3.009766045546371,-0.03619278795926051,2024-12-23 23:13:28.015955,2024-12-23 23:13:31.048669,0 days 00:00:03.032714,0.04625037128863476,80,0.2,4,100,0.0008110076592046328,8,0.0005643220963487921,5,2,sgd,"{'neurons_per_layer_encoder': [4, 8], 'neurons_per_layer_decoder': [8, 8, 8, 8, 8]}",4,"[8, 8, 8, 8, 8]","[4, 8]",[-3.009766045546371],[-0.03619278795926051],0.5246842417106089,COMPLETE
43,-4.315984267687279,-0.018975053905702977,2024-12-23 23:13:28.533200,2024-12-23 23:13:31.741561,0 days 00:00:03.208361,0.05043700150279989,80,0.2,12,100,0.000319467738765654,26,0.00016651268770861738,5,2,adam,"{'neurons_per_layer_encoder': [12, 24], 'neurons_per_layer_decoder': [24, 12, 8, 8, 8]}",12,"[24, 12, 8, 8, 8]","[12, 24]",[-4.315984267687279],[-0.018975053905702977],0.46969584759314653,COMPLETE
44,-2.8702381335996328,0.06064611675158549,2024-12-23 23:13:29.873998,2024-12-23 23:13:33.686178,0 days 00:00:03.812180,0.04551464913276784,80,0.2,8,100,0.0005077069965818008,8,0.00019869568232273044,5,1,adam,"{'neurons_per_layer_encoder': [8], 'neurons_per_layer_decoder': [8, 8, 8, 8, 8]}",8,"[8, 8, 8, 8, 8]",[8],[-2.8702381335996328],[0.06064611675158549],0.3835861858322241,COMPLETE
45,-0.8166500176386464,-0.07967588180953467,2024-12-23 23:13:29.903673,2024-12-23 23:13:34.388956,0 days 00:00:04.485283,0.03759956198359889,56,0.2,144,100,0.0005558918003201518,248,0.0005380667741583145,5,1,adam,"{'neurons_per_layer_encoder': [144], 'neurons_per_layer_decoder': [144, 72, 36, 18, 9]}",144,"[144, 72, 36, 18, 9]",[144],[-0.8166500176386464],[-0.07967588180953467],0.8147434622266826,COMPLETE
46,0.16919485559749736,0.12987209029226854,2024-12-23 23:13:30.809375,2024-12-23 23:13:37.478416,0 days 00:00:06.669041,0.03236401706827937,48,0.4,140,100,2.85366207781352e-06,1144,0.00011846256308755294,2,3,adam,"{'neurons_per_layer_encoder': [140, 280, 560], 'neurons_per_layer_decoder': [560, 280]}",140,"[560, 280]","[140, 280, 560]",[0.16919485559749736],[0.12987209029226854],0.283019869147013,COMPLETE
47,0.14456327211209097,0.12387486610021459,2024-12-23 23:13:31.054560,2024-12-23 23:13:37.869487,0 days 00:00:06.814927,0.058094040664369066,40,0.4,148,100,2.851502266025021e-06,1160,0.00021069410763641764,2,3,adam,"{'neurons_per_layer_encoder': [148, 296, 592], 'neurons_per_layer_decoder': [592, 296]}",148,"[592, 296]","[148, 296, 592]",[0.14456327211209097],[0.12387486610021459],0.18497599093612718,COMPLETE
