trial_id,neurons_encoder,latent_dim,neurons_decoder
113,[220],276,"[220, 110]"
114,[224],296,"[224, 112, 56, 28]"
115,[116],268,"[116, 58, 29, 14]"
116,"[216, 432, 864]",2072,"[864, 432, 216, 108, 54]"
117,"[216, 432, 864]",2248,"[864, 432, 216, 108, 54]"
118,"[212, 424]",912,"[424, 212, 106, 53, 26]"
119,"[116, 232]",368,"[232, 116, 58, 29, 14]"
120,"[212, 424]",912,"[424, 212, 106, 53, 26]"
121,"[212, 424]",1136,"[424, 212, 106, 53]"
122,"[152, 304, 608, 1216, 2432]",2680,"[2432, 1216, 608, 304]"
123,"[176, 352, 704, 1408, 2816]",2968,"[2816, 1408, 704, 352]"
124,"[172, 344, 688, 1376, 2752]",2888,"[2752, 1376, 688, 344]"
125,"[172, 344, 688, 1376, 2752]",2904,"[2752, 1376, 688, 344]"
126,"[152, 304, 608, 1216, 2432]",2712,"[2432, 1216, 608, 304]"
127,"[240, 480, 960]",2440,"[960, 480, 240]"
128,"[236, 472, 944]",2424,"[944, 472, 236]"
129,"[96, 192, 384]",968,"[384, 192, 96]"
130,"[172, 344, 688]",1688,"[688, 344]"
131,"[168, 336, 672]",1704,"[672, 336]"
132,"[168, 336, 672]",1688,"[672, 336]"
133,"[172, 344, 688]",1672,"[688, 344]"
134,"[140, 280, 560]",1208,"[560, 280]"
135,"[144, 288, 576]",1240,"[576, 288]"
136,"[140, 280, 560]",1176,"[560, 280, 140]"
137,"[140, 280, 560]",1192,"[560, 280, 140]"
138,"[48, 96, 192]",456,"[192, 96, 48]"
139,"[52, 104, 208, 416]",680,"[416, 208, 104]"
140,"[112, 224, 448, 896]",1944,"[896, 448, 224]"
141,"[44, 88, 176, 352]",680,"[352, 176, 88]"
142,"[108, 216, 432, 864]",1576,"[864, 432, 216]"
143,"[16, 32, 64, 128]",216,"[128, 64, 32]"
144,"[108, 216, 432, 864]",1592,"[864, 432, 216]"
145,[196],524,[196]
146,[128],200,[128]
147,[128],216,[128]
148,[128],232,[128]
149,[132],220,[132]
150,[128],200,[128]
151,"[128, 256, 512]",1112,"[512, 256, 128, 64]"
152,"[132, 264, 528]",1304,"[528, 264, 132, 66]"
153,"[180, 360, 720]",1752,"[720, 360, 180, 90]"
154,"[36, 72, 144]",344,"[144, 72, 36, 18]"
155,"[180, 360, 720]",792,"[720, 360, 180, 90]"
156,"[160, 320, 640, 1280]",2136,"[1280, 640, 320, 160]"
157,"[36, 72, 144, 288]",712,"[288, 144, 72, 36]"
158,"[36, 72, 144, 288]",744,"[288, 144, 72, 36]"
159,"[96, 192, 384, 768]",824,"[768, 384, 192, 96]"
160,"[156, 312, 624, 1248]",2200,"[1248, 624, 312, 156]"
161,"[156, 312, 624, 1248]",3336,"[1248, 624, 312, 156]"
162,"[248, 496, 992, 1984]",5512,"[1984, 992, 496, 248]"
163,"[120, 240, 480]",840,"[480, 240]"
164,"[120, 240, 480]",1032,"[480, 240]"
165,"[156, 312, 624]",1448,"[624, 312, 156, 78]"
166,"[164, 328, 656]",1624,"[656, 328]"
167,"[248, 496, 992]",1032,"[992, 496]"
168,"[164, 328, 656]",1336,"[656, 328]"
169,"[148, 296, 592]",1288,"[592, 296]"
170,"[148, 296]",656,"[296, 148]"
171,"[148, 296, 592, 1184, 2368]",7016,"[2368, 1184, 592]"
172,"[184, 368, 736, 1472, 2944]",8792,"[2944, 1472, 736]"
173,"[16, 32, 64, 128, 256]",568,"[256, 128, 64]"
174,"[12, 24, 48]",116,"[48, 24, 12]"
175,"[200, 400, 800]",872,"[800, 400, 200]"
176,"[164, 328, 656]",1432,"[656, 328, 164]"
177,"[136, 272, 544]",952,"[544, 272, 136]"
178,"[20, 40, 80]",168,"[80, 40, 20]"
179,"[84, 168]",384,"[168, 84, 42]"
180,"[228, 456, 912]",1928,"[912, 456, 228]"
181,"[156, 312, 624]",1496,"[624, 312, 156]"
182,"[156, 312, 624]",1624,"[624, 312, 156]"
183,"[56, 112, 224]",584,"[224, 112, 56]"
184,"[156, 312, 624]",1624,"[624, 312, 156]"
185,"[156, 312, 624]",1384,"[624, 312, 156]"
186,"[156, 312, 624]",1624,"[624, 312, 156, 78, 39]"
187,"[164, 328, 656]",1496,"[656, 328, 164, 82, 41]"
188,"[68, 136, 272]",472,"[272, 136, 68, 34, 17]"
189,"[228, 456]",1024,"[456, 228, 114, 57, 28]"
190,"[228, 456]",1040,"[456, 228, 114, 57, 28]"
191,"[192, 384]",984,"[384, 192, 96, 48, 24]"
192,"[192, 384, 768]",1736,"[768, 384, 192, 96]"
193,"[72, 144, 288]",728,"[288, 144, 72, 36]"
194,"[72, 144, 288]",632,"[288, 144, 72, 36]"
195,"[60, 120, 240, 480, 960]",1752,"[960, 480, 240, 120]"
196,"[176, 352, 704]",1560,"[704, 352, 176]"
197,"[176, 352, 704]",1544,"[704, 352, 176]"
198,"[176, 352, 704]",1416,"[704, 352, 176]"
199,"[136, 272, 544]",1112,"[544, 272, 136]"
200,"[140, 280, 560]",1112,"[560, 280, 140]"
201,"[136, 272, 544]",1272,"[544, 272, 136]"
202,"[144, 288, 576]",1272,"[576, 288, 144]"
203,"[144, 288, 576]",1272,"[576, 288, 144]"
204,"[136, 272, 544]",1128,"[544, 272, 136]"
205,"[204, 408, 816, 1632, 3264]",3400,"[3264, 1632, 816]"
206,"[144, 288, 576, 1152, 2304]",2376,"[2304, 1152, 576]"
207,"[144, 288, 576, 1152, 2304]",2360,"[2304, 1152, 576]"
208,"[164, 328, 656, 1312, 2624]",2680,"[2624, 1312, 656]"
209,"[168, 336, 672, 1344, 2688]",2776,"[2688, 1344, 672]"
210,"[48, 96, 192, 384, 768]",1336,"[768, 384, 192]"
211,[168],416,"[168, 84, 42]"
212,[40],60,"[40, 20, 10]"
213,[164],428,"[164, 82, 41]"
214,[164],428,"[164, 82, 41]"
215,"[120, 240, 480]",1224,"[480, 240, 120]"
216,"[152, 304, 608]",1224,"[608, 304, 152]"
217,"[160, 320, 640]",1208,"[640, 320, 160]"
218,"[160, 320, 640]",1464,"[640, 320, 160]"
219,"[160, 320, 640]",1464,"[640, 320, 160]"
220,"[160, 320, 640]",1368,"[640, 320, 160]"
221,"[152, 304, 608]",1464,"[608, 304, 152]"
222,"[160, 320, 640]",1368,"[640, 320, 160]"
223,"[160, 320, 640]",1320,"[640, 320, 160]"
224,"[148, 296, 592]",1320,"[592, 296, 148]"
225,"[152, 304, 608, 1216]",3128,"[1216, 608, 304]"
226,"[148, 296, 592]",1320,"[592, 296, 148]"
227,"[152, 304]",776,"[304, 152, 76]"
228,"[152, 304]",792,"[304, 152, 76]"
229,"[32, 64]",150,"[64, 32, 16]"
