number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
14,-0.04366996075497287,2025-01-10 13:40:37.128522,2025-01-10 13:40:43.669176,0 days 00:00:06.540654,0.04630191597067876,104.0,0.1,36,100.0,0.0008257239533656385,1416,0.0008056176917414633,2,5,sgd,"{'neurons_per_layer_encoder': [36, 72, 144, 288, 576], 'neurons_per_layer_decoder': [576, 288]}",36,"[576, 288]","[36, 72, 144, 288, 576]",[-0.04366996075497287],0.9601661515109366,COMPLETE
15,-0.002671609886782944,2025-01-10 13:40:37.336051,2025-01-10 13:40:49.540511,0 days 00:00:12.204460,0.02840890081661076,32.0,0.4,72,100.0,0.0007848820608126438,2792,0.009416719958172176,2,5,adam,"{'neurons_per_layer_encoder': [72, 144, 288, 576, 1152], 'neurons_per_layer_decoder': [1152, 576]}",72,"[1152, 576]","[72, 144, 288, 576, 1152]",[-0.002671609886782944],0.8340359104574305,COMPLETE
16,-0.039837745811741376,2025-01-10 13:40:40.850524,2025-01-10 13:40:46.271495,0 days 00:00:05.420971,0.029055165468251175,32.0,0.4,68,100.0,0.0009537487231526365,2408,1.2393641668751599e-05,2,5,sgd,"{'neurons_per_layer_encoder': [68, 136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544]}",68,"[1088, 544]","[68, 136, 272, 544, 1088]",[-0.039837745811741376],0.9813078725291376,COMPLETE
17,-1.397768241098973,2025-01-10 13:40:43.681116,2025-01-10 13:40:50.012524,0 days 00:00:06.331408,0.025149960831256674,64.0,0.4,80,100.0,0.0003022206826568389,3144,0.008660276702863842,2,5,adam,"{'neurons_per_layer_encoder': [80, 160, 320, 640, 1280], 'neurons_per_layer_decoder': [1280, 640]}",80,"[1280, 640]","[80, 160, 320, 640, 1280]",[-1.397768241098973],0.892147472583246,COMPLETE
18,-2.84636556195052,2025-01-10 13:40:44.362497,2025-01-10 13:40:52.362574,0 days 00:00:08.000077,0.027198113091715725,128.0,0.4,164,100.0,3.0031991654833326e-05,3288,0.009229369441077884,2,5,adam,"{'neurons_per_layer_encoder': [164, 328, 656, 1312, 2624], 'neurons_per_layer_decoder': [2624, 1312]}",164,"[2624, 1312]","[164, 328, 656, 1312, 2624]",[-2.84636556195052],0.40204223708227166,COMPLETE
19,-0.005807142320493952,2025-01-10 13:40:44.734826,2025-01-10 13:40:55.991772,0 days 00:00:11.256946,0.026368539299136448,128.0,0.4,256,100.0,0.00037787369007338025,5000,0.003978151176575676,1,4,sgd,"{'neurons_per_layer_encoder': [256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048]}",256,[2048],"[256, 512, 1024, 2048]",[-0.005807142320493952],0.9693345805388562,COMPLETE
20,-1.011883717632898,2025-01-10 13:40:46.284941,2025-01-10 13:40:53.229045,0 days 00:00:06.944104,0.02439061554517394,128.0,0.30000000000000004,248,100.0,2.2152530307959286e-05,4872,0.008920410782128541,1,4,adam,"{'neurons_per_layer_encoder': [248, 496, 992, 1984], 'neurons_per_layer_decoder': [1984]}",248,[1984],"[248, 496, 992, 1984]",[-1.011883717632898],0.45330182250705786,COMPLETE
21,-0.11190063383593474,2025-01-10 13:40:49.553154,2025-01-10 13:40:53.987015,0 days 00:00:04.433861,0.021036845071562733,128.0,0.30000000000000004,168,100.0,2.407414981614543e-05,2120,0.005937014903628673,5,4,sgd,"{'neurons_per_layer_encoder': [168, 336, 672, 1344], 'neurons_per_layer_decoder': [1344, 672, 336, 168, 84]}",168,"[1344, 672, 336, 168, 84]","[168, 336, 672, 1344]",[-0.11190063383593474],0.6303871895931455,COMPLETE
22,-0.15531569853132754,2025-01-10 13:40:50.024663,2025-01-10 13:40:54.405137,0 days 00:00:04.380474,0.11381181474656192,128.0,0.30000000000000004,168,100.0,2.1052074624124803e-05,2040,0.0043011249314447485,5,4,sgd,"{'neurons_per_layer_encoder': [168, 336, 672, 1344], 'neurons_per_layer_decoder': [1344, 672, 336, 168, 84]}",168,"[1344, 672, 336, 168, 84]","[168, 336, 672, 1344]",[-0.15531569853132754],0.606337781785153,COMPLETE
23,-0.01571807957135296,2025-01-10 13:40:52.374575,2025-01-10 13:41:01.205309,0 days 00:00:08.830734,0.14116027993859823,96.0,0.30000000000000004,256,100.0,1.4434277504715836e-05,5064,5.222212885887613e-05,5,4,sgd,"{'neurons_per_layer_encoder': [256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048, 1024, 512, 256, 128]}",256,"[2048, 1024, 512, 256, 128]","[256, 512, 1024, 2048]",[-0.01571807957135296],0.626197713444129,COMPLETE
