number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,user_attrs_relative_deterioration,user_attrs_test_r2,state
91,0.0035067801682997896,2024-10-16 10:20:20.801400,2024-10-16 10:20:21.353010,0 days 00:00:00.551610,0.9901168470030842,0.09171785974869441,9,50,0.8681093924289636,0.9067560307564133,0.9574897245005944,COMPLETE
92,0.0034102981218512673,2024-10-16 10:20:20.915296,2024-10-16 10:20:21.507465,0 days 00:00:00.592169,0.9409798041045407,0.09999312766588037,9,50,0.8646085205472509,0.905470287860952,0.9586593097549966,COMPLETE
93,0.0058594681809912485,2024-10-16 10:20:21.088172,2024-10-16 10:20:21.746090,0 days 00:00:00.657918,0.996133069455774,0.04980327621716217,10,50,0.8689365712149352,0.8937155296983477,0.9289697116159109,COMPLETE
94,0.0033013550223244237,2024-10-16 10:20:21.234279,2024-10-16 10:20:21.898997,0 days 00:00:00.664718,0.999491804092186,0.09930170605898031,10,50,0.8706575980166956,0.8816190153449577,0.9599799517548886,COMPLETE
95,0.0032701411490564875,2024-10-16 10:20:21.318175,2024-10-16 10:20:21.949385,0 days 00:00:00.631210,0.9989059602692293,0.09580031722113637,10,50,0.5688473567679211,0.9005448152750857,0.9603583359957996,COMPLETE
96,0.0034704532370969108,2024-10-16 10:20:21.359604,2024-10-16 10:20:21.989905,0 days 00:00:00.630301,0.974356741871654,0.08945377129097361,10,50,0.8655486769320518,0.8844577981006627,0.9579300908136705,COMPLETE
97,0.004395252110017973,2024-10-16 10:20:21.513873,2024-10-16 10:20:22.104915,0 days 00:00:00.591042,0.9715145258889079,0.06719346386598123,10,50,0.9035666575255944,0.8884241798957643,0.9467193924001243,COMPLETE
98,0.02641730709917904,2024-10-16 10:20:21.752548,2024-10-16 10:20:22.160862,0 days 00:00:00.408314,0.5495674485219693,0.06548136659139243,9,50,0.9063663747479836,0.8234793723406375,0.6797612200245287,COMPLETE
99,0.004208930617755482,2024-10-16 10:20:21.956331,2024-10-16 10:20:22.269091,0 days 00:00:00.312760,0.9674896644251677,0.0675034134730363,10,50,0.5589648632707418,0.902441941871262,0.9489780392463504,COMPLETE
100,0.0397763550187062,2024-10-16 12:21:19.656834,2024-10-16 12:21:19.800150,0 days 00:00:00.143316,0.9398028675289838,0.05151067276526743,10,10,0.579664864679639,0.796661729242493,0.5178187028965742,COMPLETE
101,0.07521934704274966,2024-10-16 12:21:19.657919,2024-10-16 12:21:20.287010,0 days 00:00:00.629091,0.9769163105557336,0.001219171740766337,10,50,0.569911218997989,0.7267945527309646,0.08816777436522638,COMPLETE
102,0.07405307095258862,2024-10-16 12:21:19.658030,2024-10-16 12:21:20.401308,0 days 00:00:00.743278,0.9377783797605014,0.0014262242650297477,10,50,0.5803446810336442,0.7288260995188631,0.10230573440882762,COMPLETE
103,0.08067704097017708,2024-10-16 12:21:19.658024,2024-10-16 12:21:20.412251,0 days 00:00:00.754227,0.9450451142058784,0.00029364019881329093,10,50,0.5629737609714272,0.7174714962399853,0.022007917940904842,COMPLETE
104,0.03998122347155827,2024-10-16 12:21:19.658074,2024-10-16 12:21:19.894623,0 days 00:00:00.236549,0.9442275705293425,0.05138064280972776,10,10,0.5779109131374415,0.795994386028863,0.5153352240487681,COMPLETE
105,0.003484207835391133,2024-10-16 12:21:19.808200,2024-10-16 12:21:20.513301,0 days 00:00:00.705101,0.9810342922153249,0.08863591218635188,10,50,0.888233788279465,0.8863601597000904,0.9577633533123704,COMPLETE
106,0.0034928585173807343,2024-10-16 12:21:19.902623,2024-10-16 12:21:20.497426,0 days 00:00:00.594803,0.9663791385633819,0.08747239217094686,9,50,0.8893401944301473,0.9097043209805605,0.9576584870655609,COMPLETE
107,0.08036904304582276,2024-10-16 12:21:20.294772,2024-10-16 12:21:20.873340,0 days 00:00:00.578568,0.9794952950896854,0.00035061702444391993,9,50,0.8859192538766174,0.7179750760310786,0.025741564188794808,COMPLETE
108,0.003520108164722936,2024-10-16 12:21:20.415808,2024-10-16 12:21:21.007004,0 days 00:00:00.591196,0.9625052865866264,0.08735715869346676,9,50,0.887614097667525,0.9080925077764795,0.9573281583993245,COMPLETE
109,0.0036202310736060056,2024-10-16 12:21:20.424164,2024-10-16 12:21:21.013866,0 days 00:00:00.589702,0.9644460789800927,0.08558452928202392,9,50,0.886368768908028,0.9077743376508731,0.9561144374826567,COMPLETE
110,0.004927469865650999,2024-10-16 12:21:20.503580,2024-10-16 12:21:21.104463,0 days 00:00:00.600883,0.9666160274935306,0.062146949375688904,9,50,0.8853758954834267,0.9044643152247479,0.9402676839006421,COMPLETE
111,0.004355034184106959,2024-10-16 12:21:20.524214,2024-10-16 12:21:21.171640,0 days 00:00:00.647426,0.9627163355113492,0.06667264931576829,10,50,0.8851159909661543,0.8903344615426984,0.9472069265563701,COMPLETE
112,0.004309105408112647,2024-10-16 12:21:20.879870,2024-10-16 12:21:21.618040,0 days 00:00:00.738170,0.9629830165873254,0.06393873869398499,10,50,0.8575114259436835,0.8968850828745667,0.9477636894063822,COMPLETE
113,0.00463472192654848,2024-10-16 12:21:21.017642,2024-10-16 12:21:21.788652,0 days 00:00:00.771010,0.9289064595015256,0.06579366192191786,10,50,0.9143333330769209,0.8844866850567401,0.9438164651033043,COMPLETE
114,0.004904129145378835,2024-10-16 12:21:21.024167,2024-10-16 12:21:21.652745,0 days 00:00:00.628578,0.9296951979148084,0.06132494455279915,10,50,0.922387704532135,0.8867853996898567,0.9405506273420626,COMPLETE
115,0.0037945655227229025,2024-10-16 12:21:21.110924,2024-10-16 12:21:21.745662,0 days 00:00:00.634738,0.9601117770826902,0.08506382168618341,10,50,0.9256985611092512,0.8788240098651654,0.9540011012866814,COMPLETE
116,0.009816919506411202,2024-10-16 12:21:21.178107,2024-10-16 12:21:21.946349,0 days 00:00:00.768242,0.6401631425635468,0.08655774211067713,10,50,0.9230678311782671,0.844520772140066,0.8809962607449786,COMPLETE
117,0.007536016260948432,2024-10-16 12:21:21.624651,2024-10-16 12:21:22.267642,0 days 00:00:00.642991,0.977878527088187,0.04487264566894188,9,50,0.9139638789335304,0.8923477067060528,0.908646076444467,COMPLETE
118,0.0792649293295635,2024-10-16 12:21:21.659242,2024-10-16 12:21:22.446189,0 days 00:00:00.786947,0.9826675107401595,0.0005378141698938266,9,50,0.8243145095623484,0.7198387069976202,0.03912597267984941,COMPLETE
119,0.008311738852695682,2024-10-16 12:21:21.751919,2024-10-16 12:21:22.363793,0 days 00:00:00.611874,0.9762491723322869,0.042211194737321364,9,50,0.9510583897263721,0.888819689355793,0.8992425268908386,COMPLETE
