Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.03564261966863612,-0.05804327054726133,34.70145783995544,0.04356049036545624,-0.08318751287698634,43.98558188520927
2,0.006692567653265977,0.8013326115181336,16.18759796879803,0.007407483386682732,0.8158034163761089,21.430228237710615
3,0.008446741832439139,0.7492603395331673,18.626264179393477,0.006676256359325495,0.8339863151099491,20.909386430369146
4,0.008575567944643668,0.7454361649254655,18.946491445873896,0.00945566324241354,0.7648727949519494,25.28331258536164
5,0.007968811563135269,0.763447593722925,18.53429504371905,0.008866330148713372,0.7795273188718043,22.77743027934537
6,0.007670568322543675,0.7723008782633938,18.961379235121317,0.006343657585569861,0.8422568105866483,23.487023371910958
7,0.007189762693925329,0.7865734868575519,18.258230867082105,0.007680737489045152,0.8090086023361801,23.15698812589952
8,0.007540955191806993,0.7761484153419094,17.000162098809223,0.008196391221916531,0.7961862103077925,20.617624641417873
9,0.007058671220865528,0.7904649082004983,17.89715931797859,0.005581291942133863,0.8612140109828852,18.13640808776555
10,0.008197545329604502,0.756657682526452,18.147778310564462,0.009032763722244532,0.7753887344100597,23.072937733330768
