number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
15,-1.2208397494142846,-0.09257738946215488,2024-12-23 11:14:24.464416,2024-12-23 11:14:27.755542,0 days 00:00:03.291126,0.015552110742113592,96.0,0.2,136,100.0,0.00028060469563533276,680.0,0.0003780880436900859,2,3,adadelta,"{'neurons_per_layer_encoder': [136, 272, 544], 'neurons_per_layer_decoder': [544, 272]}",136.0,"[544, 272]","[136, 272, 544]",[-1.2208397494142846],[-0.09257738946215488],0.8651281407197203,COMPLETE
16,-1.2288619406575498,-0.26465727900570135,2024-12-23 11:14:24.864180,2024-12-23 11:14:26.667783,0 days 00:00:01.803603,0.02739194912142231,32.0,0.2,32,100.0,7.037582241554211e-05,136.0,0.0014503903029037982,2,3,sgd,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64]}",32.0,"[128, 64]","[32, 64, 128]",[-1.2288619406575498],[-0.26465727900570135],0.3542222851029512,COMPLETE
17,0.5523077673197463,0.09320121507514179,2024-12-23 11:14:25.363267,2024-12-23 11:14:33.282694,0 days 00:00:07.919427,0.18422024483939453,80.0,0.30000000000000004,16,100.0,1.0328625684949147e-05,344.0,0.0034495016487518224,4,4,adam,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",16.0,"[128, 64, 32, 16]","[16, 32, 64, 128]",[0.5523077673197463],[0.09320121507514179],-0.10575664369193924,COMPLETE
18,-1.4335419242637872,-0.010491542983540825,2024-12-23 11:14:26.099580,2024-12-23 11:14:49.740027,0 days 00:00:23.640447,0.014660715991020104,40.0,0.2,224,100.0,1.850061338249583e-05,7320.0,4.243868569917286e-05,2,5,sgd,"{'neurons_per_layer_encoder': [224, 448, 896, 1792, 3584], 'neurons_per_layer_decoder': [3584, 1792]}",224.0,"[3584, 1792]","[224, 448, 896, 1792, 3584]",[-1.4335419242637872],[-0.010491542983540825],0.7703807006187041,COMPLETE
19,0.20808552506367795,0.07892840592474237,2024-12-23 11:14:26.675443,2024-12-23 11:14:48.058610,0 days 00:00:21.383167,0.07921838143688627,64.0,0.4,104,100.0,0.00020945404394930725,952.0,0.0002510985177716174,2,4,adam,"{'neurons_per_layer_encoder': [104, 208, 416, 832], 'neurons_per_layer_decoder': [832, 416]}",104.0,"[832, 416]","[104, 208, 416, 832]",[0.20808552506367795],[0.07892840592474237],0.9257652728991478,COMPLETE
20,-0.21136131664640612,-0.22670587764600536,2024-12-23 11:14:26.850848,2024-12-23 11:15:31.765258,0 days 00:01:04.914410,0.05191524938025553,104.0,0.2,184,100.0,0.00025582966510064264,3688.0,4.588168339173301e-05,5,5,adadelta,"{'neurons_per_layer_encoder': [184, 368, 736, 1472, 2944], 'neurons_per_layer_decoder': [2944, 1472, 736, 368, 184]}",184.0,"[2944, 1472, 736, 368, 184]","[184, 368, 736, 1472, 2944]",[-0.21136131664640612],[-0.22670587764600536],0.9811770475746117,COMPLETE
21,0.4930780662350702,0.35534841154127983,2024-12-23 11:14:26.984417,2024-12-23 11:15:46.203535,0 days 00:01:19.219118,0.010288612062056071,32.0,0.1,136,100.0,1.0265163036576093e-06,6088.0,0.009781163198996395,1,5,adadelta,"{'neurons_per_layer_encoder': [136, 272, 544, 1088, 2176], 'neurons_per_layer_decoder': [2176]}",136.0,[2176],"[136, 272, 544, 1088, 2176]",[0.4930780662350702],[0.35534841154127983],0.20310303204184943,COMPLETE
22,-1.1981112181963116,-0.16439270582047394,2024-12-23 11:14:27.762457,2024-12-23 11:15:15.017760,0 days 00:00:47.255303,0.09333838791105604,40.0,0.1,144,100.0,0.00019699327954271313,6840.0,0.008916600607547141,1,5,adam,"{'neurons_per_layer_encoder': [144, 288, 576, 1152, 2304], 'neurons_per_layer_decoder': [2304]}",144.0,[2304],"[144, 288, 576, 1152, 2304]",[-1.1981112181963116],[-0.16439270582047394],0.8466226413673288,COMPLETE
23,0.5156211483938344,0.053897796419998256,2024-12-23 11:14:33.309248,2024-12-23 11:15:47.740292,0 days 00:01:14.431044,0.09533203223036221,40.0,0.30000000000000004,136,100.0,1.098775564238878e-06,6392.0,0.0069916709700686966,4,5,adam,"{'neurons_per_layer_encoder': [136, 272, 544, 1088, 2176], 'neurons_per_layer_decoder': [2176, 1088, 544, 272]}",136.0,"[2176, 1088, 544, 272]","[136, 272, 544, 1088, 2176]",[0.5156211483938344],[0.053897796419998256],0.4225017653492128,COMPLETE
24,0.13130223480600312,0.05587335114409686,2024-12-23 11:14:48.143117,2024-12-23 11:16:29.395966,0 days 00:01:41.252849,0.19938211690815993,40.0,0.30000000000000004,152,100.0,1.798193984610832e-05,7240.0,0.008365279724574775,4,5,adam,"{'neurons_per_layer_encoder': [152, 304, 608, 1216, 2432], 'neurons_per_layer_decoder': [2432, 1216, 608, 304]}",152.0,"[2432, 1216, 608, 304]","[152, 304, 608, 1216, 2432]",[0.13130223480600312],[0.05587335114409686],0.26684320733119404,COMPLETE
25,0.42585768823199577,-0.034622454544515735,2024-12-23 11:14:49.757504,2024-12-23 11:15:44.313121,0 days 00:00:54.555617,0.1941739882172666,88.0,0.30000000000000004,160,100.0,1.230709377184978e-06,3016.0,0.00937105356765499,4,5,adam,"{'neurons_per_layer_encoder': [160, 320, 640, 1280, 2560], 'neurons_per_layer_decoder': [2560, 1280, 640, 320]}",160.0,"[2560, 1280, 640, 320]","[160, 320, 640, 1280, 2560]",[0.42585768823199577],[-0.034622454544515735],0.4618040020946249,COMPLETE
26,0.23940637450122626,0.04610272429355222,2024-12-23 11:15:15.064006,2024-12-23 11:15:36.613487,0 days 00:00:21.549481,0.154599260873337,96.0,0.30000000000000004,168,100.0,1.6688629181399158e-06,408.0,0.0028708720224070606,4,2,adam,"{'neurons_per_layer_encoder': [168, 336], 'neurons_per_layer_decoder': [336, 168, 84, 42]}",168.0,"[336, 168, 84, 42]","[168, 336]",[0.23940637450122626],[0.04610272429355222],-1.073093579564695,COMPLETE
27,0.40432774317872844,0.12055047474733327,2024-12-23 11:15:31.842561,2024-12-23 11:15:49.505851,0 days 00:00:17.663290,0.1961860370806878,56.0,0.30000000000000004,256,100.0,1.993440081039042e-06,584.0,0.002911278916614527,4,2,adam,"{'neurons_per_layer_encoder': [256, 512], 'neurons_per_layer_decoder': [512, 256, 128, 64]}",256.0,"[512, 256, 128, 64]","[256, 512]",[0.40432774317872844],[0.12055047474733327],-0.7503358564521306,COMPLETE
28,0.1745351261721253,0.05462024801235321,2024-12-23 11:15:36.626109,2024-12-23 11:16:17.931119,0 days 00:00:41.305010,0.10933000678368747,48.0,0.30000000000000004,256,100.0,2.6454482386144736e-05,2392.0,0.0039430509661953,4,4,adam,"{'neurons_per_layer_encoder': [256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048, 1024, 512, 256]}",256.0,"[2048, 1024, 512, 256]","[256, 512, 1024, 2048]",[0.1745351261721253],[0.05462024801235321],0.4166475296535934,COMPLETE
29,-0.523189177997957,0.07944128434818454,2024-12-23 11:15:44.323631,2024-12-23 11:16:01.547357,0 days 00:00:17.223726,0.12134861052128737,56.0,0.30000000000000004,256,100.0,2.0762306351698386e-05,2312.0,0.0028606291748154047,4,4,adam,"{'neurons_per_layer_encoder': [256, 512, 1024, 2048], 'neurons_per_layer_decoder': [2048, 1024, 512, 256]}",256.0,"[2048, 1024, 512, 256]","[256, 512, 1024, 2048]",[-0.523189177997957],[0.07944128434818454],0.723756143198475,COMPLETE
30,-1.3617070421404645,-0.05296859476912452,2024-12-23 11:15:46.222614,2024-12-23 11:15:55.596149,0 days 00:00:09.373535,0.010048561813101526,32.0,0.1,104,100.0,3.2141647901945288e-06,1752.0,0.004616879210098824,1,4,adadelta,"{'neurons_per_layer_encoder': [104, 208, 416, 832], 'neurons_per_layer_decoder': [832]}",104.0,[832],"[104, 208, 416, 832]",[-1.3617070421404645],[-0.05296859476912452],0.32864943920954093,COMPLETE
31,0.3014300970914252,0.08775185905511251,2024-12-23 11:15:47.751266,2024-12-23 11:16:06.660229,0 days 00:00:18.908963,0.011110959835386385,56.0,0.1,96,100.0,2.898873860872594e-06,1672.0,0.003370588128413944,1,4,adadelta,"{'neurons_per_layer_encoder': [96, 192, 384, 768], 'neurons_per_layer_decoder': [768]}",96.0,[768],"[96, 192, 384, 768]",[0.3014300970914252],[0.08775185905511251],0.09292274398422067,COMPLETE
32,0.15447669595790836,0.25054312215870955,2024-12-23 11:15:49.517188,2024-12-23 11:16:12.731198,0 days 00:00:23.214010,0.010168221729385533,32.0,0.1,88,100.0,2.8673529490044988e-06,1640.0,0.004128429763250266,1,4,adadelta,"{'neurons_per_layer_encoder': [88, 176, 352, 704], 'neurons_per_layer_decoder': [704]}",88.0,[704],"[88, 176, 352, 704]",[0.15447669595790836],[0.25054312215870955],0.06567856787378294,COMPLETE
33,0.2767873812981797,0.07969565735769191,2024-12-23 11:15:55.605262,2024-12-23 11:16:47.137822,0 days 00:00:51.532560,0.019608844238871014,56.0,0.1,248,100.0,2.4123320302622445e-06,4808.0,0.004174620321060115,3,4,adadelta,"{'neurons_per_layer_encoder': [248, 496, 992, 1984], 'neurons_per_layer_decoder': [1984, 992, 496]}",248.0,"[1984, 992, 496]","[248, 496, 992, 1984]",[0.2767873812981797],[0.07969565735769191],0.30816692697498616,COMPLETE
34,-0.05775571017793246,-0.8897638734870563,2024-12-23 11:16:01.572417,2024-12-23 11:16:15.313515,0 days 00:00:13.741098,0.01696630628651106,48.0,0.1,72,100.0,2.4551737085526277e-06,1384.0,0.0007110780570776558,3,4,adadelta,"{'neurons_per_layer_encoder': [72, 144, 288, 576], 'neurons_per_layer_decoder': [576, 288, 144]}",72.0,"[576, 288, 144]","[72, 144, 288, 576]",[-0.05775571017793246],[-0.8897638734870563],0.11427245401159662,COMPLETE
