,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.002215809982782143,0.8605599071627672,27.0969096345227,0.004870743535434799,-0.2896154688875012,41.88284715729607
max,10.0,0.004465838351965276,0.9308141662644731,39.03473606812208,0.011220049210101798,0.4401641124153747,51.07216158315091
mean,5.5,0.0028977207398549008,0.9095223747174082,32.525180650407506,0.008763667373642274,-0.007282659603525943,46.55648006040879
