number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
14,-0.07198770323950066,2025-01-10 09:30:32.315829,2025-01-10 09:30:37.163628,0 days 00:00:04.847799,0.010957212840067647,96,0.4,112,100,0.000830963234212386,184,0.006711711197020244,5,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28, 14, 8]}",112,"[112, 56, 28, 14, 8]",[112],[-0.07198770323950066],0.32623871939765625,COMPLETE
15,0.22650189516634467,2025-01-10 09:30:32.886501,2025-01-10 09:30:36.875998,0 days 00:00:03.989497,0.011379918744364186,64,0.4,112,100,0.000740017607778227,200,0.009816714479960967,2,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56]}",112,"[112, 56]",[112],[0.22650189516634467],0.5554321236077955,COMPLETE
16,-0.3704993124903406,2025-01-10 09:30:34.527013,2025-01-10 09:30:36.545171,0 days 00:00:02.018158,0.012094952316736558,64,0.4,172,100,1.033145405404691e-05,244,0.009992544881368689,2,1,adadelta,"{'neurons_per_layer_encoder': [172], 'neurons_per_layer_decoder': [172, 86]}",172,"[172, 86]",[172],[-0.3704993124903406],0.5605878582182616,COMPLETE
17,0.07469434612108072,2025-01-10 09:30:34.993256,2025-01-10 09:30:38.553573,0 days 00:00:03.560317,0.011921357299195266,64,0.4,256,100,7.271441013569275e-05,328,0.009575937176371865,2,1,adam,"{'neurons_per_layer_encoder': [256], 'neurons_per_layer_decoder': [256, 128]}",256,"[256, 128]",[256],[0.07469434612108072],0.3483184831744618,COMPLETE
18,-0.10020268500010765,2025-01-10 09:30:35.542461,2025-01-10 09:30:39.105178,0 days 00:00:03.562717,0.010911405269358734,64,0.4,256,100,5.021477245169364e-05,328,0.009465313346466178,2,1,adadelta,"{'neurons_per_layer_encoder': [256], 'neurons_per_layer_decoder': [256, 128]}",256,"[256, 128]",[256],[-0.10020268500010765],0.6722752346698813,COMPLETE
19,0.09593188351615578,2025-01-10 09:30:36.552838,2025-01-10 09:30:38.627399,0 days 00:00:02.074561,0.0354616392550617,64,0.4,100,100,5.079786347031252e-05,108,0.007052387960721495,2,1,adam,"{'neurons_per_layer_encoder': [100], 'neurons_per_layer_decoder': [100, 50]}",100,"[100, 50]",[100],[0.09593188351615578],0.2950496610627329,COMPLETE
20,0.06814683141963362,2025-01-10 09:30:36.883698,2025-01-10 09:30:40.720681,0 days 00:00:03.836983,0.010257111094574374,56,0.4,40,100,0.0006280292696576275,104,0.002013278812243053,4,2,adam,"{'neurons_per_layer_encoder': [40, 80], 'neurons_per_layer_decoder': [80, 40, 20, 10]}",40,"[80, 40, 20, 10]","[40, 80]",[0.06814683141963362],0.7754969317730672,COMPLETE
21,0.150103673084227,2025-01-10 09:30:37.172084,2025-01-10 09:30:41.048255,0 days 00:00:03.876171,0.019391805003494675,56,0.30000000000000004,40,100,0.0002842315433642712,88,0.0022881728834607505,4,2,adam,"{'neurons_per_layer_encoder': [40, 80], 'neurons_per_layer_decoder': [80, 40, 20, 10]}",40,"[80, 40, 20, 10]","[40, 80]",[0.150103673084227],0.6893150820917672,COMPLETE
22,0.16791993530072113,2025-01-10 09:30:38.561663,2025-01-10 09:30:42.522076,0 days 00:00:03.960413,0.025192336891592802,56,0.30000000000000004,40,100,0.00033807273867964845,88,0.0023299689220136195,4,2,adam,"{'neurons_per_layer_encoder': [40, 80], 'neurons_per_layer_decoder': [80, 40, 20, 10]}",40,"[80, 40, 20, 10]","[40, 80]",[0.16791993530072113],0.6864919870620576,COMPLETE
23,0.08278634856147071,2025-01-10 09:30:38.635311,2025-01-10 09:30:42.536538,0 days 00:00:03.901227,0.016662948265350547,56,0.30000000000000004,32,100,0.00026398422643255964,70,0.0020724399515143054,4,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",32,"[64, 32, 16, 8]","[32, 64]",[0.08278634856147071],0.6030991252625245,COMPLETE
