,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.004374373334974833,0.8017818237809717,14.96398821927308,0.033015802010202835,0.08718261656126147,25.118782919937672
max,10.0,0.008703829696786285,0.9003794496484677,16.95698451289454,0.04872802509372423,0.38151817265078847,31.979615205945255
mean,5.5,0.005825058802870055,0.8673420123672889,16.082831624060198,0.03838994509971323,0.28084486968485195,29.184132271541046
