Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.006053426828790297,0.8730075367048636,19.424160461904584,0.009771314480978842,0.6851896874419863,20.811098663909636
2,0.005418462934044375,0.8863281948011592,17.841661625885855,0.011031979117824943,0.6445738389674625,20.435476730572258
3,0.006062475898706,0.8728176998221149,21.02860866438598,0.011997524483490186,0.6134660858656948,27.67023091228169
4,0.005678706738536035,0.8808686422659718,19.883575091597518,0.011221236338129225,0.6384763865935948,26.043783680845223
5,0.005646698694844764,0.8815401264399079,20.0868258075895,0.011401055442160442,0.632683009617123,23.209074741456888
6,0.04687504930743891,0.0166267558862635,40.39430210309602,0.04597795598939874,-0.48130885808428636,47.290679039498954
7,0.04755927718570603,0.002272608033499268,40.76989204716887,0.044433374397987814,-0.4315458282984803,47.196229330937264
8,0.006953788257076444,0.854119208016362,24.46224520776253,0.014003523464854851,0.548837200208214,30.580030742370646
9,0.005730864915661105,0.8797744363588987,19.091814350569443,0.010180049102428115,0.6720211547760683,20.883096793783288
10,0.007006875083704192,0.853005520336201,25.3505539332065,0.012344919444546533,0.602273782467404,32.85095998524088
