Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa)
1,AAD,AAD02,0,40,5,15,15,25,0,0,359.572,-3,505,0.255731416,551,1504,2.73,24,3.82,191
1,AAD,AAD03,0,5,5,30,45,15,0,0,261.18,19.5,805,0.339505732,361,842,2.33,34,2.38,216
1,AAD,AAD04,0,20,5,25,35,15,0,0,275.739,-32.5,695,0.339327131,391,822,2.1,30,2.3,225
1,AAD,AAD05,0,40,25,10,20,5,0,0,203.71,-85.3,535,0.320771088,502,996,1.98,32,2.77,199
1,AAD,AAD06,0,35,15,10,25,15,0,0,303.717,-7.5,565,0.242022469,521,1042,2,30,2.94,193
1,AAD,AAD07,0,20,10,10,45,15,0,0,292.577,37.4,705,0.323237961,443,986,2.23,34,2.93,223
1,AAD,AAD08,0,25,25,15,25,10,0,0,250.781,3.2,620,0.317031259,491,945,1.92,29,2.77,213
1,AAD,AAD09,0,15,15,5,45,20,0,0,334.364,185.8,710,0.312363912,525,1142,2.18,35,2.95,222
1,AAD,AAD10,0,5,5,30,55,5,0,0,156.438,75.2,855,0.353128009,308,620,2.01,23,2.15,240
1,AAD,AAD11,0,20,10,5,40,25,0,0,363.087,220.2,665,0.297278444,590,1274,2.16,32,3.41,191
1,AAD,AAD12,0,20,15,0,35,30,0,0,386.227,266.2,630,0.258617437,559,561,1,0,5.96,219
1,AAD,AAD13,5,10,0,5,55,25,0,0,512.047,257.7,750,0.285048139,669,1164,1.74,26,3.48,205
1,AAD,AAD14,0,15,15,15,40,15,0,0,286.936,74.3,715,0.320298379,459,931,2.03,30,2.57,207
1,AAD,AAD15,0,25,5,10,35,25,0,0,358.346,139.7,635,0.279965233,614,1311,2.14,37,3.02,232
1,AAD,AAD16,0,35,20,10,15,20,0,0,337.862,61.9,520,0.274741873,460,462,1,0,5.22,217
1,AAE,AAE01,0,0,20,55,25,0,0,0,67.3157,-144.2,810,0.398074656,318,569,1.79,23,1.63,193.04
1,AAE,AAE02,0,10,0,0,75,15,0,0,278.375,-0.7,845,0.336729509,398,899,2.26,36,2.42,212.4
1,AAE,AAE03,0,50,5,15,5,25,0,0,365.443,-42.4,425,0.277748877,539,1581,2.93,27,3.37,225.55
1,AAE,AAE04,0,35,20,30,15,0,0,0,112.753,-153.5,580,0.361292302,448,892,1.99,31,2.19,209.36
1,AAE,AAE05,0,65,15,0,10,10,0,0,266.829,-141.6,370,0.316424739,548,960,1.75,22,3.09,237.14
1,AAE,AAE06,0,10,0,30,40,20,0,0,295.644,16.1,760,0.354916555,336,850,2.53,36,2.33,195.94
1,AAE,AAE07,0,15,20,15,40,10,0,0,243.818,33.1,720,0.332033813,431,895,2.08,32,2.43,196.74
1,AAE,AAE08,0,40,5,15,20,20,0,0,333.217,-63.8,530,0.327275711,518,1325,2.56,21,3.42,234.77
1,AAE,AAE09,0,25,0,35,35,5,0,0,157.452,407.7,705,0.369131166,305,557,1.83,20,1.8,162.96
1,AAE,AAE10,0,20,5,15,40,20,0,0,322.36,661.9,690,0.295290821,244,644,2.64,39,1.85,178.91
1,AAE,AAE11,0,20,10,0,45,25,0,0,370.61,723.5,675,0.293655579,615,1256,2.04,36,3,211.02
1,AAE,AAE12,5,5,0,40,45,5,0,0,407.601,472.4,820,0.331129883,477,1062,2.23,34,2.69,211.67
1,AAE,AAE13,0,10,5,10,55,20,0,0,322.716,678.9,780,0.316314011,469,1040,2.22,33,2.76,211.4
