number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
15,0.23795561907847662,2025-01-12 21:12:18.589248,2025-01-12 21:12:25.001907,0 days 00:00:06.412659,0.05974034651898447,128,0.30000000000000004,4,200,9.032690846873199e-06,17,0.00043602943185325725,2,3,adam,"{'neurons_per_layer_encoder': [4, 8, 16], 'neurons_per_layer_decoder': [16, 8]}",4,,"[16, 8]","[4, 8, 16]",[0.23795561907847662],0.22422168142963916,COMPLETE
16,0.24118050871748775,2025-01-12 21:12:19.159305,2025-01-12 21:12:27.109358,0 days 00:00:07.950053,0.08201440592619887,128,0.30000000000000004,152,200,9.976308040520982e-06,1132,0.0004903527223351271,2,3,adam,"{'neurons_per_layer_encoder': [152, 304, 608], 'neurons_per_layer_decoder': [608, 304]}",152,,"[608, 304]","[152, 304, 608]",[0.24118050871748775],-0.08030671069398022,COMPLETE
17,0.0763731232696927,2025-01-12 21:12:19.508491,2025-01-12 21:12:25.780301,0 days 00:00:06.271810,0.07416683125598061,128,0.30000000000000004,4,200,1.465702641822325e-05,17,0.0005483764872267866,2,3,adam,"{'neurons_per_layer_encoder': [4, 8, 16], 'neurons_per_layer_decoder': [16, 8]}",4,,"[16, 8]","[4, 8, 16]",[0.0763731232696927],0.33894245746098894,COMPLETE
18,0.7146271153050106,2025-01-12 21:12:25.011508,2025-01-12 21:12:32.098310,0 days 00:00:07.086802,0.08404523069704878,32,0.30000000000000004,164,200,1.8968514220714e-05,535,0.0004512636009530645,2,2,adam,"{'neurons_per_layer_encoder': [164, 328], 'neurons_per_layer_decoder': [328, 164]}",164,,"[328, 164]","[164, 328]",[0.7146271153050106],0.4918273083854489,COMPLETE
19,0.6939155909956611,2025-01-12 21:12:25.789690,2025-01-12 21:12:33.473274,0 days 00:00:07.683584,0.029827933777572785,32,0.2,164,140,0.0009220002756164439,533,4.184595144460029e-05,2,2,adam,"{'neurons_per_layer_encoder': [164, 328], 'neurons_per_layer_decoder': [328, 164]}",164,,"[328, 164]","[164, 328]",[0.6939155909956611],0.9807174663788776,COMPLETE
20,0.6623203701906061,2025-01-12 21:12:27.117353,2025-01-12 21:12:33.643493,0 days 00:00:06.526140,0.029037099002774725,32,0.2,172,140,3.383710478339587e-06,514,0.008172562399210617,2,2,adam,"{'neurons_per_layer_encoder': [172, 344], 'neurons_per_layer_decoder': [344, 172]}",172,,"[344, 172]","[172, 344]",[0.6623203701906061],-1.474154415957693,COMPLETE
21,0.42466536458960535,2025-01-12 21:12:27.486085,2025-01-12 21:12:35.224569,0 days 00:00:07.738484,0.027389237603917527,32,0.2,160,180,2.6484369621944193e-05,1263,5.613579207633912e-05,2,3,adam,"{'neurons_per_layer_encoder': [160, 320, 640], 'neurons_per_layer_decoder': [640, 320]}",160,,"[640, 320]","[160, 320, 640]",[0.42466536458960535],0.6245680445116774,COMPLETE
22,0.08936523096145377,2025-01-12 21:12:28.410118,2025-01-12 21:12:34.047208,0 days 00:00:05.637090,0.031322349558064885,32,0.2,156,180,0.0009852790235681545,621,0.008540198812487338,2,2,adam,"{'neurons_per_layer_encoder': [156, 312], 'neurons_per_layer_decoder': [312, 156]}",156,,"[312, 156]","[156, 312]",[0.08936523096145377],-0.2023521658564447,COMPLETE
23,0.20759684958668922,2025-01-12 21:12:32.108251,2025-01-12 21:12:35.562011,0 days 00:00:03.453760,0.032732391877799735,32,0.2,164,180,2.848042522699012e-06,525,0.007478597902290016,2,2,adam,"{'neurons_per_layer_encoder': [164, 328], 'neurons_per_layer_decoder': [328, 164]}",164,,"[328, 164]","[164, 328]",[0.20759684958668922],-3.098468781881918,COMPLETE
24,0.4679173977584734,2025-01-12 21:12:33.483057,2025-01-12 21:12:40.624813,0 days 00:00:07.141756,0.12077983648053636,32,0.2,192,140,0.0009892891405740543,520,0.007520316397212145,2,2,adam,"{'neurons_per_layer_encoder': [192, 384], 'neurons_per_layer_decoder': [384, 192]}",192,,"[384, 192]","[192, 384]",[0.4679173977584734],0.1621809961212206,COMPLETE
