Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.05327541761408241,-0.01239268104721658,40.20244550484598,0.044797887868032835,-0.5203742189966336,29.874059132328185
2,0.0006228149437887716,0.9881646485569375,16.724745124537556,0.0002339581833813008,0.9920598044402437,1.790096056488399
3,0.0009458479439451507,0.9820260529392733,18.22835151996404,0.0008377563753185531,0.9715677846556848,4.916164689349765
4,0.0010026074724419976,0.9809474517043444,18.568752766272116,0.00037746256169368864,0.9871894775680925,3.398895984392131
5,0.0010023395700205807,0.980952542653657,18.52755031633377,0.0010941348484344682,0.9628666775414516,5.440044285956133
6,0.03708352290939343,0.2953018697502834,33.00460936604858,0.01925793343346332,0.3464141526126673,20.285802249907945
7,0.0019049413913650897,0.9638004015958733,18.910142776237677,0.0012503380891165552,0.9575653700164993,5.08379501594798
8,0.05154091256959946,0.020568115712635615,40.44315590328006,0.04397852990303518,-0.492566418553414,30.518785883625238
9,0.0006519367435273405,0.9876112470401663,16.76923322873643,0.0006303978119961728,0.9786052283559824,3.990324758411728
10,0.0011148181638145128,0.9788151121044244,18.797609785470097,0.0004397926359851009,0.9850740868090467,3.2525769258041715
