Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.015080669210301373,0.7326398057331998,22.365991747834755,0.02717966815328091,0.5792891181577635,17.47892291821884
2,0.01571615987540722,0.721373402014101,31.303595954725765,0.02209163278427057,0.6580462183132498,31.493362517139197
3,0.016294189084122366,0.7111257134414746,23.32778188169619,0.022845881025085824,0.6463712986368286,23.02758378796261
4,0.01911198466105352,0.6611699480608619,22.92871704857315,0.021183511729625668,0.672102917150209,21.259472030384227
5,0.012917416065938108,0.77099140491357,26.36634822395062,0.023778172617032075,0.6319404669000377,27.45350276519351
6,0.010632976265359128,0.8114914822215717,19.013637773157935,0.01865767680206812,0.7112000184749132,17.0268030045199
7,0.015223068379270507,0.7301152579861401,22.585717391063966,0.02492536164472571,0.6141832630681554,20.405639606943815
8,0.018173192482827588,0.6778134839442156,25.56018610207066,0.019386435836940632,0.6999196432148973,25.12742933617836
9,0.02459263538627218,0.5640053048895887,28.7903511030592,0.03403550031625714,0.47316849965786734,29.242141331132597
10,0.01913125824005144,0.6608282531563958,22.713888168625758,0.026067705366958138,0.5965010591487772,20.424495444578774
