,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.0056873589133933184,0.8485396642997383,20.013576451884127,0.004655351057663497,0.9103379530759348,22.790910746766695
max,10.0,0.007219751754044947,0.8806871316887297,24.619725536631158,0.006605336678472582,0.9368074141715449,28.862929243758543
mean,5.5,0.006552956149350102,0.8625281073336636,22.316736723312598,0.005661414262648478,0.923150928410883,25.67480359328788
