number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
13,0.07985413779329464,2024-12-21 15:22:20.479890,2024-12-21 15:23:49.572640,0 days 00:01:29.092750,0.01563345524257827,1024,0.1,1232,50,7.82223592290884e-05,134,0.0009250346316835316,4,3,adadelta,"{'neurons_per_layer_encoder': [1232, 616, 308], 'neurons_per_layer_decoder': [308, 616, 1232, 2464]}",1232,"[308, 616, 1232, 2464]","[1232, 616, 308]",0.9990252830194853,0.002571080306423723,COMPLETE
14,0.34890390591587145,2024-12-21 15:22:28.830908,2024-12-21 15:29:55.992585,0 days 00:07:27.161677,0.028861278224333254,512,0.2,1952,50,0.0005375201081507129,485,0.0009454422888927848,4,2,adam,"{'neurons_per_layer_encoder': [1952, 976], 'neurons_per_layer_decoder': [976, 1952, 3904, 7808]}",1952,"[976, 1952, 3904, 7808]","[1952, 976]",0.99771007021801,-3.3580314755306144,COMPLETE
15,0.08104191341030073,2024-12-21 15:22:42.387265,2024-12-21 15:23:55.990631,0 days 00:01:13.603366,0.12029940377103751,768,0.2,1472,50,0.0001225340242973252,30,0.00020297110519816217,5,5,adadelta,"{'neurons_per_layer_encoder': [1472, 736, 368, 184, 92], 'neurons_per_layer_decoder': [92, 184, 368, 736, 1472]}",1472,"[92, 184, 368, 736, 1472]","[1472, 736, 368, 184, 92]",0.998725695513605,-0.01226499185273533,COMPLETE
16,0.0793030573155884,2024-12-21 15:22:42.927783,2024-12-21 15:26:31.707221,0 days 00:03:48.779438,0.01840701070327634,384,0.1,2048,50,0.00023221057086838764,405,0.00025851498649749334,3,2,adadelta,"{'neurons_per_layer_encoder': [2048, 1024], 'neurons_per_layer_decoder': [1024, 2048, 4096]}",2048,"[1024, 2048, 4096]","[2048, 1024]",0.9975362168630293,0.009454425624929153,COMPLETE
17,0.08039034345680088,2024-12-21 15:22:43.887260,2024-12-21 15:25:11.346875,0 days 00:02:27.459615,0.026387701957632657,384,0.1,1152,50,3.621844054316052e-05,224,0.000977518931479202,3,2,adadelta,"{'neurons_per_layer_encoder': [1152, 576], 'neurons_per_layer_decoder': [576, 1152, 2304]}",1152,"[576, 1152, 2304]","[1152, 576]",0.9974862363223324,-0.0041264691313902535,COMPLETE
18,0.08098656975499566,2024-12-21 15:22:57.439169,2024-12-21 15:25:38.874399,0 days 00:02:41.435230,0.02359312705539573,256,0.1,1152,50,2.9405108599158102e-05,224,0.000972308777146696,3,2,adadelta,"{'neurons_per_layer_encoder': [1152, 576], 'neurons_per_layer_decoder': [576, 1152, 2304]}",1152,"[576, 1152, 2304]","[1152, 576]",0.9961948152975542,-0.011573714433076532,COMPLETE
19,0.01927287801079022,2024-12-21 15:23:19.692614,2024-12-21 15:23:52.931034,0 days 00:00:33.238420,0.02703437734081108,384,0.1,1104,50,3.6103816920253994e-05,248,0.0009951692444234248,3,2,adam,"{'neurons_per_layer_encoder': [1104, 552], 'neurons_per_layer_decoder': [552, 1104, 2208]}",1104,"[552, 1104, 2208]","[1104, 552]",0.9982079366109956,0.7592695078187576,COMPLETE
20,0.34890390591587145,2024-12-21 15:23:49.603536,2024-12-21 15:27:00.823111,0 days 00:03:11.219575,0.02791966826138202,384,0.1,1776,50,3.422272254441212e-05,328,0.0009980297250316527,3,2,adam,"{'neurons_per_layer_encoder': [1776, 888], 'neurons_per_layer_decoder': [888, 1776, 3552]}",1776,"[888, 1776, 3552]","[1776, 888]",0.99703250721595,-3.3580314755306144,COMPLETE
21,0.004272600279694203,2024-12-21 15:23:52.940794,2024-12-21 15:24:36.269143,0 days 00:00:43.328349,0.03132075961395756,256,0.2,944,50,0.00023064537469875287,19,0.0007788617130731381,3,5,adam,"{'neurons_per_layer_encoder': [944, 472, 236, 118, 59], 'neurons_per_layer_decoder': [59, 118, 236]}",944,"[59, 118, 236]","[944, 472, 236, 118, 59]",0.998579515116532,0.9466325077319198,COMPLETE
22,0.31190067064857485,2024-12-21 15:23:56.020520,2024-12-21 15:27:19.255988,0 days 00:03:23.235468,0.03265929019900565,256,0.1,1776,50,3.951691335906514e-05,424,0.0007661514205709426,3,2,adam,"{'neurons_per_layer_encoder': [1776, 888], 'neurons_per_layer_decoder': [888, 1776, 3552]}",1776,"[888, 1776, 3552]","[1776, 888]",0.9961670667880714,-2.895837555493999,COMPLETE
23,0.009996013181046459,2024-12-21 15:24:36.317809,2024-12-21 15:25:03.959428,0 days 00:00:27.641619,0.026407032620686208,256,0.2,912,50,0.0003700351202242936,19,0.0007971776592663063,3,5,adam,"{'neurons_per_layer_encoder': [912, 456, 228, 114, 57], 'neurons_per_layer_decoder': [57, 114, 228]}",912,"[57, 114, 228]","[912, 456, 228, 114, 57]",0.9976654627829217,0.8751434439850514,COMPLETE
