number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,user_attrs_test_r2,state
61,0.08216406582889627,2024-12-21 15:28:08.209203,2024-12-21 15:29:14.741887,0 days 00:01:06.532684,0.030854007034215095,256,0.2,960,50,0.00043404086241830047,80,0.0007459131961715884,3,3,adadelta,"{'neurons_per_layer_encoder': [960, 480, 240], 'neurons_per_layer_decoder': [240, 480, 960]}",960,"[240, 480, 960]","[960, 480, 240]",0.9961528178142804,-0.02628138856731188,COMPLETE
62,0.08158494773904051,2024-12-21 15:28:09.261033,2024-12-21 15:28:51.104827,0 days 00:00:41.843794,0.02996128608398721,256,0.2,944,50,0.00041649076043220434,39,0.0007534348012370526,3,4,adadelta,"{'neurons_per_layer_encoder': [944, 472, 236, 118], 'neurons_per_layer_decoder': [118, 236, 472]}",944,"[118, 236, 472]","[944, 472, 236, 118]",0.9961714978592823,-0.019047835658193568,COMPLETE
63,0.01151467781175286,2024-12-21 15:28:12.512484,2024-12-21 15:28:32.917306,0 days 00:00:20.404822,0.02901852683704954,256,0.2,1120,50,7.886999887323348e-05,46,0.0007430992698027677,3,4,adam,"{'neurons_per_layer_encoder': [1120, 560, 280, 140], 'neurons_per_layer_decoder': [140, 280, 560]}",1120,"[140, 280, 560]","[1120, 560, 280, 140]",0.9980928239784622,0.8561743578006468,COMPLETE
64,0.009054439239145107,2024-12-21 15:28:14.307819,2024-12-21 15:28:34.927875,0 days 00:00:20.620056,0.030141588420673427,256,0.2,1104,50,0.0002351548342630659,46,0.0007567682346659712,3,4,adam,"{'neurons_per_layer_encoder': [1104, 552, 276, 138], 'neurons_per_layer_decoder': [138, 276, 552]}",1104,"[138, 276, 552]","[1104, 552, 276, 138]",0.9978254032465429,0.8869043007876546,COMPLETE
65,0.014501777821917968,2024-12-21 15:28:32.928437,2024-12-21 15:28:57.441578,0 days 00:00:24.513141,0.10496659128959798,256,0.2,1216,50,0.0001953513968888151,101,0.0007639712035533713,3,3,adam,"{'neurons_per_layer_encoder': [1216, 608, 304], 'neurons_per_layer_decoder': [304, 608, 1216]}",1216,"[304, 608, 1216]","[1216, 608, 304]",0.997903579659029,0.8188635806951698,COMPLETE
66,0.016691273560763782,2024-12-21 15:28:34.940280,2024-12-21 15:28:57.819568,0 days 00:00:22.879288,0.12655851344711055,256,0.2,1248,50,0.00018656149875029165,136,0.000994350810897656,3,3,adam,"{'neurons_per_layer_encoder': [1248, 624, 312], 'neurons_per_layer_decoder': [312, 624, 1248]}",1248,"[312, 624, 1248]","[1248, 624, 312]",0.9976984842279328,0.7915153877295944,COMPLETE
67,0.008993707687963655,2024-12-21 15:28:35.369070,2024-12-21 15:28:53.555902,0 days 00:00:18.186832,0.1114672062425717,256,0.2,672,50,0.0009098372057949024,14,0.0009958006529447807,2,5,adam,"{'neurons_per_layer_encoder': [672, 336, 168, 84, 42], 'neurons_per_layer_decoder': [42, 84]}",672,"[42, 84]","[672, 336, 168, 84, 42]",0.9977710281368078,0.8876628764502337,COMPLETE
68,0.011105348873162295,2024-12-21 15:28:51.145655,2024-12-21 15:29:06.856919,0 days 00:00:15.711264,0.10797010974273835,256,0.2,704,50,0.000838037525930812,14,0.0009628717474579061,2,5,adam,"{'neurons_per_layer_encoder': [704, 352, 176, 88, 44], 'neurons_per_layer_decoder': [44, 88]}",704,"[44, 88]","[704, 352, 176, 88, 44]",0.997463656974305,0.8612871363278477,COMPLETE
69,0.010278400019597097,2024-12-21 15:28:53.573134,2024-12-21 15:29:06.457228,0 days 00:00:12.884094,0.058001740473636154,384,0.2,736,50,0.0006492022410038902,15,0.0008455387262501547,2,5,adam,"{'neurons_per_layer_encoder': [736, 368, 184, 92, 46], 'neurons_per_layer_decoder': [46, 92]}",736,"[46, 92]","[736, 368, 184, 92, 46]",0.99853279521826,0.8716162529453042,COMPLETE
70,0.01919059598624481,2024-12-21 15:28:57.454244,2024-12-21 15:29:07.060261,0 days 00:00:09.606017,0.2659626354634454,768,0.2,576,50,0.00013021373602421386,12,0.0006612626098228862,2,5,adam,"{'neurons_per_layer_encoder': [576, 288, 144, 72, 36], 'neurons_per_layer_decoder': [36, 72]}",576,"[36, 72]","[576, 288, 144, 72, 36]",0.9990522192987251,0.7602972625866442,COMPLETE
71,0.013894646156901851,2024-12-21 15:28:57.884702,2024-12-21 15:29:08.217814,0 days 00:00:10.333112,0.05637148009019873,384,0.2,576,50,0.0006163006808083626,12,0.0006627136368888195,2,5,adam,"{'neurons_per_layer_encoder': [576, 288, 144, 72, 36], 'neurons_per_layer_decoder': [36, 72]}",576,"[36, 72]","[576, 288, 144, 72, 36]",0.9983839460583797,0.826447040957634,COMPLETE
72,0.014661330809555582,2024-12-21 15:29:06.482169,2024-12-21 15:29:16.292399,0 days 00:00:09.810230,0.045247136992806025,384,0.2,576,50,0.00013222683384967555,12,0.0006487163200526017,2,5,adam,"{'neurons_per_layer_encoder': [576, 288, 144, 72, 36], 'neurons_per_layer_decoder': [36, 72]}",576,"[36, 72]","[576, 288, 144, 72, 36]",0.9984176496334861,0.8168706625009341,COMPLETE
73,0.023300294728742735,2024-12-21 15:29:06.870095,2024-12-21 15:29:17.599367,0 days 00:00:10.729272,0.04482229868834265,384,0.2,592,50,0.00034474701483314194,12,0.00024486391660603093,2,5,adam,"{'neurons_per_layer_encoder': [592, 296, 148, 74, 37], 'neurons_per_layer_decoder': [37, 74]}",592,"[37, 74]","[592, 296, 148, 74, 37]",0.9980550685370967,0.7089645140244281,COMPLETE
74,0.01085050336868442,2024-12-21 15:29:07.073852,2024-12-21 15:29:21.463772,0 days 00:00:14.389920,0.013756888166432177,384,0.2,1072,50,0.00035383455828116514,22,0.0008199271113853804,2,5,adam,"{'neurons_per_layer_encoder': [1072, 536, 268, 134, 67], 'neurons_per_layer_decoder': [67, 134]}",1072,"[67, 134]","[1072, 536, 268, 134, 67]",0.9985549532923412,0.8644703186054914,COMPLETE
75,0.01558179677437136,2024-12-21 15:29:08.232492,2024-12-21 15:29:22.248107,0 days 00:00:14.015615,0.045001895983994865,384,0.2,784,50,0.00034459949016878687,16,0.0005338402986795897,4,5,adam,"{'neurons_per_layer_encoder': [784, 392, 196, 98, 49], 'neurons_per_layer_decoder': [49, 98, 196, 392]}",784,"[49, 98, 196, 392]","[784, 392, 196, 98, 49]",0.9983425267733198,0.8053734577439629,COMPLETE
76,0.00952790949290315,2024-12-21 15:29:14.766946,2024-12-21 15:29:36.704499,0 days 00:00:21.937553,0.024732017832216808,384,0.2,1520,50,0.0002530599221447966,31,0.0005406911850021547,4,5,adam,"{'neurons_per_layer_encoder': [1520, 760, 380, 190, 95], 'neurons_per_layer_decoder': [95, 190, 380, 760]}",1520,"[95, 190, 380, 760]","[1520, 760, 380, 190, 95]",0.998644029940917,0.8809903564791534,COMPLETE
77,0.01196589007217856,2024-12-21 15:29:16.314977,2024-12-21 15:29:36.517232,0 days 00:00:20.202255,0.07326913674936789,384,0.2,1856,50,0.0009152333004269551,38,0.00056827751335432,2,5,adam,"{'neurons_per_layer_encoder': [1856, 928, 464, 232, 116], 'neurons_per_layer_decoder': [116, 232]}",1856,"[116, 232]","[1856, 928, 464, 232, 116]",0.9985039330892113,0.8505384299714104,COMPLETE
78,0.0103571808088861,2024-12-21 15:29:17.621693,2024-12-21 15:29:40.899511,0 days 00:00:23.277818,0.013353266608912964,640,0.2,1904,50,0.0009013628440573501,39,0.000822071842069038,2,5,adam,"{'neurons_per_layer_encoder': [1904, 952, 476, 238, 119], 'neurons_per_layer_decoder': [119, 238]}",1904,"[119, 238]","[1904, 952, 476, 238, 119]",0.999047455342215,0.870632230830426,COMPLETE
79,0.01697329802135521,2024-12-21 15:29:21.484077,2024-12-21 15:29:43.957183,0 days 00:00:22.473106,0.07651357693461412,640,0.2,1872,50,0.0009979640567121977,39,0.0005657726930327245,2,5,adam,"{'neurons_per_layer_encoder': [1872, 936, 468, 234, 117], 'neurons_per_layer_decoder': [117, 234]}",1872,"[117, 234]","[1872, 936, 468, 234, 117]",0.9987722484817769,0.7879927230208097,COMPLETE
80,0.013094755604093481,2024-12-21 15:29:22.264927,2024-12-21 15:29:42.193039,0 days 00:00:19.928112,0.025302625272424103,640,0.2,1872,50,0.0008173801905407922,39,0.000558733519296112,2,5,adam,"{'neurons_per_layer_encoder': [1872, 936, 468, 234, 117], 'neurons_per_layer_decoder': [117, 234]}",1872,"[117, 234]","[1872, 936, 468, 234, 117]",0.9990741262595242,0.8364381822060183,COMPLETE
81,0.007279524798689363,2024-12-21 15:29:25.182972,2024-12-21 15:29:47.139223,0 days 00:00:21.956251,0.024607958995562184,640,0.2,1552,50,0.000996595458917532,32,0.0008559500295056849,2,5,adam,"{'neurons_per_layer_encoder': [1552, 776, 388, 194, 97], 'neurons_per_layer_decoder': [97, 194]}",1552,"[97, 194]","[1552, 776, 388, 194, 97]",0.9991035719559203,0.9090741099148275,COMPLETE
82,0.007359051619408207,2024-12-21 15:29:36.548125,2024-12-21 15:29:56.075551,0 days 00:00:19.527426,0.02504194175644066,640,0.2,1936,50,0.0006066566702330587,40,0.0009313879468590961,2,5,adam,"{'neurons_per_layer_encoder': [1936, 968, 484, 242, 121], 'neurons_per_layer_decoder': [121, 242]}",1936,"[121, 242]","[1936, 968, 484, 242, 121]",0.9991968484680351,0.9080807693933683,COMPLETE
83,0.012012956115611227,2024-12-21 15:29:36.723657,2024-12-21 15:29:54.429326,0 days 00:00:17.705669,0.03841830877768341,640,0.2,1552,50,0.0008299492089588531,32,0.0008504524683312487,2,5,adam,"{'neurons_per_layer_encoder': [1552, 776, 388, 194, 97], 'neurons_per_layer_decoder': [97, 194]}",1552,"[97, 194]","[1552, 776, 388, 194, 97]",0.9988655956408133,0.8499505451835636,COMPLETE
84,0.008942927709623644,2024-12-21 15:29:40.926403,2024-12-21 15:30:02.308592,0 days 00:00:21.382189,0.037173063287835685,256,0.2,1664,50,0.0008114853421183637,34,0.0009363155077663698,2,5,adam,"{'neurons_per_layer_encoder': [1664, 832, 416, 208, 104], 'neurons_per_layer_decoder': [104, 208]}",1664,"[104, 208]","[1664, 832, 416, 208, 104]",0.997604239561741,0.8882971506448766,COMPLETE
85,0.011687621335264527,2024-12-21 15:29:42.214231,2024-12-21 15:30:04.211952,0 days 00:00:21.997721,0.03829915477091977,256,0.2,1744,50,0.0005832960129576264,36,0.0004994025823625427,3,5,adam,"{'neurons_per_layer_encoder': [1744, 872, 436, 218, 109], 'neurons_per_layer_decoder': [109, 218, 436]}",1744,"[109, 218, 436]","[1744, 872, 436, 218, 109]",0.9979031536501473,0.8540141833051089,COMPLETE
86,0.006281739143442506,2024-12-21 15:29:43.981856,2024-12-21 15:30:27.673144,0 days 00:00:43.691288,0.03837742816068843,256,0.2,1712,50,0.0006871352420680741,35,0.0004993964474172332,3,5,adam,"{'neurons_per_layer_encoder': [1712, 856, 428, 214, 107], 'neurons_per_layer_decoder': [107, 214, 428]}",1712,"[107, 214, 428]","[1712, 856, 428, 214, 107]",0.9979669846146613,0.9215370867335715,COMPLETE
87,0.015688455693232718,2024-12-21 15:29:47.179983,2024-12-21 15:30:03.305469,0 days 00:00:16.125486,0.017763294094485838,1024,0.2,1728,50,0.0006373783574067247,36,0.0009304020363195196,2,5,adam,"{'neurons_per_layer_encoder': [1728, 864, 432, 216, 108], 'neurons_per_layer_decoder': [108, 216]}",1728,"[108, 216]","[1728, 864, 432, 216, 108]",0.9993292705671948,0.804041220077194,COMPLETE
88,0.01018732625964523,2024-12-21 15:29:54.460895,2024-12-21 15:30:11.167731,0 days 00:00:16.706836,0.019800372402042122,768,0.2,1760,50,0.0006726939290326786,36,0.0009430369321270488,2,5,adam,"{'neurons_per_layer_encoder': [1760, 880, 440, 220, 110], 'neurons_per_layer_decoder': [110, 220]}",1760,"[110, 220]","[1760, 880, 440, 220, 110]",0.9992038118413946,0.8727538220746129,COMPLETE
89,0.012836689295730416,2024-12-21 15:29:56.036779,2024-12-21 15:30:11.695379,0 days 00:00:15.658600,0.019204429772585557,768,0.2,1696,50,0.0006722640599902164,35,0.0009265686036470402,2,5,adam,"{'neurons_per_layer_encoder': [1696, 848, 424, 212, 106], 'neurons_per_layer_decoder': [106, 212]}",1696,"[106, 212]","[1696, 848, 424, 212, 106]",0.9990601271476187,0.83966159437066,COMPLETE
90,0.011053276239884082,2024-12-21 15:29:56.096309,2024-12-21 15:30:13.557718,0 days 00:00:17.461409,0.018408493845333416,768,0.2,2048,50,0.0006910884325569485,42,0.0009360926524571684,2,5,adam,"{'neurons_per_layer_encoder': [2048, 1024, 512, 256, 128], 'neurons_per_layer_decoder': [128, 256]}",2048,"[128, 256]","[2048, 1024, 512, 256, 128]",0.99913687135595,0.8619375566040108,COMPLETE
91,0.012319835323983086,2024-12-21 15:30:02.349584,2024-12-21 15:30:26.059803,0 days 00:00:23.710219,0.019665773563497697,768,0.2,2000,50,0.0005919616415379249,41,0.0007096306805488322,2,5,adam,"{'neurons_per_layer_encoder': [2000, 1000, 500, 250, 125], 'neurons_per_layer_decoder': [125, 250]}",2000,"[125, 250]","[2000, 1000, 500, 250, 125]",0.999139331917927,0.8461174288825012,COMPLETE
92,0.08064597714557627,2024-12-21 15:30:03.357476,2024-12-21 15:30:17.502948,0 days 00:00:14.145472,0.02007337463236156,768,0.2,2000,50,0.0005840363918681794,41,0.0007124701130855086,2,5,sgd,"{'neurons_per_layer_encoder': [2000, 1000, 500, 250, 125], 'neurons_per_layer_decoder': [125, 250]}",2000,"[125, 250]","[2000, 1000, 500, 250, 125]",0.9987407224961291,-0.007319496331715802,COMPLETE
93,0.010989739132579618,2024-12-21 15:30:04.253846,2024-12-21 15:30:25.210180,0 days 00:00:20.956334,0.020006195100227796,640,0.2,1984,50,0.0004941579997465401,41,0.000721149922993582,2,5,adam,"{'neurons_per_layer_encoder': [1984, 992, 496, 248, 124], 'neurons_per_layer_decoder': [124, 248]}",1984,"[124, 248]","[1984, 992, 496, 248, 124]",0.999007513965363,0.8627311754451934,COMPLETE
94,0.08055410634330841,2024-12-21 15:30:11.183206,2024-12-21 15:30:25.232650,0 days 00:00:14.049444,0.03341864832330226,640,0.2,2048,50,0.00021960957499519353,42,0.0008695223863243526,2,5,sgd,"{'neurons_per_layer_encoder': [2048, 1024, 512, 256, 128], 'neurons_per_layer_decoder': [128, 256]}",2048,"[128, 256]","[2048, 1024, 512, 256, 128]",0.9984649929588784,-0.006171971637446205,COMPLETE
95,0.08132238207668847,2024-12-21 15:30:11.752502,2024-12-21 15:30:24.694659,0 days 00:00:12.942157,0.0334229650854644,768,0.2,1968,50,2.1302525999561585e-05,41,0.0007984971835424258,2,5,sgd,"{'neurons_per_layer_encoder': [1968, 984, 492, 246, 123], 'neurons_per_layer_decoder': [123, 246]}",1968,"[123, 246]","[1968, 984, 492, 246, 123]",0.9987370432452146,-0.015768223703377382,COMPLETE
96,0.012036972947695294,2024-12-21 15:30:13.606847,2024-12-21 15:30:33.179960,0 days 00:00:19.573113,0.03141016416914615,512,0.1,1424,50,0.0005083265376594796,29,0.000785043964393358,3,5,adam,"{'neurons_per_layer_encoder': [1424, 712, 356, 178, 89], 'neurons_per_layer_decoder': [89, 178, 356]}",1424,"[89, 178, 356]","[1424, 712, 356, 178, 89]",0.9986775827057557,0.8496505596907382,COMPLETE
97,0.007909189129526303,2024-12-21 15:30:17.521222,2024-12-21 15:30:35.392387,0 days 00:00:17.871165,0.032746032860435995,640,0.2,1408,50,0.0004838726195610583,29,0.0008668699556456046,2,5,adam,"{'neurons_per_layer_encoder': [1408, 704, 352, 176, 88], 'neurons_per_layer_decoder': [88, 176]}",1408,"[88, 176]","[1408, 704, 352, 176, 88]",0.999133969607467,0.9012092023391927,COMPLETE
98,0.012940781922657777,2024-12-21 15:30:24.721549,2024-12-21 15:30:36.127998,0 days 00:00:11.406449,0.027628826388516915,512,0.2,1408,50,0.00040035824262441293,29,0.000865962070906764,2,5,adam,"{'neurons_per_layer_encoder': [1408, 704, 352, 176, 88], 'neurons_per_layer_decoder': [88, 176]}",1408,"[88, 176]","[1408, 704, 352, 176, 88]",0.9983317839853406,0.8383614113207475,COMPLETE
99,0.012506345182586752,2024-12-21 15:30:25.224160,2024-12-21 15:30:34.141406,0 days 00:00:08.917246,0.026913567847222306,512,0.2,880,50,0.0003166930874395089,18,0.0008649274322239331,2,5,adam,"{'neurons_per_layer_encoder': [880, 440, 220, 110, 55], 'neurons_per_layer_decoder': [55, 110]}",880,"[55, 110]","[880, 440, 220, 110, 55]",0.9985867895996535,0.8437878022417278,COMPLETE
100,0.006757667677172215,2024-12-21 15:30:25.249767,2024-12-21 15:30:38.083223,0 days 00:00:12.833456,0.015683852167314036,256,0.2,1424,50,4.9404059911468924e-05,29,0.0007862772010204667,2,5,adam,"{'neurons_per_layer_encoder': [1424, 712, 356, 178, 89], 'neurons_per_layer_decoder': [89, 178]}",1424,"[89, 178]","[1424, 712, 356, 178, 89]",0.9982090541892322,0.9155924369462535,COMPLETE
101,0.011769497757053025,2024-12-21 15:30:26.075130,2024-12-21 15:30:37.746127,0 days 00:00:11.670997,0.04824460242830232,512,0.2,1424,50,0.00040089001976031707,29,0.0008717167547391453,2,5,adam,"{'neurons_per_layer_encoder': [1424, 712, 356, 178, 89], 'neurons_per_layer_decoder': [89, 178]}",1424,"[89, 178]","[1424, 712, 356, 178, 89]",0.9982915820955882,0.8529914947733728,COMPLETE
102,0.006753261222311823,2024-12-21 15:30:27.691232,2024-12-21 15:30:48.257820,0 days 00:00:20.566588,0.02661761148510997,256,0.2,1808,50,0.00039675628958032614,37,0.0007781906769132664,3,5,adam,"{'neurons_per_layer_encoder': [1808, 904, 452, 226, 113], 'neurons_per_layer_decoder': [113, 226, 452]}",1808,"[113, 226, 452]","[1808, 904, 452, 226, 113]",0.9983043216214571,0.9156474763672846,COMPLETE
103,0.007143774199283916,2024-12-21 15:30:33.193230,2024-12-21 15:30:43.250605,0 days 00:00:10.057375,0.026985221578104932,256,0.2,784,50,0.00040908187813053736,16,0.0008733122541926159,3,5,adam,"{'neurons_per_layer_encoder': [784, 392, 196, 98, 49], 'neurons_per_layer_decoder': [49, 98, 196]}",784,"[49, 98, 196]","[784, 392, 196, 98, 49]",0.9982326881458233,0.9107697211562039,COMPLETE
104,0.004476841210517762,2024-12-21 15:30:34.158222,2024-12-21 15:30:55.282983,0 days 00:00:21.124761,0.048067545289588356,256,0.2,800,50,0.0004046561859970098,16,0.0008118253674894569,3,5,adam,"{'neurons_per_layer_encoder': [800, 400, 200, 100, 50], 'neurons_per_layer_decoder': [50, 100, 200]}",800,"[50, 100, 200]","[800, 400, 200, 100, 50]",0.9984303963351259,0.944081408732944,COMPLETE
105,0.007680761139104422,2024-12-21 15:30:35.406247,2024-12-21 15:30:51.157358,0 days 00:00:15.751111,0.047220706893790924,256,0.2,1808,50,0.0007617261078847134,37,0.0007993175072440866,3,5,adam,"{'neurons_per_layer_encoder': [1808, 904, 452, 226, 113], 'neurons_per_layer_decoder': [113, 226, 452]}",1808,"[113, 226, 452]","[1808, 904, 452, 226, 113]",0.9980156623956034,0.9040624130808081,COMPLETE
106,0.011426823664142138,2024-12-21 15:30:36.143783,2024-12-21 15:30:46.388708,0 days 00:00:10.244925,0.02338743427991476,256,0.2,784,50,4.980379270359773e-05,32,0.00042891959132435454,3,4,adam,"{'neurons_per_layer_encoder': [784, 392, 196, 98], 'neurons_per_layer_decoder': [98, 196, 392]}",784,"[98, 196, 392]","[784, 392, 196, 98]",0.9979419278992522,0.8572717119260997,COMPLETE
107,0.007402901587414371,2024-12-21 15:30:37.764805,2024-12-21 15:30:53.092922,0 days 00:00:15.328117,0.023344910707200656,256,0.2,1568,50,0.0004926641232858244,32,0.0007849953801422619,3,5,adam,"{'neurons_per_layer_encoder': [1568, 784, 392, 196, 98], 'neurons_per_layer_decoder': [98, 196, 392]}",1568,"[98, 196, 392]","[1568, 784, 392, 196, 98]",0.9981697135028903,0.9075330554310662,COMPLETE
108,0.008130907926325601,2024-12-21 15:30:38.097963,2024-12-21 15:30:55.507859,0 days 00:00:17.409896,0.015391200507632487,256,0.2,1824,50,4.701989180848113e-05,38,0.0008134046488876794,3,5,adam,"{'neurons_per_layer_encoder': [1824, 912, 456, 228, 114], 'neurons_per_layer_decoder': [114, 228, 456]}",1824,"[114, 228, 456]","[1824, 912, 456, 228, 114]",0.9980490247704368,0.8984397936888892,COMPLETE
109,0.008785391930568131,2024-12-21 15:30:43.263296,2024-12-21 15:30:55.758782,0 days 00:00:12.495486,0.011695144194686634,256,0.2,784,50,6.578043196805033e-05,16,0.0007999330769188305,3,5,adam,"{'neurons_per_layer_encoder': [784, 392, 196, 98, 49], 'neurons_per_layer_decoder': [49, 98, 196]}",784,"[49, 98, 196]","[784, 392, 196, 98, 49]",0.9982078321955782,0.8902648726222043,COMPLETE
110,0.007665834370579336,2024-12-21 15:30:46.410494,2024-12-21 15:31:05.223705,0 days 00:00:18.813211,0.015508152380783515,256,0.2,1920,50,6.451481338443618e-05,40,0.0007990954227751173,3,5,adam,"{'neurons_per_layer_encoder': [1920, 960, 480, 240, 120], 'neurons_per_layer_decoder': [120, 240, 480]}",1920,"[120, 240, 480]","[1920, 960, 480, 240, 120]",0.9979825676762814,0.9042488579040311,COMPLETE
111,0.013252047994597392,2024-12-21 15:30:48.278467,2024-12-21 15:31:06.703622,0 days 00:00:18.425155,0.016152576288869427,256,0.2,1808,50,6.248228547728224e-05,37,0.0006384407455267518,3,5,adam,"{'neurons_per_layer_encoder': [1808, 904, 452, 226, 113], 'neurons_per_layer_decoder': [113, 226, 452]}",1808,"[113, 226, 452]","[1808, 904, 452, 226, 113]",0.9970355012723519,0.8344735003063471,COMPLETE
112,0.01020714307404639,2024-12-21 15:30:51.170638,2024-12-21 15:31:06.060480,0 days 00:00:14.889842,0.01666372125904557,256,0.2,1600,50,9.422408028805341e-05,33,0.0006314427231055396,3,5,adam,"{'neurons_per_layer_encoder': [1600, 800, 400, 200, 100], 'neurons_per_layer_decoder': [100, 200, 400]}",1600,"[100, 200, 400]","[1600, 800, 400, 200, 100]",0.9980127395900561,0.8725062974713034,COMPLETE
113,0.011507634793139187,2024-12-21 15:30:53.110666,2024-12-21 15:31:05.235951,0 days 00:00:12.125285,0.036208612508559376,256,0.2,896,50,5.307992861943362e-05,18,0.0006756326477309319,3,5,adam,"{'neurons_per_layer_encoder': [896, 448, 224, 112, 56], 'neurons_per_layer_decoder': [56, 112, 224]}",896,"[56, 112, 224]","[896, 448, 224, 112, 56]",0.9975374514154476,0.856262329578207,COMPLETE
114,0.008400292711891695,2024-12-21 15:30:55.296966,2024-12-21 15:31:06.787037,0 days 00:00:11.490071,0.035713992022733655,256,0.2,928,50,6.245143839766935e-05,19,0.0006434269308785789,3,5,adam,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232]}",928,"[58, 116, 232]","[928, 464, 232, 116, 58]",0.9982981164027547,0.8950750065523152,COMPLETE
115,0.008671179654997087,2024-12-21 15:30:55.523404,2024-12-21 15:31:07.224873,0 days 00:00:11.701469,0.01236007554835223,256,0.2,912,50,0.0002608921481641911,19,0.000669234663620452,3,5,adam,"{'neurons_per_layer_encoder': [912, 456, 228, 114, 57], 'neurons_per_layer_decoder': [57, 114, 228]}",912,"[57, 114, 228]","[912, 456, 228, 114, 57]",0.9980614993636677,0.8916914565136171,COMPLETE
116,0.011406369868488723,2024-12-21 15:30:55.771508,2024-12-21 15:31:07.060169,0 days 00:00:11.288661,0.06376516434859157,256,0.2,912,50,0.0003091232841747958,19,0.0006297576417384986,3,5,adam,"{'neurons_per_layer_encoder': [912, 456, 228, 114, 57], 'neurons_per_layer_decoder': [57, 114, 228]}",912,"[57, 114, 228]","[912, 456, 228, 114, 57]",0.9978357365941282,0.8575271928299826,COMPLETE
117,0.009446073259180949,2024-12-21 15:31:05.250656,2024-12-21 15:31:13.806949,0 days 00:00:08.556293,0.039685474293578035,256,0.2,928,50,1.024056003757715e-05,19,0.0006386947626347327,3,5,adam,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232]}",928,"[58, 116, 232]","[928, 464, 232, 116, 58]",0.9979501384854155,0.8820125430364063,COMPLETE
118,0.005272407973689405,2024-12-21 15:31:05.250698,2024-12-21 15:31:17.202134,0 days 00:00:11.951436,0.04116925060569756,256,0.2,928,50,0.00031988543033780614,19,0.0006401039267493551,3,5,adam,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232]}",928,"[58, 116, 232]","[928, 464, 232, 116, 58]",0.9983115916618807,0.9341442743644224,COMPLETE
119,0.009725288484223622,2024-12-21 15:31:06.075373,2024-12-21 15:31:14.028878,0 days 00:00:07.953505,0.04066706927985071,256,0.2,928,50,0.00031354380629039264,19,0.0007356335900943346,3,5,adam,"{'neurons_per_layer_encoder': [928, 464, 232, 116, 58], 'neurons_per_layer_decoder': [58, 116, 232]}",928,"[58, 116, 232]","[928, 464, 232, 116, 58]",0.9977792361928294,0.8785249674645904,COMPLETE
120,0.008188437845864018,2024-12-21 15:31:06.798336,2024-12-21 15:31:15.277590,0 days 00:00:08.479254,0.028765926855413335,256,0.2,1040,50,0.0002636726718280265,21,0.0007533031935077185,3,5,adam,"{'neurons_per_layer_encoder': [1040, 520, 260, 130, 65], 'neurons_per_layer_decoder': [65, 130, 260]}",1040,"[65, 130, 260]","[1040, 520, 260, 130, 65]",0.998253589475189,0.8977212084398216,COMPLETE
121,0.009995165911174973,2024-12-21 15:31:07.069785,2024-12-21 15:31:15.700929,0 days 00:00:08.631144,0.04046048520117725,256,0.2,864,50,0.00025126713065249957,18,0.0006858478489932729,4,5,adam,"{'neurons_per_layer_encoder': [864, 432, 216, 108, 54], 'neurons_per_layer_decoder': [54, 108, 216, 432]}",864,"[54, 108, 216, 432]","[864, 432, 216, 108, 54]",0.9975520988806319,0.8751540269240945,COMPLETE
122,0.007449449866509318,2024-12-21 15:31:07.234032,2024-12-21 15:31:15.684881,0 days 00:00:08.450849,0.053734474878905286,256,0.2,816,50,0.0003579523816136909,17,0.0007615097686854332,4,5,adam,"{'neurons_per_layer_encoder': [816, 408, 204, 102, 51], 'neurons_per_layer_decoder': [51, 102, 204, 408]}",816,"[51, 102, 204, 408]","[816, 408, 204, 102, 51]",0.9981609961007847,0.9069516378487807,COMPLETE
123,0.01028056146875971,2024-12-21 15:31:13.819127,2024-12-21 15:31:20.646746,0 days 00:00:06.827619,0.040962670004012526,256,0.2,1040,50,0.00036664683019858586,21,0.0007396937454374372,4,5,adam,"{'neurons_per_layer_encoder': [1040, 520, 260, 130, 65], 'neurons_per_layer_decoder': [65, 130, 260, 520]}",1040,"[65, 130, 260, 520]","[1040, 520, 260, 130, 65]",0.9976174212791864,0.8715892550718963,COMPLETE
124,0.009990828592582605,2024-12-21 15:31:15.691965,2024-12-21 15:31:22.593671,0 days 00:00:06.901706,0.03134251554237984,256,0.2,1296,50,3.0049769595527046e-05,27,0.0009948939980007803,4,5,adam,"{'neurons_per_layer_encoder': [1296, 648, 324, 162, 81], 'neurons_per_layer_decoder': [81, 162, 324, 648]}",1296,"[81, 162, 324, 648]","[1296, 648, 324, 162, 81]",0.9978305355647638,0.8752082027892093,COMPLETE
