number,values_0,values_1,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_relative_deterioration,state
12,-2.032160023218588,0.09785645367661233,2025-01-09 21:25:02.630351,2025-01-09 21:25:09.743647,0 days 00:00:07.113296,0.023008283085952975,64,0.2,32,100,0.00034921256093701326,392,2.3601907591100842e-05,4,4,adam,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",32,"[256, 128, 64, 32]","[32, 64, 128, 256]",[-2.032160023218588],[0.09785645367661233],0.905002243268104,COMPLETE
13,-4.8893267169517625,0.03180620602748707,2025-01-09 21:25:02.827686,2025-01-09 21:25:06.992353,0 days 00:00:04.164667,0.07113811095857456,64,0.2,132,100,1.1348250263937172e-05,2552,0.00013312961781870793,1,4,adadelta,"{'neurons_per_layer_encoder': [132, 264, 528, 1056], 'neurons_per_layer_decoder': [1056]}",132,[1056],"[132, 264, 528, 1056]",[-4.8893267169517625],[0.03180620602748707],0.5864368016842857,COMPLETE
14,0.6830178380333798,0.488593152382673,2025-01-09 21:25:03.486162,2025-01-09 21:25:11.244716,0 days 00:00:07.758554,0.010511022140370212,32,0.4,200,100,0.0001567296371879546,472,1.1245580477781099e-05,1,2,adam,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400]}",200,[400],"[200, 400]",[0.6830178380333798],[0.488593152382673],0.9182153956197937,COMPLETE
15,0.31682048914457817,0.46251540116220524,2025-01-09 21:25:04.809534,2025-01-09 21:25:12.459174,0 days 00:00:07.649640,0.07870778748947087,32,0.4,256,100,0.00013844468816381518,1016,0.008450318478519415,1,2,adam,"{'neurons_per_layer_encoder': [256, 512], 'neurons_per_layer_decoder': [512]}",256,[512],"[256, 512]",[0.31682048914457817],[0.46251540116220524],0.7372367673920609,COMPLETE
16,-0.1712116786349429,0.25654684766804836,2025-01-09 21:25:06.997691,2025-01-09 21:25:11.784385,0 days 00:00:04.786694,0.0906637880381455,32,0.4,248,100,0.00013742654329105617,984,0.007859942870701611,1,2,adam,"{'neurons_per_layer_encoder': [248, 496], 'neurons_per_layer_decoder': [496]}",248,[496],"[248, 496]",[-0.1712116786349429],[0.25654684766804836],0.6368391917266774,COMPLETE
17,0.17545145646271376,0.13449477778910823,2025-01-09 21:25:07.952249,2025-01-09 21:25:15.848937,0 days 00:00:07.896688,0.09297497400052515,32,0.1,256,100,7.669184888524559e-05,1000,0.009459564280802092,1,2,adam,"{'neurons_per_layer_encoder': [256, 512], 'neurons_per_layer_decoder': [512]}",256,[512],"[256, 512]",[0.17545145646271376],[0.13449477778910823],0.23230741972277189,COMPLETE
18,-0.14129970187614127,0.1519971815371466,2025-01-09 21:25:09.751153,2025-01-09 21:25:17.150785,0 days 00:00:07.399632,0.09380186077200027,32,0.1,240,100,7.09840471511857e-05,936,0.007620222324152351,1,2,adam,"{'neurons_per_layer_encoder': [240, 480], 'neurons_per_layer_decoder': [480]}",240,[480],"[240, 480]",[-0.14129970187614127],[0.1519971815371466],0.16427764360683503,COMPLETE
19,0.4660071211895316,0.5518201324140598,2025-01-09 21:25:11.253422,2025-01-09 21:25:17.872803,0 days 00:00:06.619381,0.010556354164092752,32,0.4,208,100,8.632393821516324e-05,552,1.2436912574801727e-05,1,2,adam,"{'neurons_per_layer_encoder': [208, 416], 'neurons_per_layer_decoder': [416]}",208,[416],"[208, 416]",[0.4660071211895316],[0.5518201324140598],0.8868995742215011,COMPLETE
20,0.4757376357650639,-0.1155413456603871,2025-01-09 21:25:11.791125,2025-01-09 21:25:17.019753,0 days 00:00:05.228628,0.010080201777385351,48,0.4,204,100,6.329211613387018e-05,624,1.1598306346063662e-05,1,2,adam,"{'neurons_per_layer_encoder': [204, 408], 'neurons_per_layer_decoder': [408]}",204,[408],"[204, 408]",[0.4757376357650639],[-0.1155413456603871],0.7389279320100082,COMPLETE
21,0.15501799159062557,-0.07204731509696538,2025-01-09 21:25:12.466049,2025-01-09 21:25:18.578629,0 days 00:00:06.112580,0.010621836083627824,48,0.4,208,100,5.219922449124706e-05,632,1.0232011495114932e-05,2,2,adam,"{'neurons_per_layer_encoder': [208, 416], 'neurons_per_layer_decoder': [416, 208]}",208,"[416, 208]","[208, 416]",[0.15501799159062557],[-0.07204731509696538],0.7313191678340387,COMPLETE
