Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV","SD, HV",Yield Strength (MPa),"SD, YS",UTS_True (Mpa),"SD, UTS",UTS/YS,"SD, UTS/YS",Elong_T (%),"SD, Elong%",Hardness (GPa) SRJT,"SD, Hardness",Modulus (GPa) SRJT,"SD, Modulus",Avg Hdyn (GPa) HSR,"SD, Avg Hdyn",Avg Hqs (GPa) HSR,"SD, Avg Hqs",Avg HDYN/HQS,"Std, Hdyn/Hqs",Depth of Penetration (mm) FE_Sim,Cracked,Cold Work (%Reduction),Holding time (h),Grain Size(um)
1,0,5.0,10,0,10.0,0,55.0,20,321.2962495490132,202.24048061068,8.0,0.0,5.0,10.1,0.0,10.1,0.0,54.7,20.0,255.3,8.2,517.0,52.3,977.0,23.1,1.89,0.17,26.7,0.6,2.88,0.15,194.55,3.9,,,,,,,,0.0,,,
1,0,50.0,10,0,15.0,0,15.0,10,252.0209974649892,-104.7768406598848,4.800000000000001,0.0,49.6,10.2,0.0,15.3,0.0,14.7,10.2,238.1,2.1,539.0,37.4,1038.0,25.5,1.93,0.14,34.6,3.2,2.68,0.03,194.27,2.2,,,,,,,,0.0,,,
1,0,5.0,0,0,75.0,0,20.0,0,52.69286577653632,-519.4125432374044,8.1,0.0,5.1,0.0,0.0,75.0,0.0,19.9,0.0,235.1,5.0,610.0,30.8,798.0,11.1,1.31,0.07,3.6,0.4,2.53,0.07,157.73,6.21,,,,,,,,1.0,,,
1,0,25.0,10,0,35.0,0,25.0,5,170.3134521300121,9.493008740491714,6.65,0.0,24.8,10.2,0.0,35.2,0.0,24.7,5.1,192.7,3.9,363.0,29.6,576.0,20.1,1.59,0.14,17.2,0.2,2.13,0.08,182.41,4.47,,,,,,,,0.0,,,
1,0,25.0,10,0,25.0,0,35.0,5,173.3394581755487,-0.7868104239916054,6.85,0.0,24.9,10.2,0.0,25.2,0.0,34.5,5.1,216.5,5.8,413.0,19.6,676.0,19.3,1.64,0.09,20.1,2.2,2.29,0.05,169.12,4.74,,,,,,,,0.0,,,
1,0,25.0,5,0,10.0,0,50.0,10,233.5765555037703,-4.90099453429014,7.1,0.0,25.1,5.1,0.0,10.1,0.0,49.6,10.1,200.3,6.8,332.0,55.5,634.0,6.7,1.91,0.32,28.7,4.6,2.35,0.02,201.05,8.11,,,,,,,,0.0,,,
1,0,30.0,20,0,5.0,0,40.0,5,191.1275556236543,-16.78417802206404,6.450000000000001,0.0,29.9,20.5,0.0,5.1,0.0,39.3,5.1,226.0,8.4,508.0,89.3,857.0,57.5,1.69,0.39,24.4,2.9,2.6,0.09,206.43,3.01,,,,,,,,0.0,,,
1,0,40.0,15,0,5.0,0,30.0,10,257.0431020185131,-55.60858067297652,5.6,0.0,40.0,15.3,0.0,5.1,0.0,29.5,10.1,253.1,9.2,448.0,24.9,863.0,58.1,1.93,0.16,28.2,5.6,2.78,0.14,199.42,6.6,,,,,,,,0.0,,,
1,0,5.0,10,0,30.0,0,50.0,5,162.3165993342222,48.74626671882295,8.35,0.0,5.1,10.3,0.0,30.2,0.0,49.4,5.1,175.8,2.6,324.0,16.6,604.0,2.4,1.86,0.1,23.4,0.4,2.11,0.12,169.54,7.83,,,,,,,,0.0,,,
1,0,30.0,0,0,30.0,0,35.0,5,158.4312767337166,102.8849270891784,6.75,0.0,29.9,0.0,0.0,30.5,0.0,34.4,5.1,171.6,4.9,347.0,15.7,610.0,8.5,1.76,0.09,20.0,0.5,1.98,0.12,165.27,9.75,,,,,,,,0.0,,,
1,5,20.0,5,0,25.0,0,45.0,0,400.9904628653007,63.06196012914481,7.35,5.1,20.1,5.1,0.0,25.3,0.0,44.3,0.0,160.0,5.5,313.0,32.1,615.0,23.6,1.96,0.23,24.6,2.1,2.11,0.06,174.64,4.08,,,,,,,,0.0,,,
1,0,5.0,20,0,10.0,0,55.0,10,242.7841552270739,79.93969269201396,8.1,0.0,5.0,20.3,0.0,10.2,0.0,54.3,10.2,215.4,9.8,427.0,32.1,886.0,9.2,2.07,0.16,31.5,0.6,2.62,0.2,187.6,9.77,,,,,,,,0.0,,,
1,0,15.0,5,0,20.0,0,40.0,20,312.9648163949832,74.63859721959169,7.199999999999999,0.0,15.0,5.1,0.0,20.2,0.0,39.4,20.4,235.0,7.5,430.0,0.0,986.0,0.0,2.29,0.0,37.0,0.0,2.71,0.24,190.55,4.78,,,,,,,,0.0,,,
