number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,state
14,0.04836421187860384,2024-12-18 10:44:44.711985,2024-12-18 10:44:46.116585,0 days 00:00:01.404600,0.03988530442431301,112,0.30000000000000004,128,50,1.415886896469314e-06,656,0.0033617926266605322,5,3,sgd,"{'neurons_per_layer_encoder': [128, 256, 512], 'neurons_per_layer_decoder': [512, 256, 128, 64, 32]}",128,"[512, 256, 128, 64, 32]","[128, 256, 512]",0.5185252430516064,COMPLETE
15,0.03178385716801591,2024-12-18 10:44:45.036217,2024-12-18 10:44:47.018109,0 days 00:00:01.981892,0.1924048643905467,128,0.30000000000000004,32,30,0.000920932768134305,288,0.009998144987713313,2,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32]}",32,"[64, 32]","[32, 64]",0.4015851845018529,COMPLETE
16,0.03625411849526472,2024-12-18 10:44:45.591303,2024-12-18 10:44:48.132886,0 days 00:00:02.541583,0.19464105258467118,120,0.4,48,30,0.0008986751712451778,352,0.006386062180296568,4,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12]}",48,"[96, 48, 24, 12]","[48, 96]",0.7416389905926436,COMPLETE
17,0.03067586039046378,2024-12-18 10:44:45.997515,2024-12-18 10:44:48.644095,0 days 00:00:02.646580,0.16213650788283646,128,0.30000000000000004,48,30,0.00041138967983180615,336,0.0078100109252422,5,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12, 8]}",48,"[96, 48, 24, 12, 8]","[48, 96]",0.7494339450393275,COMPLETE
18,0.02861953575900371,2024-12-18 10:44:46.126664,2024-12-18 10:44:48.216779,0 days 00:00:02.090115,0.18954042184604827,64,0.1,48,30,0.0005028594194802663,368,0.009090346200220237,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.348448638914476,COMPLETE
19,0.026209705165542066,2024-12-18 10:44:46.434099,2024-12-18 10:44:48.608890,0 days 00:00:02.174791,0.19077899033440232,64,0.2,48,30,0.000390476802817973,368,0.006727709388686123,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.5317284263463237,COMPLETE
20,0.01823010377586884,2024-12-18 10:44:46.871327,2024-12-18 10:44:49.077038,0 days 00:00:02.205711,0.1919915928023936,64,0.2,48,30,0.00018554557641242654,400,0.00799825419901628,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.6610408904576182,COMPLETE
21,0.019982614561864825,2024-12-18 10:44:47.027808,2024-12-18 10:44:49.212552,0 days 00:00:02.184744,0.19767990264493474,64,0.2,48,30,0.00018587826418663177,448,0.004058500467254179,3,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24]}",48,"[96, 48, 24]","[48, 96]",0.6945459657444071,COMPLETE
22,0.021425038786487143,2024-12-18 10:44:48.141357,2024-12-18 10:44:50.528636,0 days 00:00:02.387279,0.1332101851784826,64,0.2,48,30,0.00016448227165755407,464,0.0017664472705278703,3,3,adam,"{'neurons_per_layer_encoder': [48, 96, 192], 'neurons_per_layer_decoder': [192, 96, 48]}",48,"[192, 96, 48]","[48, 96, 192]",0.8277076257697303,COMPLETE
23,0.02939791506761076,2024-12-18 10:44:48.233549,2024-12-18 10:44:50.680701,0 days 00:00:02.447152,0.12906107040794432,64,0.2,16,30,2.932607234557822e-05,432,0.002607419422209171,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.24134289323306737,COMPLETE
24,0.03202868675884621,2024-12-18 10:44:48.617790,2024-12-18 10:44:51.400322,0 days 00:00:02.782532,0.02734739032317604,32,0.2,16,30,0.00014402596709349664,464,0.0030495171319603284,5,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8, 8]}",16,"[64, 32, 16, 8, 8]","[16, 32, 64]",0.5969466435035362,COMPLETE
25,0.038622612510307706,2024-12-18 10:44:48.658955,2024-12-18 10:44:50.583456,0 days 00:00:01.924501,0.025603915173758825,32,0.2,16,10,0.00016183309909811015,480,0.002674034571985025,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.5607256470741568,COMPLETE
26,0.011920712724123005,2024-12-18 10:44:49.086435,2024-12-18 10:44:51.422896,0 days 00:00:02.336461,0.13674168177185636,32,0.2,16,30,0.00012965500245456374,480,0.00255056748367065,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.7689602788624235,COMPLETE
27,0.019893638709169242,2024-12-18 10:44:49.221072,2024-12-18 10:44:51.531773,0 days 00:00:02.310701,0.13218360276567698,32,0.2,16,30,0.00015179477911120287,480,0.0033946798646202763,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.6650860337547482,COMPLETE
28,0.03571250700789241,2024-12-18 10:44:50.537340,2024-12-18 10:44:52.932308,0 days 00:00:02.394968,0.12578202922142087,72,0.2,16,30,0.0001414047982001054,480,0.0023050304578282944,3,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16]}",16,"[64, 32, 16]","[16, 32, 64]",0.5453781763969666,COMPLETE
29,0.02765036247990115,2024-12-18 10:44:50.592213,2024-12-18 10:44:53.033947,0 days 00:00:02.441734,0.12518406209812163,72,0.2,64,30,2.5858928583212468e-05,496,0.0020126149535057477,3,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64]}",64,"[256, 128, 64]","[64, 128, 256]",0.4389638960848796,COMPLETE
30,0.028109564642861996,2024-12-18 10:44:50.689185,2024-12-18 10:44:53.130168,0 days 00:00:02.440983,0.13135346689630742,72,0.2,64,30,3.1186423374402975e-05,528,0.0010153408626580283,3,3,adam,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64]}",64,"[256, 128, 64]","[64, 128, 256]",0.4922294576570995,COMPLETE
31,0.04224856265278014,2024-12-18 10:44:51.409432,2024-12-18 10:44:52.858690,0 days 00:00:01.449258,0.13779251602176038,72,0.2,64,10,3.815855125319853e-05,112,0.001689122123566683,3,1,adam,"{'neurons_per_layer_encoder': [64], 'neurons_per_layer_decoder': [64, 32, 16]}",64,"[64, 32, 16]",[64],0.24761244877679228,COMPLETE
32,0.03679169993280412,2024-12-18 10:44:51.437015,2024-12-18 10:44:52.913649,0 days 00:00:01.476634,0.13672959986503871,72,0.30000000000000004,32,10,3.211676337321011e-05,144,0.005114758420737458,3,1,adam,"{'neurons_per_layer_encoder': [32], 'neurons_per_layer_decoder': [32, 16, 8]}",32,"[32, 16, 8]",[32],0.4450607146056568,COMPLETE
33,0.04136991053716252,2024-12-18 10:44:51.539859,2024-12-18 10:44:52.729731,0 days 00:00:01.189872,0.10906744472108879,48,0.30000000000000004,32,10,3.364044681680551e-05,160,0.0005669046055589813,2,1,adam,"{'neurons_per_layer_encoder': [32], 'neurons_per_layer_decoder': [32, 16]}",32,"[32, 16]",[32],0.5100042146688748,COMPLETE
34,0.015812171471431956,2024-12-18 10:44:52.738627,2024-12-18 10:44:55.844354,0 days 00:00:03.105727,0.14490101116137338,32,0.30000000000000004,32,50,3.296618856226384e-05,544,0.0016821181944993288,4,3,adam,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",0.6686875271413242,COMPLETE
35,0.014325244282053281,2024-12-18 10:44:52.867561,2024-12-18 10:44:56.110642,0 days 00:00:03.243081,0.0977981274619766,32,0.30000000000000004,32,50,1.7535297574392198e-05,544,0.004876439034019911,4,3,adam,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",0.562593275453335,COMPLETE
36,0.028188375532275482,2024-12-18 10:44:52.922309,2024-12-18 10:44:55.616759,0 days 00:00:02.694450,0.1521004576821492,56,0.2,16,30,0.0001886468883803937,528,0.0044991407710940155,4,3,adam,"{'neurons_per_layer_encoder': [16, 32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",16,"[64, 32, 16, 8]","[16, 32, 64]",0.5940932908141999,COMPLETE
37,0.019534250062098496,2024-12-18 10:44:52.948211,2024-12-18 10:44:55.486888,0 days 00:00:02.538677,0.15477708566851087,32,0.2,32,30,0.000199262169435429,416,0.0046795513951318705,4,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",32,"[64, 32, 16, 8]","[32, 64]",0.618249516355762,COMPLETE
38,0.023407195065491822,2024-12-18 10:44:53.046227,2024-12-18 10:44:55.539220,0 days 00:00:02.492993,0.15792338571058778,56,0.2,32,30,0.000267166101353735,528,0.004275419339621173,4,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",32,"[64, 32, 16, 8]","[32, 64]",0.6572325002983311,COMPLETE
39,0.022620192072554706,2024-12-18 10:44:53.140739,2024-12-18 10:44:55.497684,0 days 00:00:02.356945,0.15430335992416527,32,0.30000000000000004,32,30,0.0002503684589922225,400,0.004645071499102778,4,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",32,"[64, 32, 16, 8]","[32, 64]",0.6806397168765257,COMPLETE
40,0.028026376435040478,2024-12-18 10:44:55.494869,2024-12-18 10:44:58.326115,0 days 00:00:02.831246,0.10215058779595092,32,0.30000000000000004,32,50,0.00024180562602909008,544,0.0052518940311925685,4,2,adam,"{'neurons_per_layer_encoder': [32, 64], 'neurons_per_layer_decoder': [64, 32, 16, 8]}",32,"[64, 32, 16, 8]","[32, 64]",0.43633658165137684,COMPLETE
41,0.018008592213729985,2024-12-18 10:44:55.507094,2024-12-18 10:44:59.296849,0 days 00:00:03.789755,0.1012169970228067,56,0.2,16,50,9.098203077089156e-05,528,0.005722804922560752,4,5,adam,"{'neurons_per_layer_encoder': [16, 32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",16,"[256, 128, 64, 32]","[16, 32, 64, 128, 256]",0.7714798640827745,COMPLETE
42,0.0453517173601139,2024-12-18 10:44:55.564082,2024-12-18 10:44:57.461617,0 days 00:00:01.897535,0.09770904907429503,40,0.30000000000000004,16,50,8.834067762333803e-05,576,0.0003299029579310081,4,5,sgd,"{'neurons_per_layer_encoder': [16, 32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",16,"[256, 128, 64, 32]","[16, 32, 64, 128, 256]",0.741685435942209,COMPLETE
43,0.051859898834341285,2024-12-18 10:44:55.630005,2024-12-18 10:44:56.656157,0 days 00:00:01.026152,0.09420263727881625,40,0.30000000000000004,16,50,0.00010224536283268368,576,0.0011864223945984406,2,5,sgd,"{'neurons_per_layer_encoder': [16, 32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128]}",16,"[256, 128]","[16, 32, 64, 128, 256]",0.7596484541450225,COMPLETE
44,0.04474747515892987,2024-12-18 10:44:55.854600,2024-12-18 10:44:58.010246,0 days 00:00:02.155646,0.10152102630897573,40,0.30000000000000004,32,50,1.6645393276298233e-05,576,0.0011480745380681803,4,5,sgd,"{'neurons_per_layer_encoder': [32, 64, 128, 256, 512], 'neurons_per_layer_decoder': [512, 256, 128, 64]}",32,"[512, 256, 128, 64]","[32, 64, 128, 256, 512]",0.6402377505883065,COMPLETE
45,0.051355690605096836,2024-12-18 10:44:56.120762,2024-12-18 10:44:57.221679,0 days 00:00:01.100917,0.09916162230428177,40,0.30000000000000004,32,50,1.3285279092593116e-05,624,0.0010322867398429583,4,4,sgd,"{'neurons_per_layer_encoder': [32, 64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64, 32]}",32,"[256, 128, 64, 32]","[32, 64, 128, 256]",0.5249444856932522,COMPLETE
46,0.06958401161362383,2024-12-18 10:44:56.664317,2024-12-18 10:44:59.062545,0 days 00:00:02.398228,0.10739390873267352,40,0.30000000000000004,32,50,1.285845536599842e-05,704,0.005999846534498558,4,3,adam,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",-0.7862649975262687,COMPLETE
47,0.028315712463499492,2024-12-18 10:44:57.229625,2024-12-18 10:45:00.225657,0 days 00:00:02.996032,0.07083085042089758,48,0.4,32,50,1.5238997932720187e-05,416,0.006115563847423066,4,3,adam,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",0.3410576217878699,COMPLETE
48,0.027209213541787073,2024-12-18 10:44:57.470231,2024-12-18 10:45:00.337732,0 days 00:00:02.867501,0.08375740547597131,48,0.4,32,50,1.4587200017037647e-05,416,0.0061568169586735545,4,3,adam,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",0.3331107625220286,COMPLETE
49,0.04830081557883319,2024-12-18 10:44:58.018730,2024-12-18 10:45:00.117767,0 days 00:00:02.099037,0.08395897466370823,48,0.4,32,50,4.606162221176718e-05,416,1.3247644749299483e-05,4,3,adadelta,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",0.5499868367758453,COMPLETE
50,0.04656383911267123,2024-12-18 10:44:58.335516,2024-12-18 10:45:00.727341,0 days 00:00:02.391825,0.08156385710539785,48,0.4,48,50,5.945527559345598e-05,688,0.006423008408004421,5,3,adadelta,"{'neurons_per_layer_encoder': [48, 96, 192], 'neurons_per_layer_decoder': [192, 96, 48, 24, 12]}",48,"[192, 96, 48, 24, 12]","[48, 96, 192]",0.6493546690659691,COMPLETE
51,0.04309700585251928,2024-12-18 10:44:59.071893,2024-12-18 10:45:02.744884,0 days 00:00:03.672991,0.07308776392759592,48,0.4,48,50,5.869515070055432e-05,512,1.0548285005424363e-05,5,4,adadelta,"{'neurons_per_layer_encoder': [48, 96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96, 48, 24]}",48,"[384, 192, 96, 48, 24]","[48, 96, 192, 384]",0.75453812597117,COMPLETE
52,0.047941422084914864,2024-12-18 10:44:59.306226,2024-12-18 10:45:02.423325,0 days 00:00:03.117099,0.08029982963904836,48,0.4,16,50,4.9887738605835685e-05,688,0.00993954693848606,5,4,adadelta,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16, 8]}",16,"[128, 64, 32, 16, 8]","[16, 32, 64, 128]",0.5880108456224846,COMPLETE
53,0.04887276419268457,2024-12-18 10:45:00.126463,2024-12-18 10:45:02.702353,0 days 00:00:02.575890,0.07223811998556635,80,0.4,16,50,5.606491069997995e-05,688,0.0007571667135487176,5,4,adadelta,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16, 8]}",16,"[128, 64, 32, 16, 8]","[16, 32, 64, 128]",0.5793441675403486,COMPLETE
54,0.04668906323315973,2024-12-18 10:45:00.234621,2024-12-18 10:45:03.778656,0 days 00:00:03.544035,0.07619168201704109,80,0.1,16,50,5.185753074900005e-05,672,0.0006931987411933556,5,4,adadelta,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16, 8]}",16,"[128, 64, 32, 16, 8]","[16, 32, 64, 128]",0.5961889627128992,COMPLETE
55,0.04972140018421514,2024-12-18 10:45:00.346098,2024-12-18 10:45:03.112114,0 days 00:00:02.766016,0.05104278913924867,80,0.1,16,50,5.050048336993444e-06,688,0.0006530244225844752,5,4,adadelta,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16, 8]}",16,"[128, 64, 32, 16, 8]","[16, 32, 64, 128]",0.5033110496745162,COMPLETE
56,0.06050953612842072,2024-12-18 10:45:00.736539,2024-12-18 10:45:03.637266,0 days 00:00:02.900727,0.16604208224841902,80,0.2,16,50,0.00011115721493944452,768,0.00878084105089192,5,4,adam,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16, 8]}",16,"[128, 64, 32, 16, 8]","[16, 32, 64, 128]",0.5419708907168495,COMPLETE
57,0.04097737576481675,2024-12-18 10:45:02.432390,2024-12-18 10:45:05.765922,0 days 00:00:03.333532,0.16914903269811837,80,0.2,16,50,2.2375346611137512e-05,288,0.0007898194214394993,4,4,adam,"{'neurons_per_layer_encoder': [16, 32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",16,"[128, 64, 32, 16]","[16, 32, 64, 128]",0.34727700792504995,COMPLETE
58,0.0236554909538705,2024-12-18 10:45:02.710479,2024-12-18 10:45:05.421170,0 days 00:00:02.710691,0.17137528096431015,32,0.2,48,50,0.00010870486542873567,608,0.00793563298016969,4,2,adam,"{'neurons_per_layer_encoder': [48, 96], 'neurons_per_layer_decoder': [96, 48, 24, 12]}",48,"[96, 48, 24, 12]","[48, 96]",0.3194645865942621,COMPLETE
59,0.0191689870464936,2024-12-18 10:45:02.997235,2024-12-18 10:45:05.362844,0 days 00:00:02.365609,0.1705658829988745,32,0.2,80,30,0.00010055796052688692,336,0.007945544034353115,4,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40, 20]}",80,"[160, 80, 40, 20]","[80, 160]",0.610031717375332,COMPLETE
60,0.011589953095044212,2024-12-18 10:45:03.120593,2024-12-18 10:45:05.528965,0 days 00:00:02.408372,0.1697328901149096,32,0.2,80,30,0.00010392747572554459,320,0.0033705750463278315,4,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40, 20]}",80,"[160, 80, 40, 20]","[80, 160]",0.8208461020506487,COMPLETE
61,0.02216524401364036,2024-12-18 10:45:03.645955,2024-12-18 10:45:06.018003,0 days 00:00:02.372048,0.17164470800086692,32,0.2,80,30,7.800202220451107e-05,288,0.001510261611794649,4,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40, 20]}",80,"[160, 80, 40, 20]","[80, 160]",0.6582443370690116,COMPLETE
62,0.023287466281787305,2024-12-18 10:45:03.787538,2024-12-18 10:45:06.161159,0 days 00:00:02.373621,0.17248544070859378,32,0.2,80,30,1.0093987642813393e-05,384,0.0014629609336080224,4,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40, 20]}",80,"[160, 80, 40, 20]","[80, 160]",0.24608926889895028,COMPLETE
63,0.015439871011782146,2024-12-18 10:45:05.371350,2024-12-18 10:45:07.471307,0 days 00:00:02.099957,0.17125549680620808,56,0.2,80,30,7.63459184815652e-05,320,0.0034938783631225712,3,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40]}",80,"[160, 80, 40]","[80, 160]",0.7051886351528323,COMPLETE
64,0.028402851124449215,2024-12-18 10:45:05.429762,2024-12-18 10:45:07.285166,0 days 00:00:01.855404,0.011708014042029553,56,0.2,80,30,0.0006492996012237187,336,0.0033934627851468038,2,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80]}",80,"[160, 80]","[80, 160]",0.7463640963922252,COMPLETE
65,0.018856511021413534,2024-12-18 10:45:05.538643,2024-12-18 10:45:07.392187,0 days 00:00:01.853544,0.11729658936745103,40,0.30000000000000004,96,30,8.173546189095635e-05,288,0.0015373247982785755,2,2,adam,"{'neurons_per_layer_encoder': [96, 192], 'neurons_per_layer_decoder': [192, 96]}",96,"[192, 96]","[96, 192]",0.7085112294461051,COMPLETE
66,0.01686134170679071,2024-12-18 10:45:05.775126,2024-12-18 10:45:08.090038,0 days 00:00:02.314912,0.11783537453076963,40,0.2,80,30,8.499094305333452e-05,320,0.003173826642158092,4,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40, 20]}",80,"[160, 80, 40, 20]","[80, 160]",0.7121658673326109,COMPLETE
