number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_relative_deterioration,state
67,0.03187709772967365,2024-12-18 10:45:06.026412,2024-12-18 10:45:08.093660,0 days 00:00:02.067248,0.11493584901077589,56,0.2,80,30,0.0006549023862843022,320,0.0032669557267982,3,2,adam,"{'neurons_per_layer_encoder': [80, 160], 'neurons_per_layer_decoder': [160, 80, 40]}",80,"[160, 80, 40]","[80, 160]",0.7668301600819114,COMPLETE
68,0.016330573744021817,2024-12-18 10:45:06.169309,2024-12-18 10:45:07.975418,0 days 00:00:01.806109,0.11347049685896485,40,0.2,96,30,2.2521023363512507e-05,320,0.003055767171280152,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.23026967839505277,COMPLETE
69,0.01928312329707989,2024-12-18 10:45:08.099871,2024-12-18 10:45:09.819936,0 days 00:00:01.720065,0.1408404095699619,40,0.30000000000000004,96,30,2.444710381864416e-05,192,0.002110315218675157,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.3182434192134065,COMPLETE
70,0.02286772353252257,2024-12-18 10:45:08.102160,2024-12-18 10:45:09.828361,0 days 00:00:01.726201,0.1436992590904204,40,0.30000000000000004,96,30,4.0441805655810384e-05,240,0.0022796480518170676,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.3136377228148022,COMPLETE
71,0.015563613393949727,2024-12-18 10:45:09.828110,2024-12-18 10:45:11.565316,0 days 00:00:01.737206,0.11896762189409857,32,0.2,112,30,1.9760314334730205e-05,224,0.002882077548524553,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.32232506405980677,COMPLETE
72,0.017154006805378996,2024-12-18 11:32:05.102695,2024-12-18 11:32:07.111358,0 days 00:00:02.008663,0.06276733522234405,32,0.2,112,30,1.971402968182342e-05,208,0.002455084066928712,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.31887709802281217,COMPLETE
73,0.017847376285541786,2024-12-18 11:32:05.104215,2024-12-18 11:32:07.088224,0 days 00:00:01.984009,0.12054304409243329,32,0.2,112,30,2.0037387641401747e-05,208,0.0028740575195665926,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.21750935893083864,COMPLETE
74,0.013660424041365915,2024-12-18 11:32:05.106782,2024-12-18 11:32:07.090432,0 days 00:00:01.983650,0.11960565396589283,32,0.2,112,30,1.909449404970648e-05,208,0.0025982561291561118,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.3229740469541757,COMPLETE
75,0.015733150253537664,2024-12-18 11:32:05.112535,2024-12-18 11:32:07.175823,0 days 00:00:02.063288,0.11864700025492209,32,0.2,112,30,2.2864938829699525e-05,208,0.0023783067201126142,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.3206247821121022,COMPLETE
76,0.016313668854079515,2024-12-18 11:32:05.116793,2024-12-18 11:32:07.099259,0 days 00:00:01.982466,0.11847637456626152,32,0.2,112,30,1.8295995501586706e-05,208,0.00271633490696448,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.27962980769895956,COMPLETE
77,0.016436882871424453,2024-12-18 11:32:05.103220,2024-12-18 11:32:07.087996,0 days 00:00:01.984776,0.11960705022924674,32,0.2,112,30,1.796476899360544e-05,192,0.0024384029397627803,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.3331937204245575,COMPLETE
78,0.027577658794959048,2024-12-18 11:32:07.104911,2024-12-18 11:32:08.901346,0 days 00:00:01.796435,0.14842029090596817,104,0.2,128,30,1.0096996359008461e-05,256,0.0018859520288659745,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],-0.017508273936554845,COMPLETE
79,0.016654671801943775,2024-12-18 11:32:07.111585,2024-12-18 11:32:08.957921,0 days 00:00:01.846336,0.09170069652461388,32,0.2,128,30,1.0387677965152123e-05,256,0.0019254414582241535,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],0.1911544659357594,COMPLETE
80,0.013967352792962694,2024-12-18 11:32:07.104950,2024-12-18 11:32:08.929124,0 days 00:00:01.824174,0.08941020144616708,32,0.2,128,30,9.964327340396767e-06,272,0.0039834420373884155,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],0.274073145192175,COMPLETE
81,0.018374776182110884,2024-12-18 11:32:07.112157,2024-12-18 11:32:08.997878,0 days 00:00:01.885721,0.09074962511916708,32,0.2,128,30,1.0088877807668725e-05,272,0.0018471064892428522,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],0.18897262232676376,COMPLETE
82,0.026319249466696653,2024-12-18 11:32:07.138578,2024-12-18 11:32:08.945044,0 days 00:00:01.806466,0.14176049995861023,104,0.2,128,30,1.0649044237989776e-05,256,0.0018350523779631996,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],-0.14057636838438864,COMPLETE
83,0.021950040162288454,2024-12-18 11:32:07.211899,2024-12-18 11:32:08.957958,0 days 00:00:01.746059,0.0904241138374242,96,0.1,128,30,0.00012549580089551876,240,0.0038544161469699053,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],0.5257578810563565,COMPLETE
84,0.016185782399921328,2024-12-18 11:32:08.909129,2024-12-18 11:32:10.696362,0 days 00:00:01.787233,0.18626781039327114,40,0.1,128,30,5.630375920707336e-06,256,0.0038338455725835585,3,1,adam,"{'neurons_per_layer_encoder': [128], 'neurons_per_layer_decoder': [128, 64, 32]}",128,"[128, 64, 32]",[128],-0.27266657739790345,COMPLETE
85,0.014938488236693494,2024-12-18 11:32:08.954362,2024-12-18 11:32:10.795454,0 days 00:00:01.841092,0.09482775592977971,32,0.2,112,30,7.300863298580587e-06,160,0.0038854833216450803,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.20680233804879009,COMPLETE
86,0.018199295338275044,2024-12-18 11:32:08.966074,2024-12-18 11:32:10.837928,0 days 00:00:01.871854,0.13220036119510628,32,0.2,112,30,2.6078434193536394e-05,144,0.003950991569553174,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.2647968242900231,COMPLETE
87,0.019862905454263696,2024-12-18 11:32:08.967591,2024-12-18 11:32:10.681109,0 days 00:00:01.713518,0.1839307582263913,32,0.2,112,30,2.643648518172576e-05,160,0.00401767775029844,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.21883775014065962,COMPLETE
88,0.013869219987680176,2024-12-18 11:32:08.967056,2024-12-18 11:32:10.805336,0 days 00:00:01.838280,0.18254318640314288,32,0.2,112,30,2.6311673717216543e-05,160,0.003868945558842831,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.4273418894248259,COMPLETE
89,0.013570877747400043,2024-12-18 11:32:09.039490,2024-12-18 11:32:10.848631,0 days 00:00:01.809141,0.18660220433393968,32,0.2,64,30,5.210177212371213e-06,144,0.004135735920508085,3,1,adam,"{'neurons_per_layer_encoder': [64], 'neurons_per_layer_decoder': [64, 32, 16]}",64,"[64, 32, 16]",[64],0.3169557637243434,COMPLETE
90,0.046391367676124576,2024-12-18 11:32:10.689234,2024-12-18 11:32:11.982202,0 days 00:00:01.292968,0.12640309080620202,40,0.2,64,30,6.164404100697315e-06,352,0.00015162354837341298,3,3,sgd,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256, 128, 64]}",64,"[256, 128, 64]","[64, 128, 256]",0.569394584866387,COMPLETE
91,0.042932486648028484,2024-12-18 11:32:10.708163,2024-12-18 11:32:11.828683,0 days 00:00:01.120520,0.127287372885553,40,0.30000000000000004,64,30,8.27159900628331e-06,368,7.691241414795127e-05,1,3,sgd,"{'neurons_per_layer_encoder': [64, 128, 256], 'neurons_per_layer_decoder': [256]}",64,[256],"[64, 128, 256]",0.5083467212449493,COMPLETE
92,0.044325547114800364,2024-12-18 11:32:10.813389,2024-12-18 11:32:11.384373,0 days 00:00:00.570984,0.1078994386763065,40,0.2,64,30,4.069289851358665e-06,96,0.005183477380708603,1,1,sgd,"{'neurons_per_layer_encoder': [64], 'neurons_per_layer_decoder': [64]}",64,[64],[64],0.5181078894385637,COMPLETE
93,0.049311884010699136,2024-12-18 11:32:10.815120,2024-12-18 11:32:11.526888,0 days 00:00:00.711768,0.12938991555970747,40,0.2,64,30,7.940827179098209e-06,96,0.004451797432004891,1,1,sgd,"{'neurons_per_layer_encoder': [64], 'neurons_per_layer_decoder': [64]}",64,[64],[64],0.5240116814712109,COMPLETE
94,0.04780044889607629,2024-12-18 11:32:10.863575,2024-12-18 11:32:11.445081,0 days 00:00:00.581506,0.15686468274924725,40,0.2,64,30,2.9729205188482222e-06,128,0.005292385497764552,1,1,sgd,"{'neurons_per_layer_encoder': [64], 'neurons_per_layer_decoder': [64]}",64,[64],[64],0.5066748331837517,COMPLETE
95,0.047955471722314014,2024-12-18 11:32:10.863756,2024-12-18 11:32:11.438661,0 days 00:00:00.574905,0.15727749759472695,40,0.2,64,30,3.6504816014124844e-06,96,0.005126086984799996,1,1,sgd,"{'neurons_per_layer_encoder': [64], 'neurons_per_layer_decoder': [64]}",64,[64],[64],0.502264740396588,COMPLETE
96,0.03804346206410643,2024-12-18 11:32:11.392114,2024-12-18 11:32:13.329899,0 days 00:00:01.937785,0.15246820094925848,40,0.2,96,30,7.429157076356804e-06,176,9.070399889215317e-05,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.4095515757914103,COMPLETE
97,0.012474604458376483,2024-12-18 11:32:11.449662,2024-12-18 11:32:13.420041,0 days 00:00:01.970379,0.19824790434567016,32,0.2,96,30,7.736428886773322e-06,176,0.00703646583068368,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.19227655490912327,COMPLETE
98,0.014337334864768129,2024-12-18 11:32:11.454220,2024-12-18 11:32:13.434618,0 days 00:00:01.980398,0.19779522187757653,32,0.2,96,30,8.0630704121273e-06,176,0.004457747937667106,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.17846572279116354,COMPLETE
99,0.04593684149564144,2024-12-18 11:32:11.539246,2024-12-18 11:32:13.495243,0 days 00:00:01.955997,0.19302193570107076,32,0.2,96,30,6.964571643768692e-06,176,8.244023989106604e-05,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.4633095062660115,COMPLETE
100,0.013481060733773682,2024-12-18 11:32:11.838131,2024-12-18 11:32:13.810603,0 days 00:00:01.972472,0.19714723550839508,32,0.2,96,30,5.600892372352623e-06,176,0.006729699800708646,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.1617441100301113,COMPLETE
101,0.01487445379972403,2024-12-18 11:32:11.991781,2024-12-18 11:32:13.935466,0 days 00:00:01.943685,0.03775070493579264,32,0.2,96,30,1.9737716773385706e-06,176,0.0028614597004822375,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.18075326938440786,COMPLETE
102,0.012180072500795482,2024-12-18 11:32:13.338440,2024-12-18 11:32:15.121899,0 days 00:00:01.783459,0.19906246848363074,32,0.2,112,30,4.849376364589725e-06,176,0.006696949185638641,3,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56, 28]}",112,"[112, 56, 28]",[112],0.2686200885749809,COMPLETE
103,0.015997902892026725,2024-12-18 11:32:13.429011,2024-12-18 11:32:15.214731,0 days 00:00:01.785720,0.19308429273332944,32,0.2,96,30,2.2100131020062086e-06,160,0.007167371304732562,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-0.07917760484204883,COMPLETE
104,0.014465496872016464,2024-12-18 11:32:13.446533,2024-12-18 11:32:15.014474,0 days 00:00:01.567941,0.19494191966067773,32,0.2,96,30,6.680368350970355e-06,160,0.006631631492036093,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.023672739446713543,COMPLETE
105,0.013438956045007075,2024-12-18 11:32:13.512795,2024-12-18 11:32:15.065622,0 days 00:00:01.552827,0.19580463773528134,32,0.2,96,30,2.3956823926769117e-06,160,0.004347621455986339,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],0.06136676372477768,COMPLETE
106,0.010964532301443251,2024-12-18 11:32:13.818781,2024-12-18 11:32:15.578201,0 days 00:00:01.759420,0.1959019956590838,32,0.2,96,30,4.510542863421733e-06,160,0.007136101532685208,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.26994524329561703,COMPLETE
107,0.012097306795126689,2024-12-18 11:32:13.945153,2024-12-18 11:32:15.670557,0 days 00:00:01.725404,0.04007003860858992,32,0.2,96,30,2.293496142348848e-06,144,0.0067087089336251024,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.15126593714634076,COMPLETE
108,0.01396478332705294,2024-12-18 11:32:15.022900,2024-12-18 11:32:16.588162,0 days 00:00:01.565262,0.17946580051586683,32,0.2,96,30,4.4091861736738035e-06,144,0.006876946199756009,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],0.056991719506011035,COMPLETE
109,0.014018533870912328,2024-12-18 11:32:15.073646,2024-12-18 11:32:16.650315,0 days 00:00:01.576669,0.19667309699155514,32,0.2,96,30,2.172476950379576e-06,144,0.007144497366704385,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.0015836010876666207,COMPLETE
110,0.012292430584744888,2024-12-18 11:32:15.131084,2024-12-18 11:32:16.701581,0 days 00:00:01.570497,0.18266622385409934,32,0.2,96,30,3.917176247970748e-06,224,0.007250440249913306,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],0.05589775337406264,COMPLETE
111,0.026050105778817126,2024-12-18 11:32:15.223536,2024-12-18 11:32:16.457155,0 days 00:00:01.233619,0.17983329328875003,32,0.2,112,30,4.847476945042781e-06,224,0.008480746144064594,2,1,adam,"{'neurons_per_layer_encoder': [112], 'neurons_per_layer_decoder': [112, 56]}",112,"[112, 56]",[112],-0.2958638069237131,COMPLETE
112,0.013967917635045679,2024-12-18 11:32:15.586207,2024-12-18 11:32:17.136326,0 days 00:00:01.550119,0.16426016359196957,32,0.2,96,30,4.46650232069326e-06,144,0.007322963349872499,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.003302144782075467,COMPLETE
113,0.012961473379129094,2024-12-18 11:32:15.678229,2024-12-18 11:32:17.208589,0 days 00:00:01.530360,0.1805124788619181,32,0.2,96,30,1.202034727791876e-06,144,0.008990033313357747,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.01957760184262573,COMPLETE
114,0.03584784257447553,2024-12-18 11:32:16.464876,2024-12-18 11:32:17.643513,0 days 00:00:01.178637,0.04462620894427678,40,0.2,96,30,1.1123984308469205e-06,144,0.007143895206274193,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.825888270516162,COMPLETE
115,0.012614410450185437,2024-12-18 11:32:16.596759,2024-12-18 11:32:18.337374,0 days 00:00:01.740615,0.04399763153399886,40,0.2,96,30,2.4859474769134323e-06,192,0.0074195167428907464,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.21371924621589103,COMPLETE
116,0.018974886308820507,2024-12-18 11:32:16.658939,2024-12-18 11:32:18.192786,0 days 00:00:01.533847,0.04576913397678788,40,0.2,96,30,1.368630484304093e-06,144,0.00968540718008793,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.6483328381051588,COMPLETE
117,0.015172166825850136,2024-12-18 11:32:16.710275,2024-12-18 11:32:18.262633,0 days 00:00:01.552358,0.04734684001869516,40,0.2,96,30,1.2528053857567175e-06,880,0.009596181335983263,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.32709114994954797,COMPLETE
118,0.04422502661463211,2024-12-18 11:32:17.144046,2024-12-18 11:32:18.307184,0 days 00:00:01.163138,0.029641274093208277,40,0.2,96,30,1.0008048470471983e-06,192,0.00911822813704424,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-1.2495215064673566,COMPLETE
119,0.015248999950411422,2024-12-18 11:32:17.217154,2024-12-18 11:32:18.707085,0 days 00:00:01.489931,0.042541857372647825,40,0.2,80,30,1.3990055245699253e-06,128,0.0098214904340711,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],-0.2649687831693386,COMPLETE
120,0.016650859693601486,2024-12-18 11:32:17.651251,2024-12-18 11:32:19.352465,0 days 00:00:01.701214,0.032891338429324984,40,0.2,80,30,3.3699113723138857e-06,192,0.005950324582474812,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],-0.11449994053554922,COMPLETE
121,0.01640290891274738,2024-12-18 11:32:18.201571,2024-12-18 11:32:19.753860,0 days 00:00:01.552289,0.16505048847673442,32,0.2,80,30,3.2545275928631944e-06,128,0.00571465750071642,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],-0.13561075907004413,COMPLETE
122,0.017264429518857594,2024-12-18 11:32:18.270503,2024-12-18 11:32:20.026668,0 days 00:00:01.756165,0.03234571972121931,32,0.2,80,30,3.2137469253512287e-06,128,0.0057726711363392655,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],-0.2815207657001834,COMPLETE
123,0.020861653592180444,2024-12-18 11:32:18.325737,2024-12-18 11:32:20.053998,0 days 00:00:01.728261,0.16146033575780439,32,0.2,80,30,3.56053827963433e-06,128,0.005313944677663973,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],-0.4735305896794439,COMPLETE
124,0.01302782371706063,2024-12-18 11:32:18.357419,2024-12-18 11:32:20.095088,0 days 00:00:01.737669,0.0417620794027194,32,0.2,96,30,3.2826970714381214e-06,224,0.0061484048893776,2,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48]}",96,"[96, 48]",[96],-0.12042820112006153,COMPLETE
125,0.024924011009920297,2024-12-18 11:32:18.715667,2024-12-18 11:32:20.160798,0 days 00:00:01.445131,0.17587052900133643,32,0.2,80,30,3.434336026853592e-06,128,0.00600829933733624,2,1,adam,"{'neurons_per_layer_encoder': [80], 'neurons_per_layer_decoder': [80, 40]}",80,"[80, 40]",[80],-0.22410753444439827,COMPLETE
126,0.013308117239429556,2024-12-18 11:32:19.360864,2024-12-18 11:32:21.115632,0 days 00:00:01.754768,0.05158716569468431,32,0.2,96,30,2.508260655895485e-06,208,0.005617087600712605,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.04110313248060205,COMPLETE
127,0.08806549575206257,2024-12-18 11:32:19.762198,2024-12-18 11:32:21.379389,0 days 00:00:01.617191,0.038897915833119454,32,0.2,96,30,1.671428210495665e-06,1024,0.007871626416082566,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-2.7000706929422313,COMPLETE
128,0.010514767793461527,2024-12-18 11:32:20.035236,2024-12-18 11:32:21.810781,0 days 00:00:01.775545,0.038597696869727034,32,0.2,96,30,2.6728455127604852e-06,224,0.007707856656294409,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.26347063484371425,COMPLETE
129,0.030366603890802885,2024-12-18 11:32:20.071918,2024-12-18 11:32:21.534935,0 days 00:00:01.463017,0.05540021804985117,32,0.2,96,30,2.7017800684236654e-06,224,0.007902242590012067,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-0.38121782631690726,COMPLETE
130,0.01041695509501673,2024-12-18 11:32:20.110509,2024-12-18 11:32:21.881963,0 days 00:00:01.771454,0.04045301981071394,32,0.2,96,30,2.5254874560300193e-06,224,0.008116760076506397,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.36546201446031235,COMPLETE
131,0.009505365628043624,2024-12-18 11:32:20.172960,2024-12-18 11:32:21.987032,0 days 00:00:01.814072,0.055553519505011084,32,0.2,96,30,1.7294465577224307e-06,224,0.00818162793730876,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.37068426753665323,COMPLETE
132,0.053763517144672215,2024-12-18 11:32:21.123678,2024-12-18 11:32:22.640082,0 days 00:00:01.516404,0.05141513613645064,32,0.2,96,30,2.572763847342042e-06,224,0.008339172281170017,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-1.9268046547874151,COMPLETE
133,0.010240082144760932,2024-12-18 11:32:21.388442,2024-12-18 11:32:23.265486,0 days 00:00:01.877044,0.05009530652435369,32,0.2,96,30,2.3758531376590633e-06,224,0.008247736799003053,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.28389196015963963,COMPLETE
134,0.013426601562544861,2024-12-18 11:32:21.543109,2024-12-18 11:32:23.393478,0 days 00:00:01.850369,0.022333023060525092,48,0.2,96,30,2.6012325511474763e-06,224,0.006538997173641635,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.11002316185705881,COMPLETE
135,0.05119523013752786,2024-12-18 11:32:21.819669,2024-12-18 11:32:23.355937,0 days 00:00:01.536268,0.04098781339625079,48,0.2,96,30,1.7297414676605668e-06,240,0.008345905544101794,3,1,adadelta,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.47389894691118256,COMPLETE
136,0.012782146694126596,2024-12-18 11:32:21.890056,2024-12-18 11:32:23.760027,0 days 00:00:01.869971,0.037421051345759876,32,0.2,96,30,2.503689142007527e-06,224,0.008477503173603625,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.14574070206598816,COMPLETE
137,0.012207073758305508,2024-12-18 11:32:21.997775,2024-12-18 11:32:23.820121,0 days 00:00:01.822346,0.05133856623853833,32,0.2,96,30,1.6154578729239428e-06,240,0.008523821698731242,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.17437018684096026,COMPLETE
138,0.07292579510928966,2024-12-18 11:32:22.648401,2024-12-18 11:32:24.095123,0 days 00:00:01.446722,0.03697176699226253,32,0.2,96,30,1.7425544970190975e-06,240,0.008727740808021618,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-2.6390293460652017,COMPLETE
139,0.047242285219357735,2024-12-18 11:32:23.274451,2024-12-18 11:32:25.013930,0 days 00:00:01.739479,0.03696880971892384,40,0.2,96,30,1.7470474493630466e-06,240,0.008430191715711606,3,1,adadelta,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],0.47398154394730546,COMPLETE
140,0.038721214158952806,2024-12-18 11:32:23.364081,2024-12-18 11:32:24.898402,0 days 00:00:01.534321,0.036211156957531444,40,0.2,96,30,1.9974415941934264e-06,288,0.008686163942013604,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-1.0715538516440715,COMPLETE
141,0.06918261726894108,2024-12-18 11:32:23.413168,2024-12-18 11:32:24.811359,0 days 00:00:01.398191,0.043072348325304384,40,0.2,96,30,1.7710984986481394e-06,288,0.008405373382706194,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-2.25530842254519,COMPLETE
142,0.07585349067452853,2024-12-18 11:32:23.768179,2024-12-18 11:32:25.169627,0 days 00:00:01.401448,0.03685142468438315,40,0.2,96,30,1.9334461906088867e-06,304,0.008522251216669477,3,1,adam,"{'neurons_per_layer_encoder': [96], 'neurons_per_layer_decoder': [96, 48, 24]}",96,"[96, 48, 24]",[96],-2.294230897530287,COMPLETE
