Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.008445181940276467,0.7238213444708399,16.491605926595042,0.010439708706673084,0.748204994659047,16.093179863776726
2,0.0078038872284284,0.7447932918567788,15.66450776913642,0.01142013395183704,0.7245581490641438,17.82208815923513
3,0.008099888252680813,0.7351133150970822,15.78778904630277,0.008699367716692078,0.7901802241582419,14.499820723743117
4,0.009031087081147754,0.7046607751405648,15.728330916136047,0.008939761371244257,0.7843821771789037,15.287646074392653
5,0.008823070500750301,0.7114634396548667,17.358058910535405,0.009550184646488298,0.7696593974377344,17.761793850552625
6,0.008250276822901187,0.7301952312210757,18.06174559816716,0.011761901149663198,0.7163150767888615,19.927340101188086
7,0.009036170176461068,0.7044945451600285,17.138016773362168,0.012237035618787098,0.7048553234995527,20.713647207180628
8,0.008591014076374972,0.7190522674319488,16.42038963177997,0.011547814208934068,0.7214786329664264,16.848988453747552
9,0.008981134173892397,0.7062943606409271,17.19191598003898,0.011648630815378218,0.7190470404123319,19.458638600430326
10,0.008079654630532045,0.7357750053485239,16.4243810415943,0.009680233409801594,0.7665227554132185,17.388349627650726
