number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_learning_rate,params_num_dec_steps (n_steps),params_num_feature_att (n_a),params_num_feature_dim (n_d),params_optimizer,params_sparsity reg (lambda_sparse),params_strength_feature_penalty (gamma),params_virtual_batch_size,user_attrs_relative_deterioration,state
111,0.00483709482836399,2024-10-17 12:17:21.944518,2024-10-17 12:20:44.447403,0 days 00:03:22.502885,72,50,0.004626314504191854,5,32,24,RMSprop,0.0011661626062934713,0.8137742748313423,120,0.49011232871907395,COMPLETE
112,0.005403222430274215,2024-10-17 12:17:21.948884,2024-10-17 12:20:55.045530,0 days 00:03:33.096646,72,50,0.004241337572035168,5,32,84,RMSprop,0.0008971735687242947,0.8168376295043979,120,0.3063467111835373,COMPLETE
113,0.00492686383344687,2024-10-17 12:17:21.944717,2024-10-17 12:20:55.677602,0 days 00:03:33.732885,72,50,0.004274808287874975,5,32,84,RMSprop,0.0005580587975834449,0.842575347453258,120,0.4535738690710718,COMPLETE
114,0.004481244211016562,2024-10-17 12:17:21.944990,2024-10-17 12:20:54.511117,0 days 00:03:32.566127,72,50,0.004205615497611709,5,32,88,RMSprop,0.001151473539764193,0.8428436500082584,120,0.5041139987314474,COMPLETE
115,0.004450477612530013,2024-10-17 12:20:44.455807,2024-10-17 12:23:46.879066,0 days 00:03:02.423259,80,50,0.005237921423628857,5,32,20,RMSprop,0.0009361759408932566,0.8747139676412231,112,0.44138310773643785,COMPLETE
116,0.004050882726782232,2024-10-17 12:20:49.622575,2024-10-17 12:23:53.307619,0 days 00:03:03.685044,80,50,0.005094020539653351,5,32,20,RMSprop,0.0008141449370283604,0.8436155655650796,112,0.5123204811944858,COMPLETE
117,0.004312285605227396,2024-10-17 12:20:54.521330,2024-10-17 12:24:02.083157,0 days 00:03:07.561827,80,50,0.005013816029520227,5,36,56,RMSprop,0.0007931614169485494,0.9269944086396547,112,0.5085465682962017,COMPLETE
118,0.00403533839001436,2024-10-17 12:20:55.054504,2024-10-17 12:24:01.704732,0 days 00:03:06.650228,80,50,0.00521637469973342,5,36,20,RMSprop,0.0002113526582268567,0.9309314392329743,112,0.5409870767270566,COMPLETE
119,0.005583222257948299,2024-10-17 12:20:55.686688,2024-10-17 12:24:04.345475,0 days 00:03:08.658787,80,50,0.004694272336143295,5,36,56,RMSprop,0.00787593515965947,0.9272382823274017,112,0.6046156217229784,COMPLETE
120,0.005303229136756805,2024-10-17 12:23:46.886750,2024-10-17 12:29:00.349692,0 days 00:05:13.462942,80,50,0.005993565676827887,5,36,24,RMSprop,0.0007639087115047451,0.9242845832460315,72,0.45596636033691523,COMPLETE
121,0.004832240696084487,2024-10-17 12:23:53.315320,2024-10-17 12:26:57.192234,0 days 00:03:03.876914,80,50,0.005051021426536104,5,36,20,RMSprop,0.008046998186592567,0.8533976532276575,112,0.6206573084937408,COMPLETE
122,0.0040577807900343595,2024-10-17 12:24:01.712438,2024-10-17 12:27:08.384209,0 days 00:03:06.671771,80,50,0.0046532638974043534,5,36,24,RMSprop,0.0006908633459021124,0.9256821499143791,128,0.5411845239944457,COMPLETE
123,0.006350767487237156,2024-10-17 12:24:02.090943,2024-10-17 12:27:06.087769,0 days 00:03:03.996826,80,50,0.004724609226750702,5,36,24,RMSprop,0.0006252914423266768,1.120997609176606,112,0.46991094226783053,COMPLETE
124,0.006232079752906126,2024-10-17 12:24:04.353203,2024-10-17 12:27:09.665788,0 days 00:03:05.312585,80,50,0.002779519557648521,5,36,24,RMSprop,0.00021316179681217536,1.1054834460906728,128,0.41977198015662986,COMPLETE
125,0.004058251533199662,2024-10-17 12:26:57.201900,2024-10-17 12:30:01.399298,0 days 00:03:04.197398,80,50,0.006051016033081888,5,36,52,RMSprop,0.0007498155435907605,0.9864010213684575,112,0.5078006460000642,COMPLETE
126,0.004617530508409337,2024-10-17 12:27:06.096305,2024-10-17 12:30:07.654165,0 days 00:03:01.557860,80,50,0.005977986788651059,5,36,60,RMSprop,0.0007229793094500103,0.9754365048118367,112,0.4463900870962981,COMPLETE
127,0.014195111263860449,2024-10-17 12:27:08.392981,2024-10-17 12:30:21.883804,0 days 00:03:13.490823,88,50,0.005883671748214504,5,36,96,RMSprop,0.0006653280059870817,0.9831915435532864,128,-0.2739327974431647,COMPLETE
128,0.008855114348569696,2024-10-17 12:27:09.674341,2024-10-17 12:29:54.789393,0 days 00:02:45.115052,88,50,0.005207846930984283,5,36,16,RMSprop,0.0006747370781090587,0.8943486984823825,128,0.032443503768036376,COMPLETE
129,0.010198674675907009,2024-10-17 12:29:00.359061,2024-10-17 12:31:36.692211,0 days 00:02:36.333150,88,50,0.005261119741733963,5,36,16,RMSprop,0.0006606674988922603,0.9766400037353298,64,0.08077255647179282,COMPLETE
