Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.008105419514347892,0.810793986828823,26.439341629875685,0.011473807077872147,0.6603155409104902,33.80640195862351
2,0.008614349261569725,0.7989139640507786,33.56127210277093,0.010768675796443715,0.6811911000246957,32.279134115435276
3,0.009390322017637636,0.7808003166022823,29.095698659834724,0.010873595804306394,0.6780849212405645,29.814073813202075
4,0.008819809131955294,0.7941178837401288,28.377449169582984,0.011906652414702977,0.6475010641537426,29.503908575175114
5,0.01187424376226467,0.7228177619056195,30.03462420343378,0.010285074040979112,0.6955082311743503,30.274257055001584
6,0.009072704655065619,0.7882145059332377,35.93604276420731,0.012283364387406988,0.6363484273861881,31.904781288874055
7,0.007936650756377124,0.8147335810456275,27.387036322411717,0.01242745924928252,0.6320824688528464,33.03602450405932
8,0.009294993550397024,0.7830255831904445,27.74106109577494,0.014389607681320237,0.5739926540018137,34.757956524334304
9,0.010624421247668882,0.7519925547389388,28.643749543364862,0.01071801538028465,0.6826909122442535,32.412255949562955
10,0.015913344376017217,0.6285324355788848,32.884744784705546,0.014029684275000757,0.5846482617490514,31.97416359418529
