Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV",Yield Strength (MPa),UTS_True (Mpa),UTS/YS,Elong_T (%),Hardness (GPa) SRJT,Modulus (GPa) SRJT,Avg Hdyn (GPa) HSR,Avg Hqs (GPa) HSR,Avg HDYN/HQS,Depth of Penetration (mm) FE_Sim,Cracked,Grain Size(um)
1,5,10,0,0,30,0,50,5,421.8442395,88.48,800.0,5.3,10.2,0.0,0.0,30.3,0.0,49.0,5.1,,282.0,691.0,2.45,41.8,2.25,191.0,,,,,0.0,
1,5,5,10,0,20,0,55,5,437.0314243,61.23,820.0,4.6,5.1,10.1,0.0,20.3,0.0,55.0,4.9,,367.0,759.0,2.07,33.8,2.57,221.0,,,,,0.0,
1,15,5,0,0,15,0,65,0,722.4830729,212.08,825.0,14.2,5.3,0.0,0.0,15.6,0.0,64.9,0.0,,299.0,333.0,1.11,1.4,2.97,160.0,,,,,0.0,
1,0,15,25,0,5,0,50,5,192.6929684,29.1,745.0,0.0,15.1,25.2,0.0,5.1,0.0,49.6,5.1,,503.0,854.0,1.7,22.5,2.82,201.0,,,,,0.0,
1,0,10,5,0,35,0,35,15,257.1647128,-0.3,755.0,0.0,10.0,5.0,0.0,35.1,0.0,34.8,15.0,,391.0,832.0,2.13,29.7,2.52,191.0,,,,,0.0,
1,0,40,20,0,5,0,30,5,195.157012,-61.1,565.0,0.0,40.1,20.2,0.0,5.1,0.0,29.5,5.1,,461.0,863.0,1.87,26.2,3.05,216.0,,,,,0.0,
1,0,45,15,0,10,0,15,15,309.0216024,-36.6,485.0,0.0,44.8,15.1,0.0,10.1,0.0,14.8,15.1,,569.0,1044.0,1.83,29.1,3.17,225.0,,,,,0.0,
1,0,75,0,0,15,0,0,10,241.5553432,-136.2,320.0,0.0,74.4,0.0,0.0,15.4,0.0,0.0,10.2,,382.0,646.0,1.69,27.2,2.25,199.0,,,,,0.0,
1,0,25,20,0,10,0,35,10,253.5297866,7.6,650.0,0.0,24.9,20.3,0.0,10.1,0.0,34.4,10.2,,460.0,932.0,2.03,32.6,2.73,193.0,,,,,0.0,
1,0,45,5,0,15,0,25,10,241.6991009,-99.0,540.0,0.0,45.0,5.1,0.0,15.2,0.0,24.7,9.9,,357.0,671.0,1.88,26.6,2.58,223.0,,,,,0.0,
1,0,30,10,0,15,0,30,15,293.4822158,-26.3,615.0,0.0,29.8,10.1,0.0,15.2,0.0,29.6,15.2,,444.0,966.0,2.18,33.8,2.83,213.0,,,,,0.0,
1,5,10,5,0,20,0,55,5,435.8880453,67.3,800.0,5.2,10.0,5.1,0.0,20.3,0.0,54.2,5.1,,366.0,804.0,2.2,38.4,2.67,222.0,,,,,0.0,
1,0,10,20,0,5,0,60,5,182.6807328,50.3,805.0,0.0,10.3,20.4,0.0,5.1,0.0,59.2,5.1,,397.0,734.0,1.85,22.4,2.58,240.0,,,,,0.0,
1,0,10,5,0,5,0,50,30,374.9055941,360.9,740.0,0.0,10.0,5.0,0.0,5.0,0.0,49.5,30.5,,637.0,1115.0,1.75,25.0,3.32,191.0,,,,,0.0,
1,0,35,15,0,5,0,20,25,371.290979,92.1,525.0,0.0,12.55,12.6,0.0,5.05,0.0,46.95,22.9,,790.0,790.0,1.0,0.0,6.04,219.0,,,,,1.0,
1,0,15,20,0,5,0,45,15,299.8907032,120.5,715.0,0.0,15.1,20.2,0.0,5.1,0.0,44.4,15.3,,551.0,1060.0,1.92,31.0,2.96,205.0,,,,,0.0,
1,0,15,5,0,15,0,40,25,344.4982674,196.0,705.0,0.0,15.0,5.0,0.0,15.1,0.0,39.5,25.4,,541.0,1136.0,2.1,33.7,3.32,207.0,,,,,0.0,
1,5,5,5,0,20,0,50,15,472.4146152,119.9,790.0,5.5,4.9,5.0,0.0,20.2,0.0,49.4,15.1,,542.0,1006.0,1.86,29.1,3.35,232.0,,,,,0.0,
1,0,25,15,0,5,0,35,20,340.2266634,118.5,630.0,0.0,24.9,15.2,0.0,5.2,0.0,34.3,20.4,,613.0,1197.0,1.95,31.8,3.29,217.0,,,,,0.0,
1,0,30,10,0,10,0,30,20,335.5917857,47.1,600.0,0.0,29.6,10.6,0.0,9.9,0.0,28.6,21.2,,625.0,1221.0,1.95,31.0,3.37,201.0,,,,,0.0,
1,0,40,5,0,15,0,15,25,359.5723946,-3.0,505.0,0.0,39.4,5.3,0.0,14.9,0.0,14.3,26.1,,551.0,1504.0,2.73,24.0,3.82,191.0,,,,,0.0,
1,0,5,5,0,30,0,45,15,261.1804501,19.5,805.0,0.0,5.3,5.3,0.0,30.4,0.0,43.2,15.8,,361.0,842.0,2.33,34.0,2.38,216.0,,,,,0.0,
1,0,20,5,0,25,0,35,15,275.7386381,-32.5,695.0,0.0,20.2,5.3,0.0,25.2,0.0,33.5,15.8,,391.0,822.0,2.1,30.0,2.3,225.0,,,,,0.0,
1,0,40,25,0,10,0,20,5,203.7096246,-85.3,535.0,0.0,39.2,26.2,0.0,10.0,0.0,19.2,5.3,,502.0,996.0,1.98,32.0,2.77,199.0,,,,,0.0,
1,0,35,15,0,10,0,25,15,303.7173841,-7.5,565.0,0.0,34.5,15.7,0.0,10.0,0.0,24.0,15.8,,521.0,1042.0,2.0,30.0,2.94,193.0,,,,,0.0,
1,0,20,10,0,10,0,45,15,292.5769617,37.4,705.0,0.0,20.1,10.6,0.0,10.1,0.0,43.2,15.9,,443.0,986.0,2.23,34.0,2.93,223.0,,,,,0.0,
1,0,25,25,0,15,0,25,10,250.7808665,3.2,620.0,0.0,24.7,26.2,0.0,14.7,0.0,23.9,10.6,,491.0,945.0,1.92,29.0,2.77,213.0,,,,,0.0,
1,0,15,15,0,5,0,45,20,334.364454,185.8,710.0,0.0,15.0,15.8,0.0,4.9,0.0,43.3,21.0,,525.0,1142.0,2.18,35.0,2.95,222.0,,,,,0.0,
1,0,5,5,0,30,0,55,5,156.4381732,75.2,855.0,0.0,5.4,5.4,0.0,30.9,0.0,53.1,5.3,,308.0,620.0,2.01,23.0,2.15,240.0,,,,,0.0,
1,0,20,10,0,5,0,40,25,363.0869922,220.2,665.0,0.0,19.8,10.5,0.0,4.9,0.0,38.5,26.3,,590.0,1274.0,2.16,32.0,3.41,191.0,,,,,0.0,
1,0,20,15,0,0,0,35,30,386.2269491,266.2,630.0,1.55,15.100000000000001,5.25,0.0,5.050000000000001,0.0,46.6,26.450000000000003,,559.0,561.0,1.0,0.0,5.96,219.0,,,,,1.0,
1,5,10,0,0,5,0,55,25,512.047066,257.7,750.0,3.1,10.4,0.0,0.0,5.2,0.0,54.7,26.6,,669.0,1164.0,1.74,26.0,3.48,205.0,,,,,0.0,
1,0,15,15,0,15,0,40,15,286.9361868,74.3,715.0,0.0,15.1,15.8,0.0,14.9,0.0,38.4,15.8,,459.0,931.0,2.03,30.0,2.57,207.0,,,,,0.0,
1,0,25,5,0,10,0,35,25,358.3455934,139.7,635.0,0.0,24.9,5.3,0.0,10.0,0.0,33.7,26.1,,614.0,1311.0,2.14,37.0,3.02,232.0,,,,,0.0,
1,0,35,20,0,10,0,15,20,337.8624475,61.9,520.0,0.0,12.45,13.399999999999999,0.0,32.65,0.0,28.450000000000003,13.05,,460.0,462.0,1.0,0.0,5.22,217.0,,,,,1.0,
1,0,0,20,0,55,0,25,0,67.31573233,-144.2,810.0,0.0,0.0,21.5,0.0,55.3,0.0,23.2,0.0,,318.0,569.0,1.79,23.0,1.63,193.04,,,,,0.0,
1,0,10,0,0,0,0,75,15,278.374904,-0.7,845.0,0.0,10.6,0.0,0.0,0.0,0.0,73.9,15.4,,398.0,899.0,2.26,36.0,2.42,212.4,,,,,0.0,
1,0,50,5,0,15,0,5,25,365.4429332,-42.4,425.0,0.0,48.8,5.3,0.0,15.0,0.0,4.9,26.0,,539.0,1581.0,2.93,27.0,3.37,225.55,,,,,0.0,
1,0,35,20,0,30,0,15,0,112.7525073,-153.5,580.0,0.0,35.0,20.6,0.0,29.9,0.0,14.5,0.0,,448.0,892.0,1.99,31.0,2.19,209.36,,,,,0.0,
1,0,65,15,0,0,0,10,10,266.8285728,-141.6,370.0,0.0,64.0,15.8,0.0,0.0,0.0,9.8,10.5,,548.0,960.0,1.75,22.0,3.09,237.14,,,,,0.0,
1,0,10,0,0,30,0,40,20,295.6443753,16.1,760.0,0.0,10.4,0.0,0.0,30.6,0.0,38.0,21.0,,336.0,850.0,2.53,36.0,2.33,195.94,,,,,0.0,
1,0,15,20,0,15,0,40,10,243.8177625,33.1,720.0,0.0,15.1,21.2,0.0,14.9,0.0,38.1,10.7,,431.0,895.0,2.08,32.0,2.43,196.74,,,,,0.0,
1,0,40,5,0,15,0,20,20,333.216789,-63.8,530.0,0.0,39.6,5.3,0.0,15.1,0.0,19.2,20.8,,518.0,1325.0,2.56,21.0,3.42,234.77,,,,,0.0,
1,0,25,0,0,35,0,35,5,157.4524677,407.7,705.0,0.0,25.6,0.0,0.0,36.0,0.0,33.3,5.2,,305.0,557.0,1.83,20.0,1.8,162.96,,,,,0.0,
1,0,20,5,0,15,0,40,20,322.3600034,661.9,690.0,0.0,20.2,5.3,0.0,15.1,0.0,38.4,20.9,,244.0,644.0,2.64,39.0,1.85,178.91,,,,,0.0,
1,0,20,10,0,0,0,45,25,370.6097422,723.5,675.0,0.0,20.0,10.4,0.0,0.0,0.0,43.5,26.2,,615.0,1256.0,2.04,36.0,3.0,211.02,,,,,0.0,
1,5,5,0,0,40,0,45,5,407.6009793,472.4,820.0,3.9,5.6,0.0,0.0,42.2,0.0,42.8,5.5,,477.0,1062.0,2.23,34.0,2.69,211.67,,,,,0.0,
1,0,10,5,0,10,0,55,20,322.7157021,678.9,780.0,0.0,10.3,5.4,0.0,10.1,0.0,53.3,20.9,,469.0,1040.0,2.22,33.0,2.76,211.4,,,,,0.0,
1,0,20,20,0,15,0,30,15,289.5827743,630.3,655.0,0.0,19.8,21.1,0.0,14.8,0.0,28.5,15.9,,470.0,967.0,2.06,31.0,2.51,193.22,,,,,0.0,
1,0,30,5,0,15,0,20,30,368.6729682,707.5,560.0,0.0,25.35,10.55,0.0,15.2,0.0,38.45,10.55,,404.5,793.5,1.945,26.5,4.28,202.06,,,,,1.0,
1,0,30,0,0,15,0,50,5,148.4222272,412.1,705.0,0.0,30.9,0.0,0.0,15.6,0.0,48.4,5.2,,339.0,620.0,1.83,22.0,1.92,188.44,,,,,0.0,
2,4,8,4,4,16,12,48,4,364.1664646,228.4,808.0,4.1,8.2,4.2,4.1,16.1,12.2,47.1,4.1,158.8,277.1,930.0,3.36,41.0,2.14,198.95,2.47,2.3,1.07,2.93648,0.0,19.9
2,4,16,0,4,12,8,52,4,372.3869586,195.2,780.0,3.7,16.2,0.0,4.2,12.4,8.3,51.2,4.0,152.1,267.5,949.0,3.55,42.3,1.99,192.46,2.45,2.32,1.06,2.95912,0.0,19.0
2,4,12,8,4,16,8,48,0,345.3217004,131.5,792.0,4.0,12.2,8.3,4.1,16.2,8.1,47.1,0.0,131.0,226.3,888.0,3.92,42.2,1.86,188.59,2.17,1.91,1.14,3.15257,0.0,24.0
2,0,12,8,4,16,20,36,4,156.6231368,133.0,764.0,0.0,11.8,8.1,4.1,15.9,20.5,35.4,4.0,144.9,271.2,906.0,3.34,39.1,1.91,183.07,2.29,2.1,1.09,3.00533,0.0,15.0
2,4,12,8,0,8,8,56,4,388.7773503,204.2,784.0,4.0,12.2,8.3,0.0,8.2,8.1,55.1,4.1,166.6,304.1,938.0,3.08,39.0,2.25,202.62,2.78,2.55,1.09,2.88349,0.0,26.0
2,4,0,8,4,24,12,44,4,349.4921837,180.6,840.0,4.1,0.0,8.4,4.1,23.9,12.1,43.3,4.1,135.8,241.5,864.0,3.58,41.8,1.84,180.09,2.13,1.89,1.13,3.167,0.0,28.0
2,4,12,0,0,16,8,52,8,400.648516,250.0,780.0,4.4,12.1,0.0,0.0,16.2,8.1,50.9,8.2,198.3,392.9,1069.0,2.72,33.7,2.42,197.69,2.88,2.7,1.07,2.62447,0.0,18.0
2,0,24,8,0,12,16,32,8,215.3815047,165.8,664.0,0.0,23.8,8.3,0.0,12.2,16.3,31.5,8.2,145.9,270.7,958.0,3.54,40.3,1.96,193.2,3.09,2.47,1.25,2.93871,0.0,20.0
2,4,16,8,0,12,0,48,12,447.1938071,54.1,728.0,4.0,16.2,8.2,0.0,12.2,0.0,47.1,12.2,191.0,444.3,1180.0,2.66,41.6,2.64,212.29,3.1,2.88,1.08,2.56335,0.0,26.0
2,4,0,4,0,20,8,52,12,407.4644681,293.4,832.0,4.3,0.0,4.2,0.0,20.1,8.1,51.0,12.3,160.8,304.8,951.0,3.12,40.0,2.18,181.2,2.55,2.38,1.07,2.91675,0.0,18.0
2,0,16,0,4,20,20,28,12,223.1039347,258.3,716.0,0.0,15.9,0.0,4.1,19.3,20.4,27.9,12.4,166.0,256.1,516.0,2.01,16.8,2.03,178.26,2.4,2.13,1.13,3.38255,0.0,20.0
2,0,0,8,4,16,12,52,8,195.7659695,296.4,864.0,0.0,0.0,8.2,4.2,16.0,12.4,51.1,8.2,149.5,264.8,946.0,3.57,43.1,1.93,187.31,2.32,2.11,1.1,2.991,0.0,23.0
2,4,20,4,4,16,0,52,0,345.9032675,36.5,768.0,4.2,20.6,4.2,4.4,16.7,0.0,50.0,0.0,143.6,210.1,761.0,3.62,35.7,1.9,195.54,2.24,1.99,1.13,3.20529,0.0,32.0
2,0,16,8,4,16,20,36,0,108.1028714,75.5,752.0,0.0,16.1,8.3,4.1,16.0,20.2,35.3,0.0,136.3,257.3,801.0,3.11,34.3,1.9,189.94,2.2,1.92,1.15,3.06898,0.0,21.0
2,0,20,8,4,0,20,44,4,169.3251243,136.9,732.0,0.0,18.6,8.0,4.2,0.0,20.5,44.8,3.9,161.2,319.3,1044.0,3.27,40.7,2.2,201.32,2.56,2.31,1.11,2.82163,0.0,19.0
2,4,12,0,12,20,8,44,0,322.7523249,118.0,824.0,3.9,12.2,0.0,11.9,20.3,8.4,43.2,0.0,132.7,212.6,792.0,3.73,39.0,1.79,170.41,2.23,1.98,1.13,3.24553,0.0,29.0
2,4,8,4,4,16,12,48,4,364.1664646,228.4,808.0,4.1,8.2,4.2,4.2,16.1,12.2,47.0,4.1,140.2,284.24,988.75,3.48,41.2,2.4207470100539794,177.9897028373588,2.687071331,2.409599116,1.115152854,3.060065,0.0,26.24
2,4,16,0,4,12,8,52,4,372.3869586,195.2,780.0,4.2,15.0,6.199999999999999,4.2,12.2,8.2,52.2,4.1,151.5,301.0,1079.93,3.59,44.8,2.227250230610556,167.0258746749279,2.459800013,2.100959156,1.170798588,2.8746,0.0,31.94
2,4,12,8,4,16,8,48,0,345.3217004,131.5,792.0,4.3,12.1,8.2,4.2,16.1,8.2,47.0,0.0,128.9,217.56,897.47,4.13,47.1,2.0337534511671334,156.062046512497,2.29609446,1.952169157,1.176175974,3.19644,0.0,39.92
2,0,12,8,4,16,20,36,4,156.6231368,133.0,764.0,4.199999999999999,12.149999999999999,8.2,2.1,12.15,8.1,51.1,2.05,143.2,265.355,1028.905,3.92,47.45,2.1660788821331955,168.16035387829498,2.4179182355,2.1146582875,1.1457466589999998,2.994125,0.0,40.57
2,4,12,8,0,8,8,56,4,388.7773503,204.2,784.0,4.1,12.2,8.2,0.0,8.2,8.0,55.2,4.1,157.8,313.15,1160.34,3.71,47.8,2.2984043130992573,180.258661244093,2.539742011,2.277147418,1.115317344,2.79181,0.0,38.83
2,4,0,8,4,24,12,44,4,349.4921837,180.6,840.0,4.2,0.0,8.3,4.1,24.0,11.9,43.4,4.1,118.6,230.46,976.41,4.24,49.0,2.0418324116159052,165.34177960370312,2.31177784,1.967530737,1.174964028,3.08996,0.0,46.4
2,4,12,0,0,16,8,52,8,400.648516,250.0,780.0,5.0,12.3,0.0,0.0,16.2,7.9,50.5,8.1,187.1,410.33,1259.2,3.07,40.6,2.664809471885685,251.52541919263442,3.039233799,2.67861407,1.134629222,2.56146,0.0,25.5
2,0,24,8,0,12,16,32,8,215.3815047,165.8,664.0,0.0,22.9,8.1,0.0,12.2,16.0,32.7,8.1,135.8,270.18,1049.08,3.88,45.4,2.3045836880322437,163.61493787974894,2.615294809,2.269412482,1.152410515,2.93526,0.0,33.91
2,4,16,8,0,12,0,48,12,447.1938071,54.1,728.0,4.9,16.1,8.2,0.0,12.0,0.0,46.6,12.1,200.9,317.945,1162.7199999999998,3.685,46.0,2.8181587103543957,217.16003638611258,3.40986689,2.957928758,1.152788714,2.66878,0.0,30.79
2,4,0,4,0,20,8,52,12,407.4644681,293.4,832.0,4.4,0.0,4.2,0.0,20.2,8.0,51.0,12.2,171.8,365.71,1276.36,3.49,46.6,2.343629058069018,221.137549008204,2.784928647,2.385855796,1.167266124,2.64668,0.0,35.98
2,0,16,0,4,20,20,28,12,223.1039347,258.3,716.0,0.0,16.1,0.0,4.0,20.1,20.3,27.4,12.0,154.4,348.78,1070.62,3.07,38.6,2.230353891170904,174.16813675419073,2.504361459,2.134115292,1.173489299,2.72187,0.0,17.69
