Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV",Yield Strength (MPa),UTS_True (Mpa),UTS/YS,Elong_T (%),Hardness (GPa) SRJT,Modulus (GPa) SRJT,Avg Hdyn (GPa) HSR,Avg Hqs (GPa) HSR,Avg HDYN/HQS,Depth of Penetration (mm) FE_Sim,Cracked,Grain Size(um)
2,4,0,12,4,4,16,52,8,572.3020155,218.7158454,832.0,4.1,20.75,12.3,4.1,4.1,16.1,51.2,8.2,162.2,307.14,1219.51,3.97,55.7,2.23,184.96,2.69,2.32,1.16,2.7817,0.0,52.45
2,4,12,4,0,28,0,40,12,555.0567741,22.07993065,744.0,4.0,11.1,4.1,0.0,28.0,0.0,40.8,12.0,139.2,261.94,1097.43,4.19,50.6,2.11,193.96,2.58,2.13,1.21,3.23734,0.0,33.47
2,0,44,12,0,4,4,12,24,894.0828426,100.7880386,460.0,4.0,20.433333333333334,2.7333333333333334,0.0,22.766666666666666,1.3,39.43333333333333,9.333333333333334,134.46666666666667,245.07666666666665,1031.8066666666666,4.213333333333334,48.833333333333336,1.99,192.50333333333333,2.46,2.0466666666666664,1.2,3.213626666666667,0.0,38.57
2,0,16,20,0,4,4,36,20,776.1545889,230.7397973,672.0,4.0,29.766666666666666,1.3666666666666667,0.0,17.53333333333333,2.6,38.06666666666667,6.666666666666667,129.73333333333332,228.21333333333334,966.1833333333333,4.236666666666666,47.06666666666666,1.8699999999999999,191.04666666666668,2.3400000000000003,1.9633333333333332,1.19,3.189913333333333,0.0,43.67
2,4,40,0,0,12,4,36,4,220.1686842,26.04232959,596.0,4.0,39.1,0.0,0.0,12.3,3.9,36.7,4.0,125.0,211.35,900.56,4.26,45.3,1.75,189.59,2.22,1.88,1.18,3.1662,0.0,48.77
2,4,8,12,4,4,24,40,4,413.9017845,216.9930622,764.0,3.8,8.0,12.3,4.2,4.1,24.0,39.4,4.1,143.2,282.39,1143.09,4.05,54.6,2.08,171.77,2.4,2.1,1.14,2.85082,0.0,40.11
2,0,4,8,0,4,28,40,16,557.042555,301.6946369,764.0,2.8499999999999996,11.05,10.275,3.1500000000000004,4.1,19.0,41.325,8.174999999999999,159.27499999999998,316.3775,1207.25,3.875,52.575,2.3200000000000003,182.57750000000001,2.7375,2.3875,1.1424999999999998,2.760615,0.0,41.32666666666667
2,4,0,4,4,8,16,52,12,699.392543,305.7714923,836.0,1.9,14.1,8.25,2.1,4.1,14.0,43.25,12.249999999999998,175.35,350.365,1271.4099999999999,3.7,50.55,2.56,193.385,3.075,2.675,1.145,2.6704100000000004,0.0,42.54333333333333
2,0,24,4,0,4,32,20,16,547.7037041,186.8227346,608.0,0.95,17.15,6.225,1.05,4.1,9.0,45.175,16.324999999999996,191.425,384.35249999999996,1335.57,3.525,48.525,2.8,204.1925,3.4125,2.9625,1.1475,2.5802050000000003,0.0,43.76
2,0,20,4,0,4,4,48,20,688.7459049,264.0820282,704.0,0.0,20.2,4.2,0.0,4.1,4.0,47.1,20.4,207.5,418.34,1399.73,3.35,46.5,3.04,215.0,3.75,3.25,1.15,2.49,0.0,44.97666666666667
2,0,40,4,0,28,4,4,20,722.0901867,55.48103783,496.0,0.0,39.7,4.2,0.0,27.9,3.9,4.2,20.1,223.3,531.3,1312.87,2.47,28.2,2.54,203.53,3.21,2.83,1.13,2.3,0.0,46.19333333333333
2,4,0,12,16,4,12,52,0,735.0220013,147.3681638,896.0,4.4,0.0,12.1,15.7,4.1,12.4,51.3,0.0,138.3,269.65,1062.73,3.94,51.5,1.99,182.28,2.33,2.01,1.16,2.96,0.0,47.41
2,4,0,8,24,4,16,44,0,1004.19632,124.1429198,908.0,4.3,0.0,8.3,23.5,4.1,16.2,43.7,0.0,139.6,261.17,1060.66,4.06,52.6,1.98,171.74,2.34,1.93,1.22,2.97,0.0,51.3
2,4,36,0,0,4,4,40,12,510.6148911,78.47070243,604.0,4.15,6.1,6.25,13.75,12.1,16.1,37.55,4.1,135.95,257.86,1064.96,4.13,52.2,2.0549999999999997,167.015,2.3499999999999996,1.975,1.1949999999999998,2.9662,0.0,38.55
2,4,12,4,4,20,16,32,8,510.6148911,178.6,604.0,4.0,12.2,4.2,4.0,20.1,16.0,31.4,8.2,132.3,254.55,1069.26,4.2,51.8,2.13,162.29,2.36,2.02,1.17,2.9624,0.0,25.8
2,4,8,0,0,4,8,52,24,510.6148911,351.42,604.0,4.0,8.2,8.2,4.014285714285714,4.1,8.0,51.2,24.4,199.9,449.1,1462.73,3.26,48.4,2.63,191.23,3.1,2.66,1.16,2.44255,0.0,14.7
2,4,4,12,0,0,4,52,24,510.6148911,327.28,604.0,4.0,4.1,12.2,4.0285714285714285,4.1,3.9,51.3,24.4,320.6,719.13,1161.35,1.61,13.8,3.43,206.62,3.79,3.36,1.13,2.22111,0.0,15.1
2,4,0,4,0,4,4,60,24,510.6148911,327.77,604.0,4.0,4.8999999999999995,4.2,4.042857142857143,4.1,4.0,59.3,24.5,200.0,445.73,1476.34,3.31,50.2,2.59,196.1,3.09,2.7,1.14,2.4463,0.0,15.5
2,0,24,8,0,16,40,4,8,510.6148911,15.73,604.0,4.042857142857143,5.699999999999999,4.2,4.057142857142857,4.125,10.025,53.4,23.35,201.95,437.9475,1362.6174999999998,3.0975,43.775000000000006,2.5774999999999997,187.285,3.0149999999999997,2.6425,1.1375,2.4736775,0.0,16.3
2,4,28,4,0,4,4,44,12,510.6148911,120.07,604.0,4.085714285714285,6.5,4.2,4.071428571428571,4.15,16.05,47.5,22.2,203.9,430.165,1248.895,2.885,37.35,2.565,178.47,2.94,2.585,1.1349999999999998,2.501055,0.0,17.1
2,4,32,4,0,0,4,44,12,510.6148911,106.94,604.0,4.128571428571428,7.3,4.2,4.085714285714285,4.175,22.075000000000003,41.6,21.049999999999997,205.85000000000002,422.38250000000005,1135.1725000000001,2.6725,30.925,2.5525,169.655,2.865,2.5275000000000003,1.1324999999999998,2.5284325,0.0,17.900000000000002
2,0,8,0,4,4,28,36,20,510.6148911,369.0,604.0,4.171428571428572,8.1,4.2,4.1,4.2,28.1,35.7,19.9,207.8,414.6,1021.45,2.46,24.5,2.54,160.84,2.79,2.47,1.13,2.55581,0.0,18.7
2,0,36,4,0,16,16,8,20,510.6148911,94.32,604.0,4.214285714285714,9.466666666666667,4.2,4.033333333333333,6.866666666666667,24.033333333333335,35.5,17.366666666666667,190.43333333333334,373.08333333333337,1046.9966666666667,2.9033333333333333,32.46666666666667,2.3866666666666667,167.17000000000002,2.73,2.3666666666666667,1.1566666666666665,2.6572233333333335,0.0,19.5
2,4,4,16,0,8,0,52,16,510.6148911,193.24,604.0,4.257142857142857,10.833333333333332,4.2,3.9666666666666663,9.533333333333333,19.96666666666667,35.300000000000004,14.833333333333332,173.06666666666666,331.56666666666666,1072.5433333333333,3.3466666666666667,40.43333333333333,2.2333333333333334,173.5,2.67,2.2633333333333336,1.1833333333333333,2.758636666666667,0.0,20.3
2,4,12,4,4,12,16,36,12,510.6148911,234.32,604.0,4.3,12.2,4.2,3.9,12.2,15.9,35.1,12.3,155.7,290.05,1098.09,3.79,48.4,2.08,179.83,2.61,2.16,1.21,2.86005,0.0,21.1
2,4,4,4,8,28,16,32,4,510.6148911,140.16,604.0,4.1,4.3,4.2,7.8,28.0,16.1,31.3,4.1,133.1,252.13,971.81,3.85,46.3,1.86,178.42,2.18,1.81,1.2,3.04386,0.0,21.0
2,4,28,0,20,4,8,36,0,510.6148911,146.45,604.0,4.3,28.0,4.15,19.9,4.1,8.4,35.4,14.299999999999999,136.2,266.57,920.36,3.45,44.6,1.81,168.2,2.13,1.84,1.16,2.77553,0.0,19.8
2,0,12,4,0,4,16,40,24,510.6148911,383.92,604.0,4.35,12.1,4.1,19.799999999999997,4.3,16.1,39.0,24.5,198.1,406.38,1293.44,3.18,39.6,2.54,192.43,3.14,2.69,1.17,2.5072,0.0,20.1
2,4,16,0,20,4,12,44,0,510.6148911,246.43,604.0,4.4,16.2,4.1,19.7,4.2,12.3,43.3,24.5,119.7,218.75,870.7,3.98,44.6,1.79,173.17,2.14,1.79,1.2,3.21961,0.0,25.0
2,4,28,4,0,8,0,40,16,510.6148911,40.81,604.0,4.4,16.2,4.1,19.7,4.2,12.3,43.3,24.5,119.7,218.75,870.7,3.98,44.6,1.79,173.17,2.14,1.79,1.2,3.21961,0.0,25.0
