Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.008260156152291582,0.8267134291616425,26.60333081901152,0.02311057984605464,0.6358598495758456,47.377129686935085
2,0.011009020717006225,0.7690460793759699,28.351267719589956,0.03084547976779611,0.5139854682413783,47.693743788201154
3,0.010286017678113784,0.7842136760903038,25.877932015726575,0.024428252731704528,0.6150980337327743,43.50021684639251
4,0.009112279948075607,0.8088370588147922,26.742928398737607,0.02326179483162209,0.6334772417850542,43.48161321289039
5,0.008451778710273717,0.8226934547984719,23.308715558565506,0.026778808450364105,0.578061675550737,37.75920348368738
6,0.009260002766384381,0.8057380398438005,27.67509251816993,0.02943719906691342,0.5361749394565023,49.94930547461762
7,0.008697545283163636,0.8175376144175399,27.054041350558883,0.03111442635411007,0.5097478311483761,48.0804248496652
8,0.0077965118466187654,0.8364400409032964,26.633838595683763,0.02906279450385509,0.5420742173984543,48.758727215117645
9,0.008991602912615214,0.8113686949325996,27.203756165461694,0.030455803001106025,0.520125381535832,46.819494042903806
10,0.010176999776450635,0.7865007198205799,22.62731905838768,0.025052202362036667,0.60526681730464,39.43716621672014
