Nb,Cr,V,W,Zr,PROP LT (K),PROP ST (K),PROP 500C CTE (1/K),PROP 1000C CTE (1/K),PROP 1500C CTE (1/K),EQ 1273K THCD (W/mK),EQ 1273K Density (g/cc),EQ 1273K MAX BCC,EQ 1273K SUM BCC,EQ 1523K THCD (W/mK),EQ 1523K Density (g/cc),EQ 1523K MAX BCC,EQ 1523K SUM BCC,EQ 1773K MAX BCC,EQ 1773K SUM BCC,EQ 2023K MAX BCC,EQ 2023K SUM BCC,EQ 2273K MAX BCC,EQ 2273K SUM BCC,EQ 2523K MAX BCC,EQ 2523K SUM BCC,EQ 2773K MAX BCC,EQ 2773K SUM BCC,EQ 3023K MAX BCC,EQ 3023K SUM BCC,EQ 2/3*ST THCD (W/mK),EQ 2/3*ST Density (g/cc),Pugh_Ratio_PRIOR,YS 1000C PRIOR,YS 1500C PRIOR,SCHEIL ST,SCHEIL LT,Kou Criteria,SCHEIL BCC_B2,SCHEIL BCC_B2#2,SCHEIL MAX BCC,1500 Min Creep CB [1/s]
0.05,0.05,0.2,0.0,0.7,1721.673375,1543.608358,8.33e-06,8.88e-06,1.99e-05,10.8121961,6.849783893,0.745263044,0.745263044,11.08023623,6.669010103,0.818490158,0.818490158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.04664048,6.98514536,2.841269841,218.8815282,107.9825127,1721.658528,1513.116653,10.50186329,0.792283559,0.003946619,0.792283559,1.5e-10
0.05,0.05,0.25,0.0,0.65,1659.094991,1540.068852,8.47e-06,8.98e-06,2.08e-05,9.520554097,6.995628696,0.665145076,0.665145076,9.972640832,6.810039603,0.733784411,0.733784411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.635158608,7.137605767,2.871794872,312.077527,164.3388889,1659.011263,1512.788138,4.671848745,0.733100079,0.015772491,0.733100079,1.15e-10
0.15,0.35,0.2,0.25,0.05,2510.923177,1868.746433,7.97e-06,8.52e-06,9.89e-06,31.17571003,10.94169131,0.461626085,0.716730289,27.61221105,10.76628491,0.491520649,0.753013166,0.896419472,0.896419472,0.732479764,0.732479764,0.337825573,0.337825573,0.0,0.0,0.0,0.0,0.0,0.0,31.32547379,10.95454942,2.099756691,1710.871401,1221.858871,2503.726673,1588.834173,340.6316657,0.880072368,0.0,0.880072368,2.54e-14
0.15,0.35,0.25,0.05,0.2,1924.278174,1640.030036,9.48e-06,9.65e-06,1.54e-05,3.027122351,9.493992551,0.148242945,0.148242945,1.035454256,9.507794575,0.119491393,0.119491393,0.17480546,0.17480546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.187386271,9.475348344,2.270833333,1499.507229,1017.705694,1880.033958,1533.013958,219.8124536,0.6102179,0.0,0.6102179,4.02e-14
0.15,0.35,0.25,0.1,0.15,2097.172336,1786.674804,9.18e-06,9.41e-06,1e-05,10.79508315,9.789054527,0.294729168,0.294729168,7.980560239,9.754930835,0.291267333,0.291267333,0.356389669,0.356389669,0.110438317,0.110438317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23703631,9.798242788,2.230769231,1634.032536,1131.702079,2073.733735,1537.31936,297.9339165,0.69143439,0.0,0.69143439,4.06e-14
0.15,0.35,0.25,0.15,0.1,2257.678358,1817.274305,8.83e-06,9.19e-06,1.01e-05,18.15107692,10.07113806,0.458464793,0.458464793,16.20067671,9.911228947,0.50620511,0.50620511,0.627489311,0.627489311,0.388276747,0.388276747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12200777,10.10270519,2.191919192,1653.224185,1155.940376,2241.68269,1545.85394,354.0705351,0.792401443,0.0,0.792401443,4.65e-14
0.15,0.35,0.25,0.2,0.05,2407.213136,1839.667172,8.33e-06,8.88e-06,1.02e-05,27.04048181,10.29754604,0.411181296,0.672253015,24.37001909,10.08677222,0.728435852,0.728435852,0.891332946,0.891332946,0.725289487,0.725289487,0.218412146,0.218412146,0.0,0.0,0.0,0.0,0.0,0.0,27.18786425,10.32547935,2.154228856,1518.715507,1058.914602,2394.897676,1573.634551,312.9920726,0.895407117,0.0,0.895407117,4.91e-14
0.15,0.35,0.3,0.05,0.15,1982.77475,1759.979162,9.57e-06,9.77e-06,1.14e-05,7.108791042,9.218028811,0.20878191,0.20878191,5.791039298,9.120676279,0.221767516,0.221767516,0.292921595,0.292921595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38274267,9.238692573,2.291338583,1382.712983,924.7452117,1930.24534,1533.703465,255.918237,0.733596817,0.0,0.733596817,7.38e-14
0.15,0.35,0.3,0.1,0.1,2143.253949,1795.030567,9.16e-06,9.52e-06,1.03e-05,15.22819376,9.417182937,0.415911032,0.415911032,13.6979787,9.254132192,0.460351848,0.460351848,0.566174503,0.566174503,0.294038774,0.294038774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.20587663,9.454788514,2.250645995,1425.838328,966.9487415,2111.408657,1540.898657,351.7076493,0.814768622,0.0,0.814768622,6.21e-14
0.15,0.35,0.3,0.15,0.05,2300.310493,1818.263399,8.7e-06,9.98e-06,1.04e-05,0.175068382,8.89824876,0.026679277,0.026679277,0.390733683,8.815804208,0.028892748,0.028892748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066274007,9.008306131,2.211195929,1318.978054,893.6426334,2278.437698,1562.078948,352.5462825,0.908220475,0.0,0.908220475,6.68e-14
0.15,0.35,0.35,0.05,0.1,2047.328313,1804.053692,9.49e-06,9.86e-06,1.06e-05,12.56764765,8.766413103,0.365569466,0.365569466,11.62158775,8.619358321,0.402638957,0.402638957,0.488853075,0.488853075,0.104219371,0.104219371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56596458,8.797578254,2.312169312,1190.107046,777.0079599,1990.531021,1537.084771,317.5635224,0.839838967,0.0,0.839838967,1.69e-13
0.15,0.35,0.35,0.1,0.05,2199.646496,1828.454954,9.03e-06,9.58e-06,1.08e-05,20.80309225,8.968880732,0.592467088,0.592467088,19.85388331,8.738906953,0.670268017,0.670268017,0.81371083,0.81371083,0.651733081,0.651733081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63521812,9.011404085,2.270833333,1113.916555,728.7965929,2160.532892,1551.895392,529.9822876,0.918790705,0.0,0.918790705,1.52e-13
