Ni,Ti,Hf,Zr,Cu,Pd,Co,Nb,Homogenization_temp,Homogenization_time,Aging_temp, Aging_time,Applied Stress - (MPa) ,AM,BM,Tm,a,X,Smix,Hmix,OMEGA,Delta,VEC,CV,Ionization energy,Thermal conductivity,Electrical conductivity,Heat of fusion,Heat of vaporization,Boiling point,Density,Vicker Hardness,Ms
45.7,29.3,20,0,0,5,0,0,1050,4,400,1.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,78
45.7,29.3,20,0,0,5,0,0,20,0,350,10,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,160
45.7,29.3,20,0,0,5,0,0,1050,4,20,0,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,180
45.7,29.3,20,0,0,5,0,0,20,0,450,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,125
45.7,29.3,20,0,0,5,0,0,20,0,450,5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,122
45.7,29.3,20,0,0,5,0,0,20,0,550,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,192
45.7,29.3,20,0,0,5,0,0,20,0,550,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,190
45.7,29.3,20,0,0,5,0,0,20,0,500,10,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,165
45.7,29.3,20,0,0,5,0,0,20,0,500,3,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,188
45.7,29.3,20,0,0,5,0,0,20,0,500,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,173
45.7,29.3,20,0,0,5,0,0,20,0,500,0.5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,150
45.7,29.3,20,0,0,5,0,0,20,0,20,0,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,66
45.7,29.3,20,0,0,5,0,0,1050,4,400,1,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,89
45.7,29.3,20,0,0,5,0,0,1050,4,500,10,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,152
45.7,29.3,20,0,0,5,0,0,20,0,400,5,0,81.866732,133.457,2224.009,1.39046,1.69409,9.887173179,-41.11034,0.534881544,0.100871351,7.042,0.195926771,7.2738869,64.2855,8.2905,19.2745,442.271,3636.082,8.6488,950.826,-43
45.3,29.7,20,0,5,0,0,0,1050,72,20,0,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,67
45.3,29.7,20,0,5,0,0,0,1050,72,400,24,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,36
45.3,29.7,20,0,5,0,0,0,1050,72,400,48,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,37
45.3,29.7,20,0,5,0,0,0,1050,72,400,5,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,44
45.3,29.7,20,0,5,0,0,0,1050,72,450,24,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,70
45.3,29.7,20,0,5,0,0,0,1050,72,450,48,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,71
45.3,29.7,20,0,5,0,0,0,1050,72,450,5,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,56
45.3,29.7,20,0,5,0,0,0,1050,72,500,24,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,119
45.3,29.7,20,0,5,0,0,0,1050,72,500,48,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,117
45.3,29.7,20,0,5,0,0,0,1050,72,500,5,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,68
45.3,29.7,20,0,5,0,0,0,1050,72,550,24,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,126
45.3,29.7,20,0,5,0,0,0,1050,72,550,48,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,130
45.3,29.7,20,0,5,0,0,0,1050,72,550,5,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,87
45.3,29.7,20,0,5,0,0,0,1050,72,600,24,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,127
45.3,29.7,20,0,5,0,0,0,1050,72,600,48,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,142
45.3,29.7,20,0,5,0,0,0,1050,72,600,5,0,79.679728,131.253,2201.3495,1.38684,1.67761,9.901583885,-34.90874,0.624395115,0.102468746,7.068,0.201551272,7.2401151,80.8245,10.6945,19.1005,438.459,3617.528,8.4782,947.554,98
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-25,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,4
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-50,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,-2
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-500,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,1
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-100,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,14
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-600,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,-5
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-200,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,21
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-1000,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,10
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-300,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,33
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-500,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,-10
45.3,39.7,10,0,0,5,0,0,900,72,20,0,-700,68.761128,135.153,2168.361,1.37834,1.71661,9.191253987,-39.54914,0.503928952,0.090945685,7.018,0.226987515,7.2709401,63.9695,8.1645,18.6005,421.959,3505.978,7.7502,873.154,-18
15,50,0,0,10,25,0,0,950,2,700,1,0,65.69705,135.3,2095.477,1.393,1.7965,10.04309324,-45.96,0.457899715,0.061924789,7.1,0.239864865,7.416885,88.375,11.75,17.415,394.2,3350.4,7.486,732.85,182.861387
15,50,0,0,10,25,0,0,950,2,900,1,0,65.69705,135.3,2095.477,1.393,1.7965,10.04309324,-45.96,0.457899715,0.061924789,7.1,0.239864865,7.416885,88.375,11.75,17.415,394.2,3350.4,7.486,732.85,182.3581695
15,50,0,0,10,25,0,0,950,2,600,1,0,65.69705,135.3,2095.477,1.393,1.7965,10.04309324,-45.96,0.457899715,0.061924789,7.1,0.239864865,7.416885,88.375,11.75,17.415,394.2,3350.4,7.486,732.85,102.4758669
17.5,50,0,0,7.5,25,0,0,950,2,700,1,0,65.575725,136.1,2104.73275,1.39225,1.79675,9.913919941,-46.94,0.444528163,0.062750097,7.075,0.239222316,7.41472,80.7,10.625,17.5175,396.15,3359.175,7.4845,739.575,180.7140774
17.5,50,0,0,7.5,25,0,0,950,2,900,1,0,65.575725,136.1,2104.73275,1.39225,1.79675,9.913919941,-46.94,0.444528163,0.062750097,7.075,0.239222316,7.41472,80.7,10.625,17.5175,396.15,3359.175,7.4845,739.575,176.5963712
17.5,50,0,0,7.5,25,0,0,950,2,600,1,0,65.575725,136.1,2104.73275,1.39225,1.79675,9.913919941,-46.94,0.444528163,0.062750097,7.075,0.239222316,7.41472,80.7,10.625,17.5175,396.15,3359.175,7.4845,739.575,159.3235393
20,50,0,0,5,25,0,0,950,2,900,1,600,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,248.8206115
20,50,0,0,5,25,0,0,950,2,900,1,500,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,237.1098815
20,50,0,0,5,25,0,0,950,2,900,1,400,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,223.6031653
20,50,0,0,5,25,0,0,950,2,900,1,300,65.4544,136.9,2113.9885,1.3915,1.797,9.684324926,-47.94,0.427045297,0.063561848,7.05,0.23857868,7.412555,73.025,9.5,17.62,398.1,3367.95,7.483,746.3,214.5557315
