,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.0013964187395275555,0.9217757125049261,25.283426416351716,0.0021003695644092307,0.9231624013644177,24.33860649471188
max,10.0,0.0023647428520377468,0.9538072983917962,31.299542879512643,0.0027984014429265976,0.9423287341477038,31.394579616988516
mean,5.5,0.001844812302026729,0.9389747059542504,27.66447786754433,0.0024250017785084617,0.9334150881680724,26.640351621832572
