number,values_0,values_1,values_2,values_3,values_4,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_r2_feature_2,user_attrs_r2_feature_3,user_attrs_r2_feature_4,user_attrs_r2_feature_5,user_attrs_relative_deterioration,state
10,-1.0992517551708847,-0.055427871894587755,-0.003986244107830439,-13.589179795442094,-0.32918108095929033,2025-01-09 15:38:11.547867,2025-01-09 15:39:01.486193,0 days 00:00:49.938326,0.0641811895247005,88,0.2,240,100,0.0002031288785066526,7816,0.0028429686558483777,2,5,adam,"{'neurons_per_layer_encoder': [240, 480, 960, 1920, 3840], 'neurons_per_layer_decoder': [3840, 1920]}",240,"[3840, 1920]","[240, 480, 960, 1920, 3840]",[-1.0992517551708847],[-0.055427871894587755],[-0.003986244107830439],[-13.589179795442094],[-0.32918108095929033],0.617080805642762,COMPLETE
11,-2.6202865778012407,-0.38035861270305693,-0.5746938586306658,-30.993979114192957,-0.04148795059616717,2025-01-09 15:38:12.104608,2025-01-09 15:38:19.924542,0 days 00:00:07.819934,0.05169903642362457,32,0.2,104,100,0.00017196188575593937,632,0.0020476868262814772,5,3,adadelta,"{'neurons_per_layer_encoder': [104, 208, 416], 'neurons_per_layer_decoder': [416, 208, 104, 52, 26]}",104,"[416, 208, 104, 52, 26]","[104, 208, 416]",[-2.6202865778012407],[-0.38035861270305693],[-0.5746938586306658],[-30.993979114192957],[-0.04148795059616717],0.76360362563243,COMPLETE
12,0.0024945111191506664,-0.21810304981206063,0.0847873760307194,-9.639152094014248,-0.22892303264518943,2025-01-09 15:38:14.523077,2025-01-09 15:38:25.624698,0 days 00:00:11.101621,0.07541190746984117,32,0.30000000000000004,108,100,0.0005289451017820784,132,0.005175469115516124,3,1,adadelta,"{'neurons_per_layer_encoder': [108], 'neurons_per_layer_decoder': [108, 54, 27]}",108,"[108, 54, 27]",[108],[0.0024945111191506664],[-0.21810304981206063],[0.0847873760307194],[-9.639152094014248],[-0.22892303264518943],0.7813326896055197,COMPLETE
13,-0.06608875240470491,-0.03265104977570399,-0.2275923321740938,-3.845780539522787,0.09825344813369918,2025-01-09 15:38:16.990176,2025-01-09 15:38:35.736146,0 days 00:00:18.745970,0.05802942076260987,104,0.4,152,100,3.151337683762006e-06,1288,0.00033587531794672046,5,3,adam,"{'neurons_per_layer_encoder': [152, 304, 608], 'neurons_per_layer_decoder': [608, 304, 152, 76, 38]}",152,"[608, 304, 152, 76, 38]","[152, 304, 608]",[-0.06608875240470491],[-0.03265104977570399],[-0.2275923321740938],[-3.845780539522787],[0.09825344813369918],0.3425757313032785,COMPLETE
14,-1.48057092346169,-0.19091263383623414,-0.3568782878447705,-16.464762226678513,-0.6660904703095689,2025-01-09 15:38:17.930531,2025-01-09 15:38:25.893423,0 days 00:00:07.962892,0.05039607964027614,96,0.2,92,100,0.0006123694309234587,568,0.004347808509093948,4,3,adadelta,"{'neurons_per_layer_encoder': [92, 184, 368], 'neurons_per_layer_decoder': [368, 184, 92, 46]}",92,"[368, 184, 92, 46]","[92, 184, 368]",[-1.48057092346169],[-0.19091263383623414],[-0.3568782878447705],[-16.464762226678513],[-0.6660904703095689],0.9262287826951909,COMPLETE
15,0.363873043087531,-0.1974141535096463,-0.503151245396678,-0.016412423773290108,0.17348137913464656,2025-01-09 15:38:19.934034,2025-01-09 15:38:38.179832,0 days 00:00:18.245798,0.19941700090776043,80,0.4,176,100,1.2936832470597098e-05,3512,0.00013719203312201008,1,4,adam,"{'neurons_per_layer_encoder': [176, 352, 704, 1408], 'neurons_per_layer_decoder': [1408]}",176,[1408],"[176, 352, 704, 1408]",[0.363873043087531],[-0.1974141535096463],[-0.503151245396678],[-0.016412423773290108],[0.17348137913464656],0.5584570997303964,COMPLETE
16,0.42852093062814356,0.13525642949336336,-0.08343677044894626,-1.317931065966126,0.2434354028759722,2025-01-09 15:38:25.327004,2025-01-09 15:38:37.702990,0 days 00:00:12.375986,0.15238035061355878,80,0.4,184,100,8.250073000949865e-06,304,0.00015392071411865155,1,1,adam,"{'neurons_per_layer_encoder': [184], 'neurons_per_layer_decoder': [184]}",184,[184],[184],[0.42852093062814356],[0.13525642949336336],[-0.08343677044894626],[-1.317931065966126],[0.2434354028759722],0.1605697695189381,COMPLETE
17,0.1759819024088658,0.03594626280790847,-0.22739452463736387,0.036643402999824826,0.009002547143639794,2025-01-09 15:38:25.639968,2025-01-09 15:38:44.044219,0 days 00:00:18.404251,0.16921699860799502,80,0.4,172,100,1.2659411960066712e-05,3416,0.00018426008641101783,1,4,adam,"{'neurons_per_layer_encoder': [172, 344, 688, 1376], 'neurons_per_layer_decoder': [1376]}",172,[1376],"[172, 344, 688, 1376]",[0.1759819024088658],[0.03594626280790847],[-0.22739452463736387],[0.036643402999824826],[0.009002547143639794],0.5902755861455751,COMPLETE
18,0.19086425145481511,0.10752088641179636,-0.11666056956759774,-0.04966629417922985,0.12049474460873755,2025-01-09 15:38:25.905138,2025-01-09 15:38:46.922418,0 days 00:00:21.017280,0.17754779195705114,80,0.4,180,100,1.4720739922898528e-05,3592,0.00017708593445868199,1,4,adam,"{'neurons_per_layer_encoder': [180, 360, 720, 1440], 'neurons_per_layer_decoder': [1440]}",180,[1440],"[180, 360, 720, 1440]",[0.19086425145481511],[0.10752088641179636],[-0.11666056956759774],[-0.04966629417922985],[0.12049474460873755],0.6528348876790229,COMPLETE
19,0.23481081404945858,0.10624710627768408,-0.2398749093242063,-3.213812479471925,0.0773400476993763,2025-01-09 15:38:35.787921,2025-01-09 15:38:53.839922,0 days 00:00:18.052001,0.16328217596713876,80,0.30000000000000004,164,100,2.6038851350206096e-05,3144,1.0138962456529044e-05,1,4,adam,"{'neurons_per_layer_encoder': [164, 328, 656, 1312], 'neurons_per_layer_decoder': [1312]}",164,[1312],"[164, 328, 656, 1312]",[0.23481081404945858],[0.10624710627768408],[-0.2398749093242063],[-3.213812479471925],[0.0773400476993763],0.741820880610638,COMPLETE
20,0.456899961798915,0.10983665313825985,-0.35218762839467677,0.12817521782728714,0.2164318055848834,2025-01-09 15:38:37.713477,2025-01-09 15:38:50.252252,0 days 00:00:12.538775,0.16874686598982128,80,0.4,176,100,1.2488216172590604e-05,712,0.0001529768056176503,1,2,adam,"{'neurons_per_layer_encoder': [176, 352], 'neurons_per_layer_decoder': [352]}",176,[352],"[176, 352]",[0.456899961798915],[0.10983665313825985],[-0.35218762839467677],[0.12817521782728714],[0.2164318055848834],0.22668782576412655,COMPLETE
21,0.28615990717809614,0.022716340959630155,-0.2041049246714055,-0.25348718100553436,0.06219592988514833,2025-01-09 15:38:38.189386,2025-01-09 15:38:50.719896,0 days 00:00:12.530510,0.1484635763847003,72,0.30000000000000004,192,100,1.2981790143151407e-05,712,0.00015793617201367927,2,2,adam,"{'neurons_per_layer_encoder': [192, 384], 'neurons_per_layer_decoder': [384, 192]}",192,"[384, 192]","[192, 384]",[0.28615990717809614],[0.022716340959630155],[-0.2041049246714055],[-0.25348718100553436],[0.06219592988514833],0.1855250942049708,COMPLETE
22,-0.8351057485574358,-0.34968664304189945,-0.07795065041792304,-10.732584692607771,-0.6756879023227516,2025-01-09 15:38:44.056020,2025-01-09 15:38:53.964991,0 days 00:00:09.908971,0.11899382100397482,64,0.30000000000000004,208,100,6.801857256978882e-06,728,0.0001070428248435442,2,2,sgd,"{'neurons_per_layer_encoder': [208, 416], 'neurons_per_layer_decoder': [416, 208]}",208,"[416, 208]","[208, 416]",[-0.8351057485574358],[-0.34968664304189945],[-0.07795065041792304],[-10.732584692607771],[-0.6756879023227516],0.5166055339823518,COMPLETE
23,-5.208683886459929,-0.1076173346014726,-0.05709029731962967,-23.005109002766893,-0.1353926560944898,2025-01-09 15:38:46.933070,2025-01-09 15:38:51.348297,0 days 00:00:04.415227,0.12646029634180986,64,0.30000000000000004,204,100,6.567150753287284e-06,768,0.0001094835003209858,2,2,sgd,"{'neurons_per_layer_encoder': [204, 408], 'neurons_per_layer_decoder': [408, 204]}",204,"[408, 204]","[204, 408]",[-5.208683886459929],[-0.1076173346014726],[-0.05709029731962967],[-23.005109002766893],[-0.1353926560944898],0.3114027195194412,COMPLETE
24,-3.6813041085364455,-0.1985611497955162,-0.023646237689828542,-21.33030605207167,0.031177211003695415,2025-01-09 15:38:50.262989,2025-01-09 15:38:53.823683,0 days 00:00:03.560694,0.11962872498861692,64,0.30000000000000004,60,100,5.160097773596435e-06,192,1.184547564997091e-05,2,2,sgd,"{'neurons_per_layer_encoder': [60, 120], 'neurons_per_layer_decoder': [120, 60]}",60,"[120, 60]","[60, 120]",[-3.6813041085364455],[-0.1985611497955162],[-0.023646237689828542],[-21.33030605207167],[0.031177211003695415],0.34297483135329815,COMPLETE
25,-0.47566093641918905,0.10850802172349061,-0.025738307439201025,-33.46318767496019,0.028221441701756667,2025-01-09 15:38:50.731445,2025-01-09 15:38:54.187500,0 days 00:00:03.456055,0.114424184351529,56,0.30000000000000004,52,100,2.99057328873406e-05,176,0.009375120222736719,2,2,sgd,"{'neurons_per_layer_encoder': [52, 104], 'neurons_per_layer_decoder': [104, 52]}",52,"[104, 52]","[52, 104]",[-0.47566093641918905],[0.10850802172349061],[-0.025738307439201025],[-33.46318767496019],[0.028221441701756667],0.34273089270959917,COMPLETE
26,0.3783353183727117,0.1528508457371902,-0.022353164043726226,-0.6100375560978384,0.10363589285753627,2025-01-09 15:38:51.357258,2025-01-09 15:38:58.142092,0 days 00:00:06.784834,0.11042679200658115,88,0.4,60,100,2.5153116784274828e-05,82,0.00039465789703433714,2,1,adam,"{'neurons_per_layer_encoder': [60], 'neurons_per_layer_decoder': [60, 30]}",60,"[60, 30]",[60],[0.3783353183727117],[0.1528508457371902],[-0.022353164043726226],[-0.6100375560978384],[0.10363589285753627],0.28018625073570474,COMPLETE
27,-0.12931529291148403,0.11712519126341103,-0.2188085162500939,0.06658428805449568,0.13202676331500163,2025-01-09 15:38:53.833025,2025-01-09 15:39:00.957622,0 days 00:00:07.124597,0.10096868744945013,88,0.4,144,100,3.107784915663988e-05,248,0.008635371229133743,2,1,adam,"{'neurons_per_layer_encoder': [144], 'neurons_per_layer_decoder': [144, 72]}",144,"[144, 72]",[144],[-0.12931529291148403],[0.11712519126341103],[-0.2188085162500939],[0.06658428805449568],[0.13202676331500163],-0.8497106898845725,COMPLETE
28,0.5132853435546454,0.10376118682533642,-0.15274613273571402,0.19263632779022233,0.11832725901566032,2025-01-09 15:38:53.855919,2025-01-09 15:39:00.755044,0 days 00:00:06.899125,0.10415434125057998,48,0.4,140,100,5.5564520686043014e-05,244,0.0006268627793186005,2,1,adam,"{'neurons_per_layer_encoder': [140], 'neurons_per_layer_decoder': [140, 70]}",140,"[140, 70]",[140],[0.5132853435546454],[0.10376118682533642],[-0.15274613273571402],[0.19263632779022233],[0.11832725901566032],0.1966916065700535,COMPLETE
29,0.36313494503683563,0.054274586555459026,-0.19085295904074173,-0.243119784595764,0.21477773655422072,2025-01-09 15:38:53.987483,2025-01-09 15:39:00.276762,0 days 00:00:06.289279,0.09929359260091937,88,0.4,140,100,1.072473275708203e-06,228,0.0004264553060701532,1,1,adam,"{'neurons_per_layer_encoder': [140], 'neurons_per_layer_decoder': [140]}",140,[140],[140],[0.36313494503683563],[0.054274586555459026],[-0.19085295904074173],[-0.243119784595764],[0.21477773655422072],-0.16020504764863513,COMPLETE
30,0.4011975507141977,0.1159584106791045,-0.2806988471179648,0.4325849619899741,0.22290053002026333,2025-01-09 15:38:54.204347,2025-01-09 15:39:00.085253,0 days 00:00:05.880906,0.09482026727680846,88,0.4,140,100,8.526624995214361e-05,244,0.0004629061522253829,1,1,adam,"{'neurons_per_layer_encoder': [140], 'neurons_per_layer_decoder': [140]}",140,[140],[140],[0.4011975507141977],[0.1159584106791045],[-0.2806988471179648],[0.4325849619899741],[0.22290053002026333],0.23561145263238786,COMPLETE
