number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_model_summary,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
13,0.07574251476482141,2025-05-06 20:21:26.601788,2025-05-06 20:21:40.578560,0 days 00:00:13.976772,0.022803686915113204,128,0.1,56,180,0.00018823388010975685,935,6.686959213985896e-05,2,5,sgd,"{'neurons_per_layer_encoder': [56, 112, 224, 448, 896], 'neurons_per_layer_decoder': [896, 448]}",56,,"[896, 448]","[56, 112, 224, 448, 896]",[0.07574251476482141],0.9430832626293973,COMPLETE
14,-1.3634491635882888,2025-05-06 20:21:27.894705,2025-05-06 20:21:38.420403,0 days 00:00:10.525698,0.12723746199142408,16,0.30000000000000004,200,160,1.0676189032837348e-05,3023,0.00010461451600850093,5,4,adadelta,"{'neurons_per_layer_encoder': [200, 400, 800, 1600], 'neurons_per_layer_decoder': [1600, 800, 400, 200, 100]}",200,,"[1600, 800, 400, 200, 100]","[200, 400, 800, 1600]",[-1.3634491635882888],0.6321628324926263,COMPLETE
15,-0.6833828139577718,2025-05-06 20:21:31.453833,2025-05-06 20:21:38.625068,0 days 00:00:07.171235,0.09534445078153246,16,0.30000000000000004,172,160,4.5781924119544154e-05,429,0.00012729228895653777,5,2,adadelta,"{'neurons_per_layer_encoder': [172, 344], 'neurons_per_layer_decoder': [344, 172, 86, 43, 21]}",172,,"[344, 172, 86, 43, 21]","[172, 344]",[-0.6833828139577718],0.5949834298792392,COMPLETE
16,-1.6951383136366496,2025-05-06 20:21:31.534472,2025-05-06 20:21:37.740960,0 days 00:00:06.206488,0.08367775051662954,16,0.30000000000000004,168,160,5.745342289755628e-05,434,0.0001386986290661411,5,2,adadelta,"{'neurons_per_layer_encoder': [168, 336], 'neurons_per_layer_decoder': [336, 168, 84, 42, 21]}",168,,"[336, 168, 84, 42, 21]","[168, 336]",[-1.6951383136366496],0.35378042886749417,COMPLETE
17,-0.2665075433703372,2025-05-06 20:21:35.491428,2025-05-06 20:21:43.790799,0 days 00:00:08.299371,0.08050711814272409,16,0.30000000000000004,160,160,2.6519079638855607e-05,405,0.00014361645956970591,5,2,adadelta,"{'neurons_per_layer_encoder': [160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40, 20]}",160,,"[320, 160, 80, 40, 20]","[160, 320]",[-0.2665075433703372],0.6041967349538925,COMPLETE
18,0.3784501304236837,2025-05-06 20:21:37.752116,2025-05-06 20:21:44.268634,0 days 00:00:06.516518,0.07069592759354938,16,0.30000000000000004,140,100,1.314220712090426e-05,390,0.008674754683379828,5,2,sgd,"{'neurons_per_layer_encoder': [140, 280], 'neurons_per_layer_decoder': [280, 140, 70, 35, 17]}",140,,"[280, 140, 70, 35, 17]","[140, 280]",[0.3784501304236837],0.5922267317336103,COMPLETE
19,0.08538970508992982,2025-05-06 20:21:38.429419,2025-05-06 20:21:43.883128,0 days 00:00:05.453709,0.06624817934362834,32,0.30000000000000004,140,100,2.1859656132201677e-05,380,0.008381895044803989,5,2,sgd,"{'neurons_per_layer_encoder': [140, 280], 'neurons_per_layer_decoder': [280, 140, 70, 35, 17]}",140,,"[280, 140, 70, 35, 17]","[140, 280]",[0.08538970508992982],0.5263847242171757,COMPLETE
20,0.07118309832544456,2025-05-06 20:21:38.634051,2025-05-06 20:21:44.259111,0 days 00:00:05.625060,0.06708924304733328,40,0.4,120,100,1.1087088353897224e-06,598,0.006813386002350039,5,3,sgd,"{'neurons_per_layer_encoder': [120, 240, 480], 'neurons_per_layer_decoder': [480, 240, 120, 60, 30]}",120,,"[480, 240, 120, 60, 30]","[120, 240, 480]",[0.07118309832544456],0.5201169904631964,COMPLETE
21,0.061481438969512636,2025-05-06 20:21:40.587017,2025-05-06 20:21:46.858558,0 days 00:00:06.271541,0.06454034378491959,40,0.4,132,100,1.0362928580164598e-06,641,0.00974247531557024,5,3,sgd,"{'neurons_per_layer_encoder': [132, 264, 528], 'neurons_per_layer_decoder': [528, 264, 132, 66, 33]}",132,,"[528, 264, 132, 66, 33]","[132, 264, 528]",[0.061481438969512636],0.43195940703410185,COMPLETE
22,0.1368791344624829,2025-05-06 20:21:43.798931,2025-05-06 20:21:49.809797,0 days 00:00:06.010866,0.059383318750517215,40,0.4,120,100,6.737968068680504e-06,611,0.008025992105201437,4,3,sgd,"{'neurons_per_layer_encoder': [120, 240, 480], 'neurons_per_layer_decoder': [480, 240, 120, 60]}",120,,"[480, 240, 120, 60]","[120, 240, 480]",[0.1368791344624829],0.5623775111835858,COMPLETE
23,-0.04505543272948209,2025-05-06 20:21:43.891663,2025-05-06 20:21:48.826336,0 days 00:00:04.934673,0.05938353466504632,56,0.4,132,100,1.0134671577941799e-06,606,0.007428328197782737,5,3,sgd,"{'neurons_per_layer_encoder': [132, 264, 528], 'neurons_per_layer_decoder': [528, 264, 132, 66, 33]}",132,,"[528, 264, 132, 66, 33]","[132, 264, 528]",[-0.04505543272948209],0.4656728315646731,COMPLETE
24,-0.02928701014594881,2025-05-06 20:21:44.275463,2025-05-06 20:21:48.716675,0 days 00:00:04.441212,0.05812183541808936,32,0.30000000000000004,144,80,7.801119342893532e-06,692,0.00981181423903435,5,3,sgd,"{'neurons_per_layer_encoder': [144, 288, 576], 'neurons_per_layer_decoder': [576, 288, 144, 72, 36]}",144,,"[576, 288, 144, 72, 36]","[144, 288, 576]",[-0.02928701014594881],0.4857325491546766,COMPLETE
25,-0.7314631185543004,2025-05-06 20:21:44.278051,2025-05-06 20:21:46.422285,0 days 00:00:02.144234,0.05856116853232336,32,0.30000000000000004,144,80,1.220616060297521e-05,631,0.008893734186901864,5,3,sgd,"{'neurons_per_layer_encoder': [144, 288, 576], 'neurons_per_layer_decoder': [576, 288, 144, 72, 36]}",144,,"[576, 288, 144, 72, 36]","[144, 288, 576]",[-0.7314631185543004],0.4089723909576141,COMPLETE
26,-0.00278484854891925,2025-05-06 20:21:46.430651,2025-05-06 20:21:51.058721,0 days 00:00:04.628070,0.0596830731184253,64,0.4,144,120,5.837692199376125e-06,360,0.003547884697665904,5,2,sgd,"{'neurons_per_layer_encoder': [144, 288], 'neurons_per_layer_decoder': [288, 144, 72, 36, 18]}",144,,"[288, 144, 72, 36, 18]","[144, 288]",[-0.00278484854891925],0.5903450433571478,COMPLETE
27,-0.01946526887375022,2025-05-06 20:21:46.866992,2025-05-06 20:21:50.287474,0 days 00:00:03.420482,0.05381050798014128,56,0.30000000000000004,184,140,5.809210389310491e-06,408,0.004349729146818059,4,2,sgd,"{'neurons_per_layer_encoder': [184, 368], 'neurons_per_layer_decoder': [368, 184, 92, 46]}",184,,"[368, 184, 92, 46]","[184, 368]",[-0.01946526887375022],0.47154847311777254,COMPLETE
28,-0.42463795953571437,2025-05-06 20:21:48.724515,2025-05-06 20:21:51.774043,0 days 00:00:03.049528,0.1936157835415708,64,0.30000000000000004,196,140,2.1895475578203964e-05,479,0.003939660769435042,4,2,adam,"{'neurons_per_layer_encoder': [196, 392], 'neurons_per_layer_decoder': [392, 196, 98, 49]}",196,,"[392, 196, 98, 49]","[196, 392]",[-0.42463795953571437],-0.13697346902729207,COMPLETE
29,-1.1829545524734444,2025-05-06 20:21:48.834858,2025-05-06 20:21:51.856346,0 days 00:00:03.021488,0.1793858776468468,64,0.30000000000000004,196,140,2.1599763489069968e-05,493,0.0033411252630171652,4,2,adam,"{'neurons_per_layer_encoder': [196, 392], 'neurons_per_layer_decoder': [392, 196, 98, 49]}",196,,"[392, 196, 98, 49]","[196, 392]",[-1.1829545524734444],-0.5998687476005219,COMPLETE
30,-2.851441525430286,2025-05-06 20:21:49.818166,2025-05-06 20:21:59.166499,0 days 00:00:09.348333,0.15341125271860878,56,0.4,208,140,5.3144935916997134e-06,1831,0.0034025408351681225,4,4,adam,"{'neurons_per_layer_encoder': [208, 416, 832, 1664], 'neurons_per_layer_decoder': [1664, 832, 416, 208]}",208,,"[1664, 832, 416, 208]","[208, 416, 832, 1664]",[-2.851441525430286],-1.0277061205314666,COMPLETE
31,-1.1996172549592607,2025-05-06 20:21:50.294505,2025-05-06 20:22:00.179096,0 days 00:00:09.884591,0.1377551638481808,64,0.4,204,120,3.746669080102529e-06,1733,0.0036220001239626177,4,4,adam,"{'neurons_per_layer_encoder': [204, 408, 816, 1632], 'neurons_per_layer_decoder': [1632, 816, 408, 204]}",204,,"[1632, 816, 408, 204]","[204, 408, 816, 1632]",[-1.1996172549592607],-0.46943800491321747,COMPLETE
32,-1.286432567821124,2025-05-06 20:21:51.066939,2025-05-06 20:22:03.345091,0 days 00:00:12.278152,0.15363808796245246,24,0.4,232,140,3.6919801327163484e-06,2040,0.0010639390626897493,4,4,adam,"{'neurons_per_layer_encoder': [232, 464, 928, 1856], 'neurons_per_layer_decoder': [1856, 928, 464, 232]}",232,,"[1856, 928, 464, 232]","[232, 464, 928, 1856]",[-1.286432567821124],-0.34559807457197567,COMPLETE
33,-2.4244704599802334,2025-05-06 20:21:51.781641,2025-05-06 20:22:09.875377,0 days 00:00:18.093736,0.09960923267935949,24,0.4,244,80,3.1505451986872326e-06,3707,0.001155700560463405,4,4,adam,"{'neurons_per_layer_encoder': [244, 488, 976, 1952], 'neurons_per_layer_decoder': [1952, 976, 488, 244]}",244,,"[1952, 976, 488, 244]","[244, 488, 976, 1952]",[-2.4244704599802334],-1.1155976792492879,COMPLETE
34,-2.1532314183604737,2025-05-06 20:21:51.866226,2025-05-06 20:22:04.878322,0 days 00:00:13.012096,0.028566606925247998,24,0.4,232,180,3.429203870923925e-06,2047,0.0008979406440555728,3,4,adam,"{'neurons_per_layer_encoder': [232, 464, 928, 1856], 'neurons_per_layer_decoder': [1856, 928, 464]}",232,,"[1856, 928, 464]","[232, 464, 928, 1856]",[-2.1532314183604737],-1.261773326814446,COMPLETE
35,-0.009041823666600779,2025-05-06 20:21:59.177183,2025-05-06 20:22:19.360759,0 days 00:00:20.183576,0.08150978841885968,24,0.30000000000000004,244,80,2.8145134879811935e-06,2073,0.0008034586702114002,5,4,sgd,"{'neurons_per_layer_encoder': [244, 488, 976, 1952], 'neurons_per_layer_decoder': [1952, 976, 488, 244, 122]}",244,,"[1952, 976, 488, 244, 122]","[244, 488, 976, 1952]",[-0.009041823666600779],0.6064485500418816,COMPLETE
36,-0.7593610624465759,2025-05-06 20:22:00.198882,2025-05-06 20:22:06.614081,0 days 00:00:06.415199,0.09813760963915465,24,0.30000000000000004,108,80,3.977157074828107e-05,547,0.0008573197030342334,5,3,sgd,"{'neurons_per_layer_encoder': [108, 216, 432], 'neurons_per_layer_decoder': [432, 216, 108, 54, 27]}",108,,"[432, 216, 108, 54, 27]","[108, 216, 432]",[-0.7593610624465759],0.7149265477097544,COMPLETE
37,-1.308888178693771,2025-05-06 20:22:03.354409,2025-05-06 20:22:08.133434,0 days 00:00:04.779025,0.09840513556964232,24,0.30000000000000004,108,80,4.116792851826318e-05,538,0.0003434727701196173,5,3,sgd,"{'neurons_per_layer_encoder': [108, 216, 432], 'neurons_per_layer_decoder': [432, 216, 108, 54, 27]}",108,,"[432, 216, 108, 54, 27]","[108, 216, 432]",[-1.308888178693771],0.514971331766706,COMPLETE
38,-0.11257199613083024,2025-05-06 20:22:04.889693,2025-05-06 20:22:11.342758,0 days 00:00:06.453065,0.07759908928428526,24,0.30000000000000004,108,80,1.964160872941336e-06,537,0.0003029164649683258,5,3,sgd,"{'neurons_per_layer_encoder': [108, 216, 432], 'neurons_per_layer_decoder': [432, 216, 108, 54, 27]}",108,,"[432, 216, 108, 54, 27]","[108, 216, 432]",[-0.11257199613083024],0.41910000580765705,COMPLETE
39,-0.9919204551067275,2025-05-06 20:22:06.624878,2025-05-06 20:22:10.596227,0 days 00:00:03.971349,0.07659462641550276,40,0.2,256,80,1.5066125049713115e-06,1077,0.00038610647078387195,5,3,sgd,"{'neurons_per_layer_encoder': [256, 512, 1024], 'neurons_per_layer_decoder': [1024, 512, 256, 128, 64]}",256,,"[1024, 512, 256, 128, 64]","[256, 512, 1024]",[-0.9919204551067275],0.566282504766051,COMPLETE
