number,value,datetime_start,datetime_complete,duration,params_batch_size,params_drop_out_rate,params_epochs,params_kernel_size,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,user_attrs_test_r2,state
29,0.4046940324032888,2024-10-05 09:44:35.552506,2024-10-05 09:45:43.492940,0 days 00:01:07.940434,64,0.2,50,4,64,0.0008455465747580061,adadelta,0.8215355342542507,-3.905826423322707,COMPLETE
30,0.006201771005853754,2024-10-05 21:17:29.514470,2024-10-05 21:22:43.295162,0 days 00:05:13.780692,64,0.1,50,4,128,0.00041559652446374165,adam,0.6146734505723784,0.9248202107373927,COMPLETE
31,0.00903042467249767,2024-10-05 21:22:43.302888,2024-10-05 21:27:42.839087,0 days 00:04:59.536199,64,0.1,50,4,128,0.00040348470098278415,adam,0.5425459311085143,0.8905303947550763,COMPLETE
32,0.016023932767666726,2024-10-05 21:27:42.844631,2024-10-05 22:06:30.777194,0 days 00:38:47.932563,64,0.1,50,4,128,0.00044706777340053003,adam,0.26967329228211073,0.8057529232384917,COMPLETE
33,0.00723640915997191,2024-10-05 22:06:30.782613,2024-10-05 22:11:10.923242,0 days 00:04:40.140629,64,0.1,50,4,128,0.000594963183258024,adam,0.5133670227147255,0.9122780065321364,COMPLETE
34,0.044284899325263624,2024-10-05 22:11:10.928276,2024-10-05 22:15:31.372059,0 days 00:04:20.443783,64,0.1,50,4,128,0.0006187898363851703,sgd,0.5299159744911829,0.46316473219559473,COMPLETE
35,0.006115988128458004,2024-10-05 22:15:31.377850,2024-10-05 22:20:10.115276,0 days 00:04:38.737426,64,0.1,50,4,128,0.0008052129069179867,adam,0.5590533038097555,0.9258600973502434,COMPLETE
36,0.0935445859329706,2024-10-05 22:20:10.120434,2024-10-05 22:21:01.556834,0 days 00:00:51.436400,64,0.2,10,4,96,0.0008210391872403464,sgd,0.6139014514319676,-0.1339764480920953,COMPLETE
37,0.013264442591374267,2024-10-05 22:21:01.562411,2024-10-05 22:25:27.888223,0 days 00:04:26.325812,80,0.1,50,4,64,0.0009821979147961095,adam,0.3825967969006833,0.8392043179659148,COMPLETE
38,0.006960848258761942,2024-10-05 22:25:27.893698,2024-10-05 22:29:12.501535,0 days 00:03:44.607837,64,0.1,50,3,128,0.0007528120921804625,adam,0.4946622923502837,0.915618441137417,COMPLETE
39,0.012538527003167722,2024-10-05 22:29:12.506904,2024-10-05 22:33:52.830360,0 days 00:04:40.323456,64,0.2,50,4,96,0.0003026746207854546,adam,0.48190520605146847,0.8480040915938507,COMPLETE
40,0.04597345505280992,2024-10-05 22:33:52.836642,2024-10-05 22:38:01.282915,0 days 00:04:08.446273,80,0.1,50,4,96,0.0005084328457499604,sgd,0.6579770753089057,0.442695536600453,COMPLETE
41,0.006819677461473509,2024-10-05 22:38:01.288364,2024-10-05 22:41:39.877118,0 days 00:03:38.588754,64,0.1,50,3,128,0.0007588291416968769,adam,0.46034717577935075,0.9173297572727855,COMPLETE
42,0.010172349292883237,2024-10-05 22:41:39.882443,2024-10-05 22:45:24.430148,0 days 00:03:44.547705,64,0.1,50,3,128,0.0006627083226088537,adam,0.44323453034353727,0.8766876307714759,COMPLETE
43,0.010616829654210841,2024-10-05 22:45:24.435318,2024-10-05 23:05:56.714583,0 days 00:20:32.279265,64,0.1,50,3,128,0.0008906267363006333,adam,0.2901279313957626,0.8712995021442763,COMPLETE
44,0.01401473248132947,2024-10-05 23:05:56.720049,2024-10-05 23:30:32.594610,0 days 00:24:35.874561,64,0.1,50,2,128,0.0005342706562884421,adam,0.37852001320194417,0.8301090715017265,COMPLETE
45,0.007517620507383123,2024-10-05 23:30:32.600399,2024-10-05 23:40:21.714325,0 days 00:09:49.113926,80,0.1,50,3,160,0.0007327027720786379,adam,0.45738759317851996,0.9088690754676593,COMPLETE
46,0.016588909491171724,2024-10-05 23:40:21.719679,2024-10-05 23:58:48.537284,0 days 00:18:26.817605,64,0.1,30,3,128,0.0008741484303177574,adam,0.358943877098681,0.7989041003826828,COMPLETE
47,0.009525550184142537,2024-10-05 23:58:48.543307,2024-10-06 00:55:23.974143,0 days 00:56:35.430836,112,0.1,50,4,160,0.0006406232365022945,adam,0.46311667788282695,0.8845283299273252,COMPLETE
48,0.07950129662051171,2024-10-06 00:55:23.979894,2024-10-06 00:57:24.214981,0 days 00:02:00.235087,64,0.1,30,3,96,0.00042768752755148454,sgd,0.4453959394500032,0.03626065515921095,COMPLETE
49,0.44232167135479417,2024-10-06 00:57:24.220706,2024-10-06 01:14:08.690305,0 days 00:16:44.469599,80,0.2,50,4,64,0.0004903250607119975,adadelta,0.7895104231583044,-4.361960318649308,COMPLETE
50,0.04515322700472597,2024-10-06 01:14:08.695561,2024-10-06 01:14:38.524152,0 days 00:00:29.828591,64,0.1,10,2,128,0.0007801366394134608,adam,0.45490313189351567,0.45263859508230075,COMPLETE
51,0.011805879185741063,2024-10-06 01:14:38.529517,2024-10-06 01:19:09.416157,0 days 00:04:30.886640,64,0.1,50,3,128,0.0007571758168799989,adam,0.2732904120272753,0.8568854753898432,COMPLETE
52,0.010159570039501119,2024-10-06 01:19:09.421925,2024-10-06 01:38:55.501527,0 days 00:19:46.079602,64,0.1,50,3,160,0.0005665174108934691,adam,0.4237715258427717,0.8768425448396178,COMPLETE
53,0.011275375782927146,2024-10-06 01:38:55.507167,2024-10-06 02:15:50.578993,0 days 00:36:55.071826,64,0.1,50,3,128,0.0006792105150231372,adam,0.33238641518850187,0.8633164019733951,COMPLETE
54,0.006514902839731205,2024-10-06 02:15:50.584503,2024-10-06 02:19:27.015399,0 days 00:03:36.430896,64,0.1,50,3,96,0.0007370693749512262,adam,0.4800256074004235,0.9210243296479265,COMPLETE
55,0.00654006784339566,2024-10-06 02:19:27.022281,2024-10-06 02:56:25.018799,0 days 00:36:57.996518,64,0.1,50,3,96,0.0009001708001103473,adam,0.5114851448365495,0.9207192716781142,COMPLETE
56,0.02706696290255086,2024-10-06 02:56:25.024083,2024-10-06 02:58:30.636438,0 days 00:02:05.612355,80,0.3,30,3,96,0.000999002424876692,adam,0.34684455431320294,0.6718858911314394,COMPLETE
57,0.004880644133858048,2024-10-06 02:58:30.642575,2024-10-06 03:20:07.327178,0 days 00:21:36.684603,64,0.1,50,4,96,0.0008936233984150212,adam,0.5517287177956647,0.9408353199266963,COMPLETE
58,0.006485719063024244,2024-10-06 03:20:07.332848,2024-10-06 03:41:18.350428,0 days 00:21:11.017580,80,0.1,50,4,64,0.0006140197176010394,adam,0.5659328889757842,0.92137810442946,COMPLETE
59,0.20511862710032622,2024-10-06 03:41:18.355669,2024-10-06 03:42:32.276750,0 days 00:01:13.921081,80,0.1,50,4,64,0.00017309237387642146,adadelta,0.8906435854487923,-1.4865115375402302,COMPLETE
60,0.008453506938027178,2024-10-09 22:02:40.094931,2024-10-09 22:07:54.699450,0 days 00:05:14.604519,48,0.1,50,4,64,0.0005207176929242996,adam,0.45684404350198327,0.8975239702447895,COMPLETE
