number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
13,-31.018451972806737,2025-01-10 08:03:04.382799,2025-01-10 08:03:22.435316,0 days 00:00:18.052517,0.05110790429136821,40,0.1,196,100,2.6936043232992406e-05,3288,0.006933267810208353,4,4,adadelta,"{'neurons_per_layer_encoder': [196, 392, 784, 1568], 'neurons_per_layer_decoder': [1568, 784, 392, 196]}",196,"[1568, 784, 392, 196]","[196, 392, 784, 1568]",[-31.018451972806737],0.5358563514992145,COMPLETE
14,-20.01576662331802,2025-01-10 08:03:05.527519,2025-01-10 08:03:09.704593,0 days 00:00:04.177074,0.1208383433601888,128,0.4,188,100,8.099940700114549e-05,736,2.014218052140566e-05,1,2,sgd,"{'neurons_per_layer_encoder': [188, 376], 'neurons_per_layer_decoder': [376]}",188,[376],"[188, 376]",[-20.01576662331802],0.45469655785077867,COMPLETE
15,-3.0580294384431257,2025-01-10 08:03:09.715889,2025-01-10 08:03:26.357755,0 days 00:00:16.641866,0.1913147577404177,104,0.1,152,100,1.0445925459223406e-05,1256,6.404683632566599e-05,2,3,adam,"{'neurons_per_layer_encoder': [152, 304, 608], 'neurons_per_layer_decoder': [608, 304]}",152,"[608, 304]","[152, 304, 608]",[-3.0580294384431257],0.5917275972054519,COMPLETE
16,-4.697106160119528,2025-01-10 08:03:14.038448,2025-01-10 08:03:29.086985,0 days 00:00:15.048537,0.19575319434539984,96,0.1,132,100,2.2161797547985028e-05,1096,6.604186611011567e-05,2,3,adam,"{'neurons_per_layer_encoder': [132, 264, 528], 'neurons_per_layer_decoder': [528, 264]}",132,"[528, 264]","[132, 264, 528]",[-4.697106160119528],0.6181037259347039,COMPLETE
17,-4.32932140439669,2025-01-10 08:03:22.445610,2025-01-10 08:03:32.746284,0 days 00:00:10.300674,0.19681321387721715,96,0.2,128,100,1.0598294652086802e-06,1016,6.619567117943104e-05,2,3,adam,"{'neurons_per_layer_encoder': [128, 256, 512], 'neurons_per_layer_decoder': [512, 256]}",128,"[512, 256]","[128, 256, 512]",[-4.32932140439669],-0.2992235568858166,COMPLETE
18,0.0038552398179787506,2025-01-10 08:03:26.375788,2025-01-10 08:03:33.779245,0 days 00:00:07.403457,0.03110834762730123,96,0.2,116,100,0.00013700529257599327,480,0.0019848273196401587,5,2,adam,"{'neurons_per_layer_encoder': [116, 232], 'neurons_per_layer_decoder': [232, 116, 58, 29, 14]}",116,"[232, 116, 58, 29, 14]","[116, 232]",[0.0038552398179787506],0.9427502521498824,COMPLETE
19,0.06614344008676698,2025-01-10 08:03:29.099752,2025-01-10 08:03:34.897927,0 days 00:00:05.798175,0.02884566330367907,96,0.2,100,100,1.1045142158192672e-06,416,0.0016401486102027082,5,2,adam,"{'neurons_per_layer_encoder': [100, 200], 'neurons_per_layer_decoder': [200, 100, 50, 25, 12]}",100,"[200, 100, 50, 25, 12]","[100, 200]",[0.06614344008676698],0.6304096828649595,COMPLETE
20,0.14526344649755174,2025-01-10 08:03:29.580369,2025-01-10 08:03:35.024348,0 days 00:00:05.443979,0.02988678482810009,96,0.2,100,100,1.135784666330619e-06,400,0.001814912870226483,5,2,adam,"{'neurons_per_layer_encoder': [100, 200], 'neurons_per_layer_decoder': [200, 100, 50, 25, 12]}",100,"[200, 100, 50, 25, 12]","[100, 200]",[0.14526344649755174],0.708185228687716,COMPLETE
21,-4.745349298472398,2025-01-10 08:03:30.710224,2025-01-10 08:03:35.610881,0 days 00:00:04.900657,0.028454878147020926,96,0.2,156,100,8.558021698847113e-05,576,0.00017611133711132804,3,2,adam,"{'neurons_per_layer_encoder': [156, 312], 'neurons_per_layer_decoder': [312, 156, 78]}",156,"[312, 156, 78]","[156, 312]",[-4.745349298472398],0.7359189851170058,COMPLETE
22,0.06444990553246255,2025-01-10 08:03:32.755112,2025-01-10 08:03:38.216615,0 days 00:00:05.461503,0.028189678618082664,128,0.1,256,100,7.786696113252863e-05,1096,0.0021310219739218116,3,2,adam,"{'neurons_per_layer_encoder': [256, 512], 'neurons_per_layer_decoder': [512, 256, 128]}",256,"[512, 256, 128]","[256, 512]",[0.06444990553246255],0.9607826574617014,COMPLETE
23,-0.09231055921793674,2025-01-10 08:03:33.788284,2025-01-10 08:03:38.825096,0 days 00:00:05.036812,0.03135040134868697,128,0.2,164,100,9.855700600374927e-05,480,0.002264549960715301,3,2,adam,"{'neurons_per_layer_encoder': [164, 328], 'neurons_per_layer_decoder': [328, 164, 82]}",164,"[328, 164, 82]","[164, 328]",[-0.09231055921793674],0.9465889035200784,COMPLETE
24,-11.347183435115337,2025-01-10 08:03:34.905898,2025-01-10 08:03:40.432413,0 days 00:00:05.526515,0.026756753325847624,128,0.30000000000000004,252,100,6.34399272358167e-05,864,1.0113419244359958e-05,3,2,adam,"{'neurons_per_layer_encoder': [252, 504], 'neurons_per_layer_decoder': [504, 252, 126]}",252,"[504, 252, 126]","[252, 504]",[-11.347183435115337],0.7293561730316787,COMPLETE
25,-0.4216698792774096,2025-01-10 08:03:35.032857,2025-01-10 08:03:40.310968,0 days 00:00:05.278111,0.029477939975987782,128,0.2,160,100,3.2029063829792822e-06,440,0.0017028380350083269,3,2,adam,"{'neurons_per_layer_encoder': [160, 320], 'neurons_per_layer_decoder': [320, 160, 80]}",160,"[320, 160, 80]","[160, 320]",[-0.4216698792774096],0.5646938159958039,COMPLETE
26,0.21666933913432207,2025-01-10 08:03:35.620749,2025-01-10 08:03:42.107785,0 days 00:00:06.487036,0.026112245664418766,112,0.2,252,100,3.5210487120433663e-06,816,0.0019940104481855248,5,2,adam,"{'neurons_per_layer_encoder': [252, 504], 'neurons_per_layer_decoder': [504, 252, 126, 63, 31]}",252,"[504, 252, 126, 63, 31]","[252, 504]",[0.21666933913432207],0.747024450880736,COMPLETE
27,0.062268817322150394,2025-01-10 08:03:38.225899,2025-01-10 08:03:43.116262,0 days 00:00:04.890363,0.0222399118435806,112,0.2,84,100,2.0160437581277554e-06,256,0.003509353041475364,5,2,adam,"{'neurons_per_layer_encoder': [84, 168], 'neurons_per_layer_decoder': [168, 84, 42, 21, 10]}",84,"[168, 84, 42, 21, 10]","[84, 168]",[0.062268817322150394],0.5353499178020105,COMPLETE
28,-16.473673570699432,2025-01-10 08:03:38.833195,2025-01-10 08:03:43.569975,0 days 00:00:04.736780,0.02353088668923915,112,0.30000000000000004,88,100,2.983658643420492e-06,280,0.00015759666009758407,5,2,adam,"{'neurons_per_layer_encoder': [88, 176], 'neurons_per_layer_decoder': [176, 88, 44, 22, 11]}",88,"[176, 88, 44, 22, 11]","[88, 176]",[-16.473673570699432],0.32340490175454745,COMPLETE
29,0.2179517408275623,2025-01-10 08:03:40.320539,2025-01-10 08:03:46.580573,0 days 00:00:06.260034,0.04009150986002287,112,0.30000000000000004,96,100,1.1336876758275865e-06,408,0.004007150391784807,5,3,adam,"{'neurons_per_layer_encoder': [96, 192, 384], 'neurons_per_layer_decoder': [384, 192, 96, 48, 24]}",96,"[384, 192, 96, 48, 24]","[96, 192, 384]",[0.2179517408275623],0.6541734651866086,COMPLETE
30,-12.218024693412437,2025-01-10 08:03:40.443384,2025-01-10 08:03:46.363295,0 days 00:00:05.919911,0.020813571602117675,112,0.30000000000000004,80,100,0.000253524942644214,392,0.00017810717320333763,5,3,adam,"{'neurons_per_layer_encoder': [80, 160, 320], 'neurons_per_layer_decoder': [320, 160, 80, 40, 20]}",80,"[320, 160, 80, 40, 20]","[80, 160, 320]",[-12.218024693412437],0.8270505707904927,COMPLETE
31,0.01840345199414095,2025-01-10 08:03:42.115096,2025-01-10 08:03:52.414751,0 days 00:00:10.299655,0.02150094826951859,112,0.30000000000000004,228,100,0.0002575764954493655,1320,0.003948761611407415,5,3,adam,"{'neurons_per_layer_encoder': [228, 456, 912], 'neurons_per_layer_decoder': [912, 456, 228, 114, 57]}",228,"[912, 456, 228, 114, 57]","[228, 456, 912]",[0.01840345199414095],0.9617637290484177,COMPLETE
32,-10.111357201832634,2025-01-10 08:03:43.124630,2025-01-10 08:03:50.923175,0 days 00:00:07.798545,0.039493978627448564,112,0.30000000000000004,224,100,0.00023470716002470905,1288,0.00014470161781400035,1,3,adadelta,"{'neurons_per_layer_encoder': [224, 448, 896], 'neurons_per_layer_decoder': [896]}",224,[896],"[224, 448, 896]",[-10.111357201832634],0.8930470728002688,COMPLETE
33,-18.984904413852217,2025-01-10 08:03:43.580534,2025-01-10 08:03:47.151036,0 days 00:00:03.570502,0.06352114991795055,120,0.30000000000000004,232,100,0.00032061157447620445,1304,0.000755315955405053,1,3,adadelta,"{'neurons_per_layer_encoder': [232, 464, 928], 'neurons_per_layer_decoder': [928]}",232,[928],"[232, 464, 928]",[-18.984904413852217],0.8612015815278383,COMPLETE
34,-8.801913755591617,2025-01-10 08:03:46.374308,2025-01-10 08:03:51.533260,0 days 00:00:05.158952,0.04004389704740044,88,0.1,224,100,4.558235491223776e-05,344,0.000897396779520599,1,1,adadelta,"{'neurons_per_layer_encoder': [224], 'neurons_per_layer_decoder': [224]}",224,[224],[224],[-8.801913755591617],0.06793204984409196,COMPLETE
35,-5.827702093667017,2025-01-10 08:03:46.591425,2025-01-10 08:03:54.407442,0 days 00:00:07.816017,0.03946897613911149,120,0.4,216,100,1.012569326457532e-06,1336,0.004373315911906508,1,3,adadelta,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864]}",216,[864],"[216, 432, 864]",[-5.827702093667017],0.4812420383746228,COMPLETE
36,-7.93541609070582,2025-01-10 08:03:47.160738,2025-01-10 08:03:53.881503,0 days 00:00:06.720765,0.038853280305192923,104,0.4,216,100,0.000886018528447822,984,0.004405023579255231,5,3,sgd,"{'neurons_per_layer_encoder': [216, 432, 864], 'neurons_per_layer_decoder': [864, 432, 216, 108, 54]}",216,"[864, 432, 216, 108, 54]","[216, 432, 864]",[-7.93541609070582],0.9826045852434611,COMPLETE
37,-21.400634125203645,2025-01-10 08:03:50.934078,2025-01-10 08:03:52.834162,0 days 00:00:01.900084,0.03745278493486602,88,0.4,136,100,1.6437312698188228e-06,176,0.003962200094809552,5,1,sgd,"{'neurons_per_layer_encoder': [136], 'neurons_per_layer_decoder': [136, 68, 34, 17, 8]}",136,"[136, 68, 34, 17, 8]",[136],[-21.400634125203645],-0.1321313619762463,COMPLETE
38,-21.671726718167143,2025-01-10 08:03:51.541420,2025-01-10 08:03:53.771837,0 days 00:00:02.230417,0.037034996276009396,104,0.4,32,100,0.0006609644752808525,168,0.004367787986768595,4,3,sgd,"{'neurons_per_layer_encoder': [32, 64, 128], 'neurons_per_layer_decoder': [128, 64, 32, 16]}",32,"[128, 64, 32, 16]","[32, 64, 128]",[-21.671726718167143],0.7359103660538318,COMPLETE
39,-4.191682088611202,2025-01-10 08:03:52.425920,2025-01-10 08:04:02.209879,0 days 00:00:09.783959,0.037365630111260956,104,0.4,136,100,1.4586528992787654e-06,1608,0.004576625453188247,4,4,sgd,"{'neurons_per_layer_encoder': [136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544, 272, 136]}",136,"[1088, 544, 272, 136]","[136, 272, 544, 1088]",[-4.191682088611202],0.5194849721780938,COMPLETE
40,-3.720457707416382,2025-01-10 08:03:52.845479,2025-01-10 08:03:58.739310,0 days 00:00:05.893831,0.05241074049211846,104,0.4,176,100,4.6619147552806166e-06,1752,0.008899700337259406,4,4,adam,"{'neurons_per_layer_encoder': [176, 352, 704, 1408], 'neurons_per_layer_decoder': [1408, 704, 352, 176]}",176,"[1408, 704, 352, 176]","[176, 352, 704, 1408]",[-3.720457707416382],0.6575262730149043,COMPLETE
41,-2.539670281237132,2025-01-10 08:03:53.782366,2025-01-10 08:04:01.756088,0 days 00:00:07.973722,0.0487402372231996,120,0.2,216,100,4.605070535263383e-06,2008,0.008727361547023743,4,4,adam,"{'neurons_per_layer_encoder': [216, 432, 864, 1728], 'neurons_per_layer_decoder': [1728, 864, 432, 216]}",216,"[1728, 864, 432, 216]","[216, 432, 864, 1728]",[-2.539670281237132],0.8270503599389881,COMPLETE
42,0.03298700440709923,2025-01-10 08:03:53.891065,2025-01-10 08:04:07.105466,0 days 00:00:13.214401,0.05027219692967718,120,0.2,180,100,4.620916451421021e-06,1864,0.00900668680406152,4,4,adam,"{'neurons_per_layer_encoder': [180, 360, 720, 1440], 'neurons_per_layer_decoder': [1440, 720, 360, 180]}",180,"[1440, 720, 360, 180]","[180, 360, 720, 1440]",[0.03298700440709923],0.9372730632183112,COMPLETE
43,0.09941040323141426,2025-01-10 08:03:54.418521,2025-01-10 08:04:05.134774,0 days 00:00:10.716253,0.0496768910584786,56,0.2,68,100,4.612548215025613e-06,696,0.009014975238546422,4,4,adam,"{'neurons_per_layer_encoder': [68, 136, 272, 544], 'neurons_per_layer_decoder': [544, 272, 136, 68]}",68,"[544, 272, 136, 68]","[68, 136, 272, 544]",[0.09941040323141426],0.7647628079239984,COMPLETE
44,-0.29382454146101034,2025-01-10 08:03:58.755151,2025-01-10 08:04:15.164645,0 days 00:00:16.409494,0.07603269422776102,120,0.2,244,100,2.525022395279507e-06,2152,0.001169048707868262,4,4,adam,"{'neurons_per_layer_encoder': [244, 488, 976, 1952], 'neurons_per_layer_decoder': [1952, 976, 488, 244]}",244,"[1952, 976, 488, 244]","[244, 488, 976, 1952]",[-0.29382454146101034],0.7658774614400248,COMPLETE
45,0.2479669171898008,2025-01-10 08:04:01.765100,2025-01-10 08:04:08.477041,0 days 00:00:06.711941,0.07905599574406216,88,0.2,72,100,1.4716144022449005e-06,232,0.001415004267415387,5,2,adam,"{'neurons_per_layer_encoder': [72, 144], 'neurons_per_layer_decoder': [144, 72, 36, 18, 9]}",72,"[144, 72, 36, 18, 9]","[72, 144]",[0.2479669171898008],0.7536053934330856,COMPLETE
46,0.0168637401963998,2025-01-10 08:04:02.219558,2025-01-10 08:04:08.791402,0 days 00:00:06.571844,0.08700204745419468,88,0.2,72,100,2.544681006908389e-06,200,0.0013445606960552354,5,2,adam,"{'neurons_per_layer_encoder': [72, 144], 'neurons_per_layer_decoder': [144, 72, 36, 18, 9]}",72,"[144, 72, 36, 18, 9]","[72, 144]",[0.0168637401963998],0.6740891740628753,COMPLETE
47,0.07184813302390902,2025-01-10 08:04:05.145670,2025-01-10 08:04:18.249869,0 days 00:00:13.104199,0.0776101094627765,56,0.2,68,100,2.4720627980340617e-06,1192,0.0004931150976952629,5,5,adam,"{'neurons_per_layer_encoder': [68, 136, 272, 544, 1088], 'neurons_per_layer_decoder': [1088, 544, 272, 136, 68]}",68,"[1088, 544, 272, 136, 68]","[68, 136, 272, 544, 1088]",[0.07184813302390902],0.7998988443706736,COMPLETE
48,-0.07266307876456857,2025-01-10 08:04:07.121016,2025-01-10 08:04:15.603938,0 days 00:00:08.482922,0.07644206742001436,64,0.2,68,100,2.3240115860905377e-06,760,0.0011830544613043222,5,4,adam,"{'neurons_per_layer_encoder': [68, 136, 272, 544], 'neurons_per_layer_decoder': [544, 272, 136, 68, 34]}",68,"[544, 272, 136, 68, 34]","[68, 136, 272, 544]",[-0.07266307876456857],0.7510269548520575,COMPLETE
49,-0.035855316110096735,2025-01-10 08:04:08.485052,2025-01-10 08:04:15.578974,0 days 00:00:07.093922,0.0912682081265594,88,0.2,68,100,2.429936290847794e-06,106,0.0011319947457627112,5,1,adam,"{'neurons_per_layer_encoder': [68], 'neurons_per_layer_decoder': [68, 34, 17, 8, 8]}",68,"[68, 34, 17, 8, 8]",[68],[-0.035855316110096735],0.7955471419049767,COMPLETE
50,-0.08453937230267794,2025-01-10 08:04:08.804179,2025-01-10 08:04:15.457595,0 days 00:00:06.653416,0.08005281852898279,80,0.2,100,100,2.3555311703396703e-06,140,0.0028111371593009375,5,1,adam,"{'neurons_per_layer_encoder': [100], 'neurons_per_layer_decoder': [100, 50, 25, 12, 8]}",100,"[100, 50, 25, 12, 8]",[100],[-0.08453937230267794],0.5925095951114879,COMPLETE
51,-7.427542505473289,2025-01-10 08:04:15.174507,2025-01-10 08:04:19.215950,0 days 00:00:04.041443,0.1026518801936558,80,0.2,48,100,1.6031559996326975e-06,84,0.0005387088236971134,5,1,adam,"{'neurons_per_layer_encoder': [48], 'neurons_per_layer_decoder': [48, 24, 12, 8, 8]}",48,"[48, 24, 12, 8, 8]",[48],[-7.427542505473289],0.15346189612258776,COMPLETE
