Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.0060011469115870235,0.8633318392619233,16.87748510493593,0.03904685817169997,0.2685389806125106,29.954880196582785
2,0.005451111861972356,0.8758581579273055,15.962810986053444,0.03507147326022019,0.34300948185033264,29.688845721616026
3,0.005526291850743325,0.8741460334049413,15.565911013864014,0.039418159106425106,0.26158343609675694,31.979615205945255
4,0.0044021414192687265,0.8997470683614276,15.200112799162218,0.037728358503896095,0.2932383074273087,27.271905299410093
5,0.005921064664389729,0.8651556062173854,15.902324170422924,0.037267394372283526,0.3018735039424223,30.581198491341432
6,0.008703829696786285,0.8017818237809717,16.820714053771628,0.03712158191170238,0.3046049946704876,28.76049336383365
7,0.005480605351894602,0.8751864828157301,16.37251764597973,0.038067360107010624,0.2868878231681714,27.22175610941792
8,0.0060463997190723555,0.8623012665966693,16.20546773424448,0.04872802509372423,0.08718261656126147,31.466315982287522
9,0.004374373334974833,0.9003794496484677,14.96398821927308,0.033015802010202835,0.38151817265078847,25.118782919937672
10,0.006343623218011316,0.8555323956580672,16.95698451289454,0.03843443845996736,0.28001137986847935,29.797529425038107
