number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_optimizer,user_attrs_relative_deterioration,state
23,0.09606490110897709,2024-10-03 13:49:50.559120,2024-10-03 13:50:31.387972,0 days 00:00:40.828852,0.013649994949512663,112,0.2,30,1.8840441517761207e-05,128,0.00011001457638220789,sgd,0.5591446764388684,COMPLETE
24,0.00535002523408719,2024-10-03 13:50:31.398663,2024-10-03 13:55:04.512106,0 days 00:04:33.113443,0.05501268326285724,64,0.1,50,2.992271232329078e-06,192,0.0001727792635505874,adam,0.7968464449598196,COMPLETE
25,0.005399430927605139,2024-10-03 13:51:58.781605,2024-10-03 13:56:15.851509,0 days 00:04:17.069904,0.05657992906170903,64,0.1,50,3.455029576934646e-06,192,0.00017842139433558142,adam,0.8127490804178192,COMPLETE
26,0.006302229452009326,2024-10-03 13:52:25.802542,2024-10-03 13:55:15.087124,0 days 00:02:49.284582,0.05069428013740258,64,0.1,50,2.7664111625935443e-06,192,0.00017910853118726752,adam,0.7762422797239935,COMPLETE
27,0.008228037365563337,2024-10-03 13:52:26.269859,2024-10-03 13:56:51.813162,0 days 00:04:25.543303,0.023423321223357715,64,0.1,50,3.0692153412256583e-06,192,0.0001909068750175861,adam,0.6857836484769573,COMPLETE
28,0.00586560663090272,2024-10-03 13:55:04.526806,2024-10-03 13:58:39.399107,0 days 00:03:34.872301,0.024361778427648063,64,0.1,50,1.4043564675175965e-05,192,0.00018026279990209323,adam,0.8953728092556322,COMPLETE
29,0.005005361465715897,2024-10-03 13:55:15.103820,2024-10-03 13:58:22.766138,0 days 00:03:07.662318,0.0260661240531585,80,0.1,50,1.1499135854825022e-05,128,0.00016246499498611387,adam,0.9133045779735113,COMPLETE
30,0.0857592700879501,2024-10-03 14:06:07.891672,2024-10-03 14:07:01.268688,0 days 00:00:53.377016,0.0177832786747588,80,0.2,30,0.00020146517396366122,128,0.00028605032170828007,sgd,0.926917313440123,COMPLETE
31,0.09351173905915419,2024-10-03 14:06:07.894417,2024-10-03 14:06:54.855632,0 days 00:00:46.961215,0.018321750090146253,80,0.2,30,0.0003141810266584558,128,0.00030684810371499593,sgd,0.9470759687765843,COMPLETE
32,0.08155639700162279,2024-10-03 14:06:07.895637,2024-10-03 14:08:15.362903,0 days 00:02:07.467266,0.018712950594833844,80,0.2,30,0.0008455202390718837,128,0.000295556381541566,sgd,0.9820783783539225,COMPLETE
33,0.07480314191359172,2024-10-03 14:06:07.895720,2024-10-03 14:08:12.865778,0 days 00:02:04.970058,0.01674988694441779,80,0.2,30,0.0006641427139341189,128,0.00030780881113436136,sgd,0.9791868061287909,COMPLETE
34,0.06902385110030576,2024-10-03 14:06:07.894440,2024-10-03 14:08:13.865578,0 days 00:02:05.971138,0.017816501652477282,80,0.2,30,0.0009569951604757583,128,0.00032292605549962336,sgd,0.986532376324137,COMPLETE
35,0.0630975703892442,2024-10-03 14:06:07.894501,2024-10-03 14:08:13.162897,0 days 00:02:05.268396,0.01686324465269647,80,0.2,30,0.0008702231771511584,128,0.00029978423549367734,sgd,0.986510949694307,COMPLETE
36,0.005080760439992185,2024-10-03 14:06:54.867423,2024-10-03 14:13:01.187985,0 days 00:06:06.320562,0.03242932840929702,64,0.1,50,2.0289627860268436e-06,192,0.0002714078698689531,adam,0.7499214763199702,COMPLETE
