Yield Strength (MPa),Ultimate Tensile Strength (MPa),Original Feature 1,Original Feature 2
487.0,839.0,417.62073,879.59
537.0,829.0,426.0585,855.32355
427.0,721.0,356.09183,805.4995
383.0,621.0,394.72205,758.73975
310.0,446.0,285.54736,464.97452
650.0,974.0,463.81247,906.61566
606.0,952.0,467.7153,942.6002
447.0,660.0,376.82248,760.97845
331.0,782.0,313.26907,926.27655
376.0,764.0,409.96454,876.61017
