,Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
min,1.0,0.004590280514803808,0.8028956741886841,18.339563884801912,0.01795672302594012,0.0020301283348688193,32.80092938187457
max,10.0,0.009292286531498235,0.902632775787926,31.050100946780436,0.026060249499629453,0.3123523788988063,43.19272578719282
mean,5.5,0.006677543906391669,0.8583585659693839,23.629602897128784,0.0224782976874662,0.1391999582072218,37.123744946441796
