number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_drop_out_rate,params_encoder_neurons_layer_1,params_epochs,params_lambda,params_latent_dim,params_learning_rate,params_num_layers_decoder,params_num_layers_encoder,params_optimizer,user_attrs_encoder_decoder_config,user_attrs_first_layer_neurons,user_attrs_neurons_per_layer_decoder,user_attrs_neurons_per_layer_encoder,user_attrs_r2_feature_1,user_attrs_relative_deterioration,state
13,-0.015198636116825481,2025-01-10 14:21:23.778200,2025-01-10 14:21:32.200621,0 days 00:00:08.422421,0.02139713154785803,88,0.2,224,100,7.742962829329583e-05,3896,0.0016018830076834141,2,4,adadelta,"{'neurons_per_layer_encoder': [224, 448, 896, 1792], 'neurons_per_layer_decoder': [1792, 896]}",224,"[1792, 896]","[224, 448, 896, 1792]",[-0.015198636116825481],0.9566444395820647,COMPLETE
14,0.0987385803530616,2025-01-10 14:21:23.913292,2025-01-10 14:21:27.637882,0 days 00:00:03.724590,0.08001695760622181,96,0.4,236,100,0.00011307641806597736,420,7.44623003178366e-05,1,1,adam,"{'neurons_per_layer_encoder': [236], 'neurons_per_layer_decoder': [236]}",236,[236],[236],[0.0987385803530616],0.6823063442939777,COMPLETE
15,-0.11388367076599915,2025-01-10 14:21:24.502781,2025-01-10 14:21:26.787774,0 days 00:00:02.284993,0.01043299061856906,88,0.4,232,100,2.048683416434905e-05,352,3.727412654009268e-05,1,1,adadelta,"{'neurons_per_layer_encoder': [232], 'neurons_per_layer_decoder': [232]}",232,[232],[232],[-0.11388367076599915],0.6443867145166592,COMPLETE
16,-0.05969847765182257,2025-01-10 14:21:25.333983,2025-01-10 14:21:28.613930,0 days 00:00:03.279947,0.010570896516269227,88,0.4,252,100,3.684394621037887e-05,372,3.815805634351937e-05,1,1,adadelta,"{'neurons_per_layer_encoder': [252], 'neurons_per_layer_decoder': [252]}",252,[252],[252],[-0.05969847765182257],0.8330183545162878,COMPLETE
17,-0.009623317727745162,2025-01-10 14:21:26.799985,2025-01-10 14:21:32.744627,0 days 00:00:05.944642,0.022493531089309234,80,0.30000000000000004,72,100,5.9589305534887756e-05,1240,7.792877659965388e-05,2,4,adadelta,"{'neurons_per_layer_encoder': [72, 144, 288, 576], 'neurons_per_layer_decoder': [576, 288]}",72,"[576, 288]","[72, 144, 288, 576]",[-0.009623317727745162],0.8836464068392564,COMPLETE
18,-0.18224639548619637,2025-01-10 14:21:27.484701,2025-01-10 14:21:30.502581,0 days 00:00:03.017880,0.01950735500178347,88,0.30000000000000004,84,100,4.8387293347842324e-05,92,9.584836031128803e-05,2,1,adadelta,"{'neurons_per_layer_encoder': [84], 'neurons_per_layer_decoder': [84, 42]}",84,"[84, 42]",[84],[-0.18224639548619637],0.7124196661432257,COMPLETE
19,-0.25975763850447064,2025-01-10 14:21:27.648435,2025-01-10 14:21:30.564054,0 days 00:00:02.915619,0.09379073980306656,88,0.4,256,100,0.0001362589170494165,424,0.0001461385938504237,2,1,adam,"{'neurons_per_layer_encoder': [256], 'neurons_per_layer_decoder': [256, 128]}",256,"[256, 128]",[256],[-0.25975763850447064],0.7742813701965708,COMPLETE
20,-0.24140780452626154,2025-01-10 14:21:28.623952,2025-01-10 14:21:31.150358,0 days 00:00:02.526406,0.09647994994919827,88,0.2,188,100,0.00013784659744134882,404,0.00011425981753231882,2,1,adam,"{'neurons_per_layer_encoder': [188], 'neurons_per_layer_decoder': [188, 94]}",188,"[188, 94]",[188],[-0.24140780452626154],0.6498083815636944,COMPLETE
21,-0.08057971223605653,2025-01-10 14:21:30.520281,2025-01-10 14:21:34.101135,0 days 00:00:03.580854,0.09473050586260874,80,0.2,200,100,0.00015857282625569288,552,0.00010168820631822958,2,2,adam,"{'neurons_per_layer_encoder': [200, 400], 'neurons_per_layer_decoder': [400, 200]}",200,"[400, 200]","[200, 400]",[-0.08057971223605653],0.874053522914875,COMPLETE
22,-0.555984401106137,2025-01-10 14:21:30.585511,2025-01-10 14:21:33.393389,0 days 00:00:02.807878,0.09809514160740676,128,0.2,196,100,0.0001116748532562843,560,0.009310856338656808,3,2,adam,"{'neurons_per_layer_encoder': [196, 392], 'neurons_per_layer_decoder': [392, 196, 98]}",196,"[392, 196, 98]","[196, 392]",[-0.555984401106137],0.813774201962909,COMPLETE
