Run,MSE_Train,R2_Train,SMAPE_Train,MSE_Test,R2_Test,SMAPE_Test
1,0.006866003341627268,0.8559608132704349,24.742108258987418,0.004094336624097448,0.8608722025797219,18.122534931683333
2,0.006800000776506775,0.857345455154365,20.1757860394537,0.00268524706362206,0.9087538363865328,12.471070105091686
3,0.005579613952197988,0.8829474709010182,18.137667412039686,0.0022152650884476243,0.9247240809063432,12.410406331218542
4,0.007020440293264954,0.8527209411340468,19.63511004988858,0.0033776068598532242,0.8852270719028654,12.878824543989968
5,0.005982868083356694,0.8744877609056438,17.656570252496916,0.001953205265494256,0.9336290169942222,9.670864587831375
6,0.04676387422307387,0.018959054304973022,40.369154755386255,0.02919010021144106,0.008104432597740518,31.359296043275613
7,0.00586078200246604,0.8770489568339759,19.381939316953343,0.0030012654418081325,0.8980153590853293,12.304501583301713
8,0.005863666072363005,0.8769884530646416,22.270063318456025,0.004940959827068152,0.8321034831781557,15.570598538855595
9,0.006242488989965492,0.8690412759004297,20.090758479409768,0.003222961162470644,0.8904820172658653,13.427287202275265
10,0.005685502792115523,0.8807260705278217,18.10377841483319,0.001204333618118515,0.9590760850825354,8.630951773306734
