Yield Strength (MPa),Predicted Yield Strength (MPa)
487.0,490.79034
537.0,484.87564
427.0,401.07138
383.0,373.0925
310.0,299.93713
650.0,560.59326
606.0,547.7771
447.0,335.95435
331.0,302.89542
376.0,381.0883
364.0,359.91742
391.0,331.20325
275.0,291.67807
601.0,604.2379
253.0,247.32784
517.0,554.3717
539.0,521.3985
610.0,640.0284
363.0,358.9378
413.0,357.46933
